‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,22







3333.3333333333335,1.714177306365878e-10,-8.791752808334022e-08,-1.0425819933003958e-10,-8.271238045965162e-08,-4.061180918341685e-10,-2.2515850430604143e-07,-1.2166383192717485e-09,-6.837856259373896e-07,-4.689819345454322e-10,-1.5040652004299646e-06,3.023740318075211e-09,-6.531720472903153e-07,2.2163160151962495e-08,5.609722635963355e-06,1.3073761753376152e-07,4.5098075035394863e-05,6.697348618445446e-07,0.00025451050069533133,3.7592237696691815e-06,0.0013671781644460268,6.000289784790185e-05,0.014155709585392397
0.0,-2.7827647108616212e-08,1.3363154261815667e-05,7.246982947910971e-09,9.996419395249131e-06,1.7951845344877254e-08,1.7831391978029712e-05,3.5339771690246964e-09,2.636538418105057e-05,-2.865122403349233e-07,-2.733971143405126e-05,-6.127719901675139e-07,-0.00032555865624677154,-1.2748113250603665e-07,-0.0006003572052285494,3.2032081815501013e-06,0.00015227278534703562,8.788223183198682e-06,0.00385724796903605,-2.094458051269104e-05,0.003195805168091756,0.00014080013676835278,0.014349273850430534
0.0,-1.3579842840201113e-07,8.194285669987757e-05,1.0187059885697817e-07,8.914684921416602e-05,7.90875930825114e-08,0.00015221282150108036,-2.9034252896551846e-07,0.00010649269915402219,-3.6807016905636625e-07,-0.0001668706771952555,2.2063532315444953e-06,0.0002976660984146608,4.425492399271303e-06,0.002511827528485396,-8.183887612381484e-06,0.00219877810854274,1.956040260869247e-06,-0.003057324624045868,-1.2636297355999564e-05,0.00536157939993454,0.00017697103587868506,0.00953323878845892
0.0,-1.3533098049572823e-06,0.0005357377837096263,-5.180738742908494e-07,0.00012342318150979648,-1.05984491667901e-06,-0.00034585209978352563,-4.2698554591689313e-07,-0.0008940994717600095,4.320564634125922e-06,-5.041948256422234e-05,-1.7678529276217208e-06,0.0016131005395515737,-4.205457586234501e-06,-0.0014741595238740978,1.2856538060687751e-05,0.002249007338157188,-2.7825951320651082e-05,-0.0033020922401761116,6.581236897487391e-06,0.004229714628998415,0.00020384382224210607,0.004135181108453754
0.0,-2.379365770131363e-06,0.0005646688953732082,-1.124760210721596e-06,-0.00041824486097223157,1.8914820795911355e-06,-0.00025011887762329074,1.7027168035147486e-06,0.0011568710506452363,-6.01972069297868e-06,0.00011946267747283096,5.1442097409766866e-06,-0.0008776086009508351,-1.1042048102817916e-05,-0.0006396036335094644,2.0479175487907932e-05,-0.002684962302651224,-4.591558196125649e-05,-0.0015804793677507533,2.9890329140060493e-05,0.00400642691184902,0.00022619031442357556,0.000746064589967242
0.0,8.552195797929428e-06,-0.002305929121653671,3.641370043998897e-06,0.0009821278686097203,-3.2945359165256943e-06,0.001121321017102223,-4.420851244389765e-07,-0.00069900800487748,-1.9876607504087677e-06,0.00033746261306703536,1.789326982122941e-06,-0.0028859418281854798,2.763351427743507e-06,0.00304548210780684,2.140043901692946e-07,-0.005369683295415242,-5.3546838381060103e-05,-0.002826763322301558,6.268537490175089e-05,0.004533694805898835,0.00025932606928348275,0.003852343016301935
0.0,-9.821511051177935e-06,0.0021525978902454585,-3.021500001248965e-06,-0.0016222573014029707,5.388504117319651e-06,-0.00043706391022888636,-4.303458330873834e-06,0.00026203379003245125,1.2287149201715122e-05,3.7879165857216397e-05,-1.8935819461629373e-05,0.0005424850924365764,1.9040269005859205e-05,-0.001126832710233938,-1.0759213543592653e-05,-0.004037955120082561,-5.4530826316921505e-05,0.0025954897881656893,8.432724238935333e-05,0.007652175523306117,0.0002819184734742998,0.005051236735850879
0.0,8.293457334530804e-06,-0.0016523506029512314,-5.968388740723391e-07,0.0008510498468361403,-1.282529755761008e-06,-0.0009726466714447093,2.9713433878029023e-06,0.0009092312937197997,3.2956357207843993e-06,-0.00038518599598091213,-1.6964329896886348e-05,0.001935828249987801,3.4820897859734575e-05,0.00020809186509598778,-4.114228451065814e-05,-0.0005972389777395463,-4.792852679049612e-05,0.0034246417600898383,0.0001108990999132075,0.00905039141421842,0.000325385337472912,0.01232366491653675
0.0,6.5945795880100284e-06,-0.0017854818596516318,3.652055292146484e-06,0.001054737123604574,-6.641633465945285e-06,8.686265428070226e-05,7.802356731775068e-06,-0.00010403776751620724,-1.4864946844290583e-05,-0.00037966340282723503,6.828926218535593e-06,0.002546894350459182,2.422725988955078e-05,0.0014167257623151157,-6.196731746919774e-05,-0.002327054312773799,-2.679221259971469e-05,0.006361508760774065,0.00012536428944945617,0.011690979459102278,0.0003524042931992346,0.014475378244233486
0.0,-2.256528731667905e-05,0.004496058047765562,1.4281001988324954e-07,-0.0026202573115257327,1.1509268836956972e-06,0.0007795333983220718,1.1473867947723062e-06,-0.0017337583413356882,-1.9076572209132987e-05,0.00024914525023432516,2.3325236853564056e-05,0.0007955768740298214,8.528209873162305e-06,-0.003704971151620362,-6.147334690202646e-05,-0.00044381598202826455,-2.5810000046227127e-05,0.008378726812779166,0.00014653705629472444,0.008836802397353388,0.00039059884777946884,0.01784723942101609
