‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,13
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[10, 11]"
animation_speed,100
sampling_length,6000
vec_length,28







0.0,-1.669354938132767e-05,0.003464744999637292,5.453292845949772e-06,-0.0016356301892994816,-8.271171134627993e-06,-0.000169095816541279,1.316032603531193e-05,0.0014126931694709562,-1.614504933931411e-05,-0.0033776249343985694,-1.3563660314990688e-05,0.00038588576880742255,2.1764986246513738e-05,0.0032745334699238104,2.879947964104724e-05,-0.003143064078346584,-1.9120320949006385e-05,-0.002565727566266273,-7.428902242028444e-05,0.00012018015204225273,-4.794673473731016e-05,0.003937162700994327,5.980607035624413e-05,0.007068710237561823,0.00021391651961636028,0.006641200337972625,0.0003962841288099056,0.014151514366724184
0.0,8.879265335868924e-06,-0.0010715242062280762,-5.163192723456516e-06,7.114165241587137e-05,7.008710064259301e-07,0.0007512874516530647,7.687643856969592e-06,-0.0021776371440635728,-1.6523108747101728e-05,-2.834092052931581e-05,-3.59321208010519e-06,0.0007485257185477557,3.7353803947570665e-05,-0.0004175690047610336,2.9581422195795723e-05,-0.0032011791509352658,-4.707212102385106e-05,-0.004778824145169671,-7.034485046466847e-05,0.0015434294283383004,-4.46766158087343e-05,0.004544991172066009,7.977202061355025e-05,0.00671880999732122,0.0002311863752813085,0.008922646756144409,0.0003968605544507668,0.009323937615554858
0.0,2.8288145494800033e-05,-0.004680134902167207,-1.508094581016818e-05,0.0014149438946085022,1.6927422879345628e-05,0.000993783481956525,-1.1057344464547961e-05,-0.0031910261860038135,-3.694995333667937e-06,0.003104411558343737,1.6006478247360607e-05,0.00020260863336491012,3.833968052788264e-05,0.00046034008603647146,2.1487683113413667e-05,-0.005859901020758231,-5.596276383825085e-05,-0.0006325548363342175,-8.855711055337671e-05,0.001323845872353594,-2.0302914143409004e-05,0.004771996746277456,8.608031432503257e-05,0.0077269900067607365,0.00025208873505521426,0.008370721202345147,0.00040731326631976986,0.00752140356663031
0.0,-2.6641874039147244e-06,0.0003742475596135801,-2.3547542084983038e-06,-3.3955299391858686e-05,1.293258977695772e-05,-0.0005879003047280645,-1.7060892757064275e-05,0.0007150991125961708,2.6671931610159053e-06,0.00014668284175955656,2.951289721795828e-05,0.0007262843986296338,4.3144293384708196e-05,-0.002985071467329068,2.5231661209263925e-06,-0.0021554855492598767,-6.795036819350436e-05,-0.003607610146020302,-8.717631104681819e-05,0.002883286701770055,-1.7348953496282778e-05,0.003374671871624626,0.00011030812087673473,0.005674805180192776,0.00026513528303542447,0.008926077777039848,0.0004288252940030323,0.008389379066049352
0.0,-3.8996256439837e-05,0.004901572242984037,2.5568559171934795e-05,0.0002426713178079364,-1.8139483883626876e-05,-0.0018449007952298895,-1.959239566688264e-06,0.00016059839887492476,1.2844687253613076e-05,0.003186865359368512,3.229216474944196e-05,-0.0003739831097238214,2.916695708191114e-05,0.0007997074709123379,-1.6779656096756456e-05,-0.004338264953478714,-7.311237131920615e-05,-0.0006575699360172513,-8.64041957019006e-05,0.0022554524672484576,-7.982739492089444e-06,0.006319452178504593,0.00012585418343357725,0.00624266203680908,0.0002769577785005112,0.006676296982053194,0.0004612589574267493,0.011518518042431106
0.0,-3.0167262633328054e-05,0.004306518586631645,1.7761342285263204e-05,-0.00014528547211096533,-1.1531955648359144e-05,-0.003177856323001171,-9.849314462101708e-06,0.003773377716275517,3.105489060364765e-05,0.00029983129257193713,1.1926418223144092e-05,0.00014875683353073738,1.6512451937238593e-05,-0.0027450154091712246,-3.422756575561406e-05,-0.003099987280901685,-8.489524885193727e-05,-0.002951428832568168,-7.267434474908439e-05,0.001858203412171475,-3.2438930214018616e-06,0.008136283964528824,0.00014116633347389555,0.005901252499373879,0.00029506119432209086,0.007817747293771372,0.0004670646676791487,0.009886237000110222
0.0,3.4792987383183478e-06,0.0008856058765240873,-4.6642134963223596e-06,-0.0008211672274676778,-1.6807128148045747e-06,-0.0017236742345758818,-5.284330750526283e-06,0.002151639354724872,3.02419943084375e-05,0.00032829170651068484,7.175337791639482e-06,-0.00026592630109472726,-1.3880067975022074e-05,-0.0011516298990821659,-5.102720458189823e-05,-0.004295774599354945,-8.186110718813274e-05,-0.00021442846132134206,-7.769287901103893e-05,0.004631730721471439,1.5459576254957555e-05,0.0052829085751755185,0.00014925464796544216,0.009815088221404943,0.0003138850616360594,0.007374501194018012,0.0004731993635796424,0.008405072562170443
0.0,3.24624432985513e-05,-0.002961273788091714,-1.7148275688108172e-05,-0.0011450817238857942,-7.894220300769739e-06,0.0017186993732619452,2.0968273643038025e-05,-0.0016310360154127813,5.323460891834462e-06,0.0013808623531595533,4.137895159528683e-06,-9.007185427424361e-05,-3.968072895567781e-05,-0.004454435603333595,-6.255283887240709e-05,-0.0008354274889860145,-9.618822343631927e-05,6.688886281009395e-05,-6.242914422923715e-05,0.0028984013173503896,2.107896124844251e-05,0.005349478197712914,0.00016333044744304607,0.006451360968260502,0.00033622607991391654,0.010759915290562227,0.0004665015408924264,0.005080730744650818
0.0,4.5223379682876865e-05,-0.004460166309240708,-2.632269795397387e-05,-0.0018723222110432164,-3.921496829907569e-06,0.002935071054937151,3.2272569093334745e-05,-1.233463496829029e-05,-1.2791776758426665e-05,-0.0016634012113727803,-1.2459756159386425e-05,6.113967928669479e-05,-4.721375519658468e-05,-0.004449766289570045,-9.384546293279624e-05,-0.0002776772514593226,-8.878080276531157e-05,0.0029501107929580015,-6.191018351830785e-05,0.0036139825369497463,3.7271704832435895e-05,0.004543940119697307,0.00017635370910123918,0.009783002756486737,0.0003410521201288039,0.00625049875124233,0.0005171877501661029,0.01219241748514736
0.0,3.207923130966321e-05,-0.002748409440224417,-2.3082115535369483e-05,-0.0021003322805727385,1.9678841980870613e-06,0.002542148109171517,2.3468805926557782e-05,0.0003496837715533089,-4.354712872746744e-06,-0.0018766527950447797,-3.6598075275102724e-05,-0.0002576379547661401,-5.911859076408058e-05,-0.0021696187985574423,-0.00011863391909062606,-0.0025316241552371657,-9.335337604769714e-05,0.0021868693799022816,-4.0989402210193675e-05,0.0034153732782372217,3.820214616342017e-05,0.007688222362953523,0.00019685860417868511,0.00533384994985956,0.0003512167292415652,0.010374800717271851,0.0005184577410719581,0.008275150423714291
