0.0,-2.1156370041638557e-07,-0.0007553826605040953,3.502167406238222e-06,-0.000590084700907538,-5.6869592506492306e-08,0.0029002517917790923,6.766355132587931e-07,-0.0004940910324748503,-2.3070223882931272e-05,-0.00022166789571861478,1.5502929744561303e-05,0.0031130183807762933,2.4934909388040185e-05,-0.0017172996213190787,-4.0306211256310016e-05,-0.004204775706152921,-7.370498668861152e-05,3.088927457870383e-05,1.5636696607901517e-05,0.0053977546316499566,0.00018002307898578497,0.006582368043827747,0.0003631412345503809,0.002304091933999968
0.0,2.3291138000069804e-05,-0.0037578429306950444,-9.380465611085281e-06,0.0017343988514057747,8.923471840770896e-06,-0.0012017341960499344,-6.592666666816804e-06,-0.00018599362606807213,-1.866716613956384e-05,0.00023798514219041804,3.496802575228836e-05,0.0010952878240234854,1.9490060632755064e-05,-0.0036694127585078203,-5.622495156919776e-05,-0.000672531905261923,-7.135497564206803e-05,0.0017792704942515632,2.8735185369248683e-05,0.0081895836542145,0.00020339300631539247,0.008239820654359053,0.0004271870824136392,0.01834769916990516
0.0,1.427417296267057e-07,0.0014792907868682436,-9.983926935140344e-06,-0.0005795709373564539,1.6033637266290407e-05,-0.0007875320351152372,-2.3181156961520723e-05,-0.0013173988006117475,1.1961283925228161e-05,0.0004213673859218412,4.474644994918659e-05,0.001720238790714416,3.2347361436090455e-06,-0.00421381917246737,-7.009485429760845e-05,-0.0023663697076569926,-6.690751206233228e-05,0.0024479209260347677,4.413431035602629e-05,0.005896083797198934,0.00021862772809155996,0.009586925801683396,0.0003951915593577241,0.003966683570857982
0.0,-7.518199924704795e-06,0.0009319565869798597,4.364845890398985e-06,0.0005854856005820417,-2.733805557609251e-06,-0.001978210450379167,-1.0589204491819933e-05,-0.0010136514138487456,2.4368079584205495e-05,0.0006219912181173097,5.0435149063274596e-05,-0.0006589725052718513,-8.657557013584591e-06,-0.002274422975123448,-8.716863822745312e-05,-0.0036589040224358853,-5.379834329351545e-05,0.0039569810782454536,5.126150945779356e-05,0.006147492800531775,0.00023617626717634886,0.007283949773505325,0.00041737982082002176,0.004286369726639523
0.0,-2.6244854053502163e-05,0.0032585663542170316,1.6159456656784055e-05,-0.00024116872246382666,-1.733443393079408e-05,-0.002591994417095004,1.0939226561853505e-05,0.003621078459926569,2.6316056118890036e-05,-8.518897611591665e-05,3.941673081639725e-05,-0.0005478990871884212,-1.698943171226367e-05,-0.004343788355176779,-8.992045729858514e-05,0.0015390626538148277,-5.911231917941722e-05,0.004240944706641611,7.555575104335345e-05,0.0074027308574907205,0.00025160343528438756,0.009915289296186795,0.0004686419401590725,0.016421726802945964
0.0,-2.5546170742485464e-05,0.0024941577878705426,2.2941913186806334e-05,-0.00036031144316242016,-2.5771644923361996e-05,0.0018060732019460901,1.725309460321563e-05,0.0018654063479643219,3.148534453148952e-05,-0.00034365586933426896,2.6126335810843868e-05,0.0008816722615880954,-3.674752304788424e-05,-0.003958429807099648,-9.224550799302099e-05,-6.913333692573642e-05,-5.330565001754674e-05,0.0036610207227059837,9.08851757599496e-05,0.007262814698759795,0.00025881190552101284,0.006754102969307607,0.0004592113269921786,0.0052703715174670426
0.0,2.682762755647725e-06,-0.0004431689064998566,1.46273089180644e-06,-0.0010827427932209865,-9.004127664218915e-06,0.0015442544440931393,1.857443654872309e-05,0.001706411242844952,1.5464378141177072e-05,4.389628886984902e-06,1.4834636444459287e-05,-0.003710767986953514,-4.9557453676080596e-05,-0.0002649537548178604,-9.685064632032825e-05,-0.0013607289183273918,-4.040255686089333e-05,0.005875695193605339,9.831950226623146e-05,0.007857294632827567,0.00027965428002202657,0.008176350976494606,0.00046997875536995974,0.006389378701448008
0.0,4.3788004357842397e-05,-0.004675656120680346,-2.6110847798486544e-05,0.00032203102877181346,1.2564814983560095e-05,0.0007108927296034298,1.0000250696282355e-05,-0.00030227821423454006,1.3442195995933444e-05,-2.00498322270021e-05,-1.819276483242844e-05,-0.0018649151208086578,-6.26708858908104e-05,-0.0038875630857562477,-8.529849120706891e-05,0.0020489888257220635,-3.979201133377792e-05,0.007860899914857165,0.00011047686070045403,0.007792722113772585,0.00030184250202982285,0.010745472870695917,0.0004905507294645567,0.011692807049940303
0.0,4.816367021647868e-05,-0.004094906843923419,-3.527398084060651e-05,-0.0001552866066197009,2.0686110456262194e-05,0.0011743678784836373,1.0451115623424487e-05,-0.0019254747244268101,-6.320129191049342e-06,-0.00012560879226514553,-3.781264772814476e-05,-0.0012524331183867662,-7.724475433058028e-05,-0.0010607724570812446,-9.478076376906097e-05,0.0014052956823317887,-2.079970502417007e-05,0.002851346388322121,0.00012149006027466799,0.010406288398058645,0.00030670041299439067,0.006284907143227839,0.0004871476051010535,0.0018890467615397806
0.0,2.452486852877382e-05,-0.0021717438771619575,-1.9589084401136743e-05,-0.0010913675764556798,9.038499935683694e-06,0.0021409263381343643,1.8362566718831857e-05,-0.0035374641213367797,-2.6868906378601656e-05,-0.00018938611351959625,-5.44338506650985e-05,-0.0012508661233206569,-9.838208293541692e-05,0.00045715025166518974,-8.340270500459904e-05,0.0022348686630749904,-1.526181686878577e-05,0.005953352087898994,0.00012954019981933557,0.007864200181733547,0.00033067160494901524,0.00831892601491065,0.0005167166453761172,0.0097240655485115
0.0,-8.014029843950914e-06,0.0013969591022862057,-9.283359264046283e-07,-0.000735587317216513,1.5387191568691047e-07,0.0011103005415687853,1.7744425345962006e-05,-0.0011837588848751545,-2.9576808359312145e-05,-0.0005772569812851012,-7.831322659040722e-05,-0.0018964988349336825,-0.00010982245088483383,0.001324207137568255,-7.889103351316407e-05,0.004437311076821616,-1.0186028219884258e-05,0.006112614060304643,0.0001476429074628692,0.005836600720829438,0.00034305639756893774,0.011084478419002107,0.0005282158254171522,0.010177619601720447
0.0,-2.290407208641294e-05,0.0014801215854877983,1.3402403676127498e-05,0.0012700785029329316,-4.460643032225406e-07,-0.0003444190573176511,-1.3628441426666977e-06,0.00023025861424490947,-8.91559144422089e-06,-0.000716930885005641,-0.00010025737017903074,-0.002259824494917758,-0.00012080457086644974,0.0028306360203643457,-8.793131262327283e-05,0.0023994350786740045,1.774358698726928e-05,0.00414469353885742,0.00015514741170856135,0.009318362739079919,0.0003409386855866252,0.005119035233433505,0.0005507862182285904,0.005557923222335044
0.0,-3.807500372523961e-05,0.002672782741474147,1.9021231984793754e-05,0.0011282823738934995,7.371007635883666e-06,-0.002300581285028513,-2.3416811772366003e-05,0.0006076982328799429,2.621819181659268e-06,-0.00019174220066472318,-0.00010708222811135987,-0.005634066051871744,-0.00013551424479226823,0.0008181298903292282,-7.547581622526086e-05,0.005644630459584901,2.095552764835008e-05,0.007247331350964816,0.0001751032292142554,0.007940099060453079,0.0003538372888962157,0.010911625917268575,0.0005695018147767219,0.010592389855374928
0.0,-4.72436998828575e-05,0.00431555848843308,2.1421225245449805e-05,0.0016158145635856455,9.660664161794481e-06,-0.0031763656143548686,-3.1128360182951455e-05,0.0008008962111949012,-1.2141837544031279e-05,3.636876227493317e-06,-8.594575089660079e-05,-0.006810117816965305,-0.00016272944770306895,0.0013857595837243016,-7.114554095341522e-05,0.004359792825815777,3.907667522191497e-05,0.00911147874607576,0.0001823257053416354,0.0073727963389577655,0.0003654065827324857,0.009867456292630613,0.0005803714684839941,0.009124156404313348
0.0,-4.11658341422449e-05,0.002626521142159077,2.5183312297455013e-05,0.0021616894575813518,4.497937366096995e-06,-0.0012701974056779442,-3.186884587687168e-05,-0.0016459179960291448,-2.146238310503802e-05,9.164176534195767e-06,-7.64170979673022e-05,-0.004414519827573522,-0.0001683021360196803,0.00017249627350570144,-8.637241843305222e-05,0.006668835999848184,5.9774435673788056e-05,0.004582684715940888,0.0001967698634125936,0.00885311580223826,0.000370697946911612,0.007252499812085962,0.0005856491833366323,0.004447750717379165
0.0,-3.7191728448613635e-05,0.0036144004084800964,1.4777010165061573e-05,-0.000335888334278964,1.0475225312800583e-05,-0.001330849311772428,-2.5519093840303523e-05,0.00023539522841261435,-2.7235070826594738e-05,-0.0004939480573449113,-7.93464810308034e-05,-0.0017056567145742028,-0.00015899218913309983,-0.002626878895770779,-9.453690513688339e-05,0.010321582101375173,6.883605429954815e-05,0.0066781932480049966,0.00020852408166979113,0.006552003427958603,0.0003955934840246003,0.009845420059226919,0.0006137160256283812,0.014396208948763832
0.0,-1.016120274284491e-06,-0.0009357403867962133,5.43075684742839e-06,0.002406525624465161,9.29133096915717e-07,-0.0012019108917369875,-1.1030063492075375e-05,-0.0019813188017458305,-2.783428017211024e-05,-0.00010677366074171913,-7.673246309148714e-05,-0.003990128956721671,-0.0001449139414916919,0.0011263770024901318,-0.00011099616977238185,0.005923923970561923,8.291499677207045e-05,0.008543105134835503,0.0002217598605668533,0.004879989306511674,0.0004090166599884087,0.008684579801476739,0.0006007428445856195,0.0077723060262808235
0.0,-8.599580714353083e-07,0.0018620995557506602,-8.026319549775574e-06,-0.0018425242243517229,8.281843179576326e-06,0.0003993993821735029,-7.726381880761473e-06,-0.0009662005438861978,-8.033155653548279e-06,-0.0004149207586952149,-8.313432746910722e-05,-0.0020691166641511193,-0.00013651090549418544,0.00020370000078273316,-0.00010334547150041217,0.003411724407820918,7.302796202749474e-05,0.00954799261437014,0.00025355842765758954,0.006388786282878448,0.0004115739517590248,0.008118082028668054,0.0006027161765467027,0.004398947017439418
0.0,3.1465564128912025e-05,-0.003139577580495083,-1.3084719371820253e-05,-4.819034864314468e-06,-4.466005939762568e-06,-0.0001968161844008435,1.080451932504253e-05,-0.0011820406795055936,-9.982928794548094e-07,8.841896776132439e-06,-8.176081997256979e-05,-0.0049343933894506415,-0.00012188367170261443,-0.001756971412701944,-8.636381884205422e-05,0.006199224516352544,5.2624373321537986e-05,0.010038143216116258,0.00028290380853917304,0.0097076547874289,0.00042425344731873726,0.007465061216529108,0.0006420617968568933,0.014932051127949705
0.0,3.161583033283401e-05,-0.0018234850222431471,-1.466222632613315e-05,-0.0011643078065963924,-9.268037044020012e-06,0.0010436844791737667,2.3026443844822464e-05,0.0019878947333356136,-3.508015288253409e-06,-0.0004709536853171922,-5.850411381714758e-05,-0.004447814291197947,-0.00012438895605366241,0.0005383385915035473,-7.586269209574484e-05,0.0020455468249422565,5.428796680883151e-05,0.00973636329471866,0.0002865659837543074,0.010720359099690286,0.00044953077547388667,0.004492983005472301,0.0006088443123851218,0.00518780821431308
0.0,3.441306204715063e-05,-0.003426658775797127,-7.189309589417132e-06,-0.0017424052393224618,-1.6674566298246293e-05,0.004620344466275711,1.7843783010619086e-05,-0.0008351027560951133,1.2548685965750884e-05,-0.0002327514572394327,-4.934556042535966e-05,-0.0035620662533002597,-0.00010862447863187764,-0.0005407512588342762,-7.123508050139565e-05,0.0036134789574564334,5.7328647652208214e-05,0.008426023095965404,0.00028575202975260615,0.009494195740732066,0.000488537749469334,0.008405122888513469,0.0005624247701976058,-0.001697485596185995
0.0,3.809764610832941e-05,-0.0029067544285324917,-1.5250145015749498e-05,-0.0017085934075979467,-9.701482490917626e-06,0.0008298730136431303,1.6353751053068764e-05,0.0027276061314842584,9.052957044042039e-06,-0.0003952411464849498,-3.460960503223698e-05,-0.003525584956689707,-8.80429826815963e-05,-0.0011480771699790453,-7.316914972721295e-05,0.00506651262688217,7.532061751229042e-05,0.007966233599149499,0.0002730226653939786,0.011804981716806256,0.0005196091229440382,0.005663457971751095,0.0005966433544278424,0.008069914699859652
0.0,4.123800487745661e-05,-0.0035645142294287854,-1.2225543737043162e-05,0.0007587829698299648,-1.3262601905001231e-05,-0.0004746576925139407,6.51021542319819e-06,-9.053086875755278e-05,1.1015870880289878e-05,-2.9061548918422186e-05,-1.8656785333211828e-05,-0.0014156436786528011,-7.681036626753538e-05,-0.002554294447998983,-6.220408134067302e-05,0.004391320107809342,7.436786656129097e-05,0.005491494546459863,0.0002925264762836551,0.011012050207659418,0.0005155178249796868,0.0063740107790220026,0.0005891511129027699,-0.002096456441633894
0.0,3.7679778167812085e-06,0.0024675859543058696,-5.453158737388343e-06,-0.003066697237177201,-6.510031879745272e-06,8.73704199599889e-06,-9.093195738426382e-06,-0.0012055912006338479,4.377681362924494e-06,0.0002581528065658085,3.425436418065345e-07,-0.0009060004757914996,-6.831210792397083e-05,-0.0018252624592539804,-4.309854237900695e-05,0.001101687660304642,7.568304761799585e-05,0.009239936637891629,0.0003092514281308931,0.010055511887071551,0.0005072288991054848,0.007788250043240633,0.0006519737308154201,0.00629772195482389
0.0,8.056726207988538e-06,-0.0002101751624501852,3.5167948733199932e-06,0.00020828330440584927,-1.217843795896659e-05,-0.001964542848335793,-1.2094992332479493e-05,-0.0006353295917903792,-7.513336508449286e-06,0.0006273385165826556,2.5139945735155573e-06,-0.003794472207293376,-3.3867646195895485e-05,-0.000799485775348507,-4.0635389469990506e-05,0.002180380259201384,8.477714969136803e-05,0.009268271327585325,0.0003223607185116769,0.009249801405086758,0.0004956028453942446,0.00785359571719443,0.000722706048866818,0.014653536169988957
0.0,-1.699518670024517e-06,0.00012119925929477028,1.0917222809211323e-05,0.0007250746747350003,-6.734516669162577e-06,-0.0010101899488909037,-2.4963116848187557e-05,0.0025942418333084307,1.5937555210608951e-06,-0.0005119149679272718,-9.860462544001053e-06,0.0033649576083031483,-1.2868570682973616e-05,-0.003522334926562545,-2.9416359046300962e-05,0.0010207871441294623,0.00010350183582049041,0.00852678733732305,0.0003198526395889908,0.0074561844599875604,0.0004920994856247338,0.007974631192975168,0.0007383675973826082,0.008498188341287662
0.0,-1.0576886945105482e-05,-8.645189610841894e-05,1.968124612754623e-05,0.00029396996001909687,-1.0765184943630095e-05,9.648905155144161e-05,-2.5305392711493616e-05,0.0008790434851678962,-1.1207094015127973e-05,0.00014123525447753022,-4.332724534700662e-06,-0.0010277705432438346,1.1723884314198728e-05,-0.00029753821935130434,-2.0383935190098665e-05,0.0017303454255276746,0.00012951069624485796,0.007457082846170732,0.00030446102303877717,0.007799443693249812,0.0005080462661039829,0.011795175439573776,0.0007651138302532718,0.013056135146390353
0.0,-1.6688808641743918e-05,0.0020743534004541734,1.542947256799193e-05,-0.00041558551843822453,-7.52421388489959e-06,-0.0005061162604407782,-2.2670429129274577e-05,0.0003679241831014643,-1.8974891186657543e-05,0.0002209803422458411,6.786772896705533e-06,-3.0112849530947324e-06,4.157257003325584e-06,-0.0014616202583123514,2.6412059363729655e-05,0.001546984705176778,0.00013787009885021873,0.008318425581719593,0.00028541409021962995,0.006807822048425622,0.0005263865180285053,0.010917888640165404,0.0007862557895710466,0.014128415220521408
0.0,-8.3107424718967e-08,0.0006692384176119437,4.2168023147697816e-06,0.0006447556748649109,-2.6915134163770296e-06,-0.0018974250626998571,-1.9603030985316182e-05,-0.00031173991367805314,-1.267846479943092e-05,0.00022621744401732586,8.557030244194413e-06,0.0012009327319382295,3.5899648745288164e-06,-0.0012498404460747489,6.669613622538111e-05,0.0036694439157918747,0.00013706624782924398,0.0007274192425033869,0.0002939544404412966,0.009664609750109559,0.0005241540528960048,0.01266696764374788,0.0007819707384463956,0.005931961643186537
0.0,1.0224745242021206e-05,-0.00045804885477738805,-3.8359850547308204e-06,-0.0003113698589206136,1.7520193317714165e-06,-0.0014831065004966256,-1.575643954692919e-05,-0.0011103431072753596,2.9962990563321686e-07,0.0003919561594303417,3.184302936156672e-06,-0.0004265476567282282,1.2452656946721303e-05,0.002068234976399154,0.00010038884315450244,0.002030352127151439,0.00015269737288945958,0.0020968876308584405,0.00027642389182593806,0.011060516194583451,0.0005415996772148005,0.010132542295415718,0.0008468174466827394,0.020017452429141002
0.0,1.1457881220937001e-05,6.129722625845195e-05,-5.885716477296873e-06,-0.0008710997327914214,-6.161610696165062e-07,-5.7234669037114745e-05,-2.7376523697677777e-06,0.00020727406734487774,8.724162153420374e-06,0.00019289063857848542,-1.1409658772942254e-05,-0.00206753784618982,3.755030544624892e-05,0.0047002936591684285,0.0001230604079336707,0.0025298635784122116,0.00015462987258118907,0.0013089773433405264,0.0002841317241508397,0.005541559041035579,0.0005496639555396354,0.015229036605176443,0.0008223233543813776,0.010599543400463587
0.0,2.1608821037342067e-05,-0.0025412265211964898,-1.7764028798548687e-06,0.00025322234929971485,-1.1151603273621097e-05,0.0013331446068518263,1.6989514131135437e-05,0.0015117955152327616,1.0541381155481458e-05,-0.0006448166003358293,-2.024818663400758e-05,0.0026276373704950287,5.389593662901678e-05,0.005014989095677614,0.0001365966051445089,-0.0009044797590610243,0.00017966634960527193,0.0018873659025674871,0.000283070466346453,0.007306510513806845,0.0005465008035105294,0.01229683872357695,0.0008599964949187717,0.013166685993957273
0.0,1.4884491853605989e-05,-0.0013056702626130278,-2.476116790768252e-06,-0.0015300346429496848,-1.314023768423103e-05,0.0019065684678926645,3.1081668863408225e-05,0.0008901199523333967,-5.623601215575938e-06,-0.00015074437963970332,-1.6368195899731946e-05,-0.0004633853126145537,8.426601745288501e-05,0.003815956989525055,0.00014412041712358922,0.0033346651612442563,0.00019080595680228947,0.00023961966937429622,0.0003033916194175514,0.00911896309061665,0.000538844011391563,0.013863452426904052,0.0009039640970647394,0.020759048838231323
0.0,1.5599322184324146e-05,-0.0002044066712135845,-1.0807351296531881e-05,-0.0019229981437778598,-1.1385864019620758e-06,0.0027510907023336143,2.25614111486631e-05,-0.0007017590261285487,-1.0128454643300867e-05,-9.260684517059371e-05,7.20551565664711e-06,0.002749870215176982,8.043561218618866e-05,0.0009831875527488369,0.00016954301610360283,0.0008514468156251521,0.00020234236337179017,0.004566894656227046,0.0003124129422777733,0.005635954608107279,0.0005418301704795334,0.013325031332593561,0.0008963670281290861,0.015170804268661851
0.0,3.978522795462618e-05,-0.004714469471419142,-1.97270872961914e-05,0.0010431666976487095,1.1720285962491916e-05,0.0006996325100895065,7.974183187011772e-06,-0.0016864302195761696,-1.2982461242700415e-05,0.00043627385211272385,3.7297148085597325e-05,0.0005593802857786907,9.484069098330804e-05,0.004248388283358114,0.00016114001584910644,0.00012936644993516934,0.00023027783733908094,0.00196073080153358,0.0003273989476558822,0.007370641047543045,0.0005459231141918188,0.014699135116487051,0.0008857913479815412,0.01252933912837586
0.0,1.859387617906972e-05,-0.0019643889980036546,-1.6719247451304653e-05,-0.0003793190611153497,2.5380749166566806e-05,0.00027123566118386237,-1.4278126859917187e-05,-0.000501204827017409,8.344838901080028e-06,0.00018666507639775325,4.585429630827903e-05,0.003934468997463334,0.00011057440133887675,0.00014491778036919802,0.00016888040680488066,0.004109682868351985,0.000243534726599774,0.0030071687639440384,0.0003357738140259592,0.006074370689608936,0.0005664789420734442,0.011970570024317468,0.0009037132243087223,0.020963561517980057
0.0,-8.684144529818201e-06,2.0386335389826105e-05,6.763371198237957e-06,0.0018073993100253362,6.754954663344513e-06,-0.000970593009524801,-8.274094196435314e-06,-0.00013170102685782306,7.11846229953965e-06,0.00029528031484345624,6.729002657784641e-05,0.0032193541497969897,0.00012287692816898314,0.0019353206154461918,0.00016889366456237075,0.004206452268478371,0.0002540198186562087,0.000875785025532737,0.0003607585618434056,0.004843280855403823,0.0005773861310839282,0.011846652115166056,0.0008544926145027629,0.010704943130112232
0.0,-5.3727983949723323e-05,0.0053406943139321,2.9963815076110762e-05,0.00027774142112270373,-9.082342130283668e-06,-0.001570021333601426,1.3517832598414451e-06,0.0012818450359514972,5.721006186372853e-06,5.583521330902586e-05,8.520143989138986e-05,0.00453993309199424,0.00012266615085670282,0.0035208655247330506,0.00018191864565609127,-0.00030769451868734553,0.0002670140393238722,0.004612124012409877,0.0003803181321573834,0.006615015442475142,0.0005922278028404836,0.010299346538819549,0.0008404220864329959,0.012115457806409843
0.0,-6.580629983380209e-05,0.006699769210277387,3.530985871588931e-05,-0.0001390264894946,-1.0863335560393612e-05,-0.001574800261734257,-1.2881134273062154e-06,0.000280153644066773,2.097868426129488e-05,0.0005836980354621074,7.107325615763901e-05,0.0022530651796079334,0.00015046885178258545,7.439604368542454e-05,0.0001942540548965967,0.004358354634786975,0.0002590106024412232,0.004515414602567453,0.00041987466453361784,0.007173258569592671,0.0006004217938007912,0.01034506074349889,0.0008165276408914869,0.011027743267832863
0.0,-3.438902675220988e-05,0.0031426317714580475,1.5517054263749283e-05,0.0014469027727104854,7.1257680079005435e-06,-0.0028318868374906663,-5.1729606055514316e-06,0.0031591949369788514,2.1901286423747427e-05,6.271260858361728e-05,7.090205655394292e-05,0.003690222058846844,0.00015719807228798896,0.0021214667433771817,0.0001985439712921406,-9.376577356589254e-06,0.000279261377548379,0.005676437596777301,0.0004382476242599507,0.010131680806715702,0.0006106173670692398,0.0047640084061836944,0.0007912564428536089,0.006777202118324139
0.0,6.6279074073389605e-06,-0.003371939805979032,1.045179774220379e-06,0.002632012100481441,1.547871004060035e-05,0.00024343560426993115,-6.146737237317702e-06,-0.0007333540715949179,1.3832025975116166e-05,0.00040500483995909505,7.2110883707038e-05,0.0030374400177145644,0.00016395716634905658,0.0037479391316229725,0.00020885632454123416,0.0006393037257084642,0.00028656574561547563,0.006632649181705859,0.0004668193320723736,0.008189492243457623,0.0006305681394101286,0.008754640278786073,0.0007404344476668245,0.0028259028780916414
0.0,3.9702281299450575e-07,0.00045849396373911713,-1.3317864200215712e-05,-0.0018620394559523859,2.6807781726609988e-05,0.002651319491270748,3.965453128704506e-06,-0.0004665849700550105,-6.6805670649550415e-06,5.679706868300887e-05,7.24992447732254e-05,0.004749863842346943,0.00016399580148358618,0.0030053500457665775,0.00022097811160581604,0.0029430384701623967,0.00030368132287859445,0.007320707675601457,0.00048022424236082354,0.006873075347245559,0.0006489521556527475,0.0046129921983065385,0.0007335853008450767,0.0057096916255830665
