‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,24







3333.3333333333335,6.323840431817836e-11,-3.717605692818791e-08,-5.06529123807312e-11,-3.87016782966267e-08,-2.0344727130255895e-10,-1.1589674514196183e-07,-6.756219658191079e-10,-3.8442100407357226e-07,-1.4486546440651766e-09,-1.1216667204524024e-06,-3.6890470158272148e-09,-2.649882696128826e-06,-8.797247082059232e-09,-6.661655136919853e-06,-1.2239880723874797e-08,-1.3969816175179197e-05,3.084315602034485e-08,-1.2125141287060336e-05,4.0554607180359415e-07,0.00010382276083088649,3.2193184863783296e-06,0.001063869819572712,6.131909409689472e-05,0.015146114220418576
0.0,1.8269100078301924e-08,-8.033971108909962e-06,5.8391529480423374e-09,-2.2431626610436204e-06,1.9618691673523442e-08,5.220482062408913e-06,6.856661709583328e-08,3.229512045974431e-05,2.9954030062167806e-08,8.427741205916426e-05,-2.309046974198239e-07,1.7187577863450663e-05,-1.052247967232444e-06,-0.0003679114122522012,-2.5426624784666528e-06,-0.0015483467769116892,-1.2341117058217337e-06,-0.0030765707889687114,9.89682421675864e-06,-0.0006394630968425989,-2.354914786653209e-05,0.0001640964707317308,0.00011252706393930889,0.0021331558028853696
0.0,6.99624221246437e-08,-5.969965831426222e-05,-9.817027686487713e-08,-8.198326786638744e-05,-3.164430792714439e-08,-0.00013517998451236202,3.50439747036008e-07,-4.4954279851986e-05,4.110062103231414e-08,0.00021499251504070963,-2.2360368567017593e-06,-0.0005083038514298504,-3.0243217884112326e-06,-0.0024781137820388166,5.994145302990697e-06,-0.00197898277007301,1.929011646641291e-06,0.0025568374052246916,-1.0384596067456734e-05,-0.003877760126458199,-3.1372179223149055e-06,0.0052924236672384556,0.00017576974441052616,0.008204548343533243
0.0,-3.5281342157209073e-07,3.857290909141408e-05,-2.2654793993111512e-07,-0.00016623444661846773,8.1164424732916e-07,-8.849293421080845e-06,1.2737505955768934e-06,0.0007822644432336006,-4.868628507181858e-06,0.0002986435910578506,-1.4264180500495386e-06,-0.003126350650004895,7.785024529199836e-06,-0.00015094409588658163,-1.0124633028833664e-05,-0.0004394196632285173,1.9602536934116993e-05,-0.00016223012034214255,-3.465292015195891e-05,3.45057160515362e-05,2.5936475886607644e-05,0.009007701087642147,0.00023281976398332676,0.01628871465248364
0.0,4.567295343160932e-06,-0.0015415991468036763,2.6312362294229273e-06,0.0004536158623491209,3.120651405524998e-07,0.0016213972157843775,-3.7482734616885306e-06,0.0003410524422701191,6.050598741560557e-06,-0.00028401897753312983,-4.240834429746347e-06,0.002832014706977068,-4.2841988625894594e-06,-0.0030497292918538897,2.1480579529347497e-06,0.0005145749987819019,7.659033782102708e-06,-0.0047865185774355595,-4.858052721929405e-05,-0.0007136507689370542,5.025288861814264e-05,0.005039728918142238,0.0002264794825467449,0.0015070901037133443
0.0,2.231979541643003e-06,-0.0005790097028751059,-2.242310674139819e-07,0.00010621580876321964,-2.3781799024707e-07,-0.00043522067979372494,3.5099142980977515e-06,0.0009766736620654862,-9.291649662286655e-06,5.295341038546153e-05,9.684330473307757e-06,-0.0013073009928395553,-1.0789388808094678e-05,0.00035151113495896565,1.8000143394040667e-05,0.0015038325761376381,-1.844617118098321e-05,-0.00455207140015094,-4.6692382953587325e-05,0.0006403139551117833,8.472769491509723e-05,0.008855900418672371,0.0002755629810732177,0.012186950342892298
0.0,-4.565655757345574e-06,0.001122840193689044,2.605473893113802e-07,-0.00033409309947574816,-1.002381377386813e-06,0.00018432982218852877,-1.4673738234827986e-06,-0.0017206882303734258,9.780943284819073e-07,0.00035276450774130987,5.60654681003568e-06,-0.0016699072038057594,-1.1884834007047615e-05,0.00233259263070009,2.7232256800726825e-05,-0.00234748181873079,-3.970389939965209e-05,-0.002672534468484796,-4.0051733024654254e-05,0.0032391633806976624,0.0001075704807065037,0.008551795591010103,0.0003111609324852834,0.014968081151968423
0.0,-3.7096205528331234e-06,0.0014101347094707915,-3.572416485716653e-06,-0.0005895221362140497,3.7771136104927536e-06,-0.0009725847985321339,-4.333906439270893e-06,-0.00010497515973948124,1.5656029670148283e-05,2.2230303598160733e-05,-1.8852293773116637e-05,0.0006183395567632373,9.686279115264567e-06,0.0005235181416663126,1.6401935943651545e-05,-0.0032142106233788233,-6.112178719480587e-05,-0.004793475549482604,-1.971263333593299e-05,0.003998670417224834,0.00011674665007385883,0.006848621871424875,0.00029662292919537876,-8.183020130128312e-05
0.0,8.264506151495564e-06,-0.001518431193303862,-1.483127767621132e-06,0.0012285684015557073,-3.054401178080715e-06,-0.002280064156274657,7.547167830886501e-06,0.0014548836491478248,1.1013040099366907e-06,-3.607833355790957e-05,-2.3831596373253257e-05,-0.0009531133791764422,3.26529032125994e-05,0.000911837640394853,-4.7486000467331884e-06,-0.0038322330210600565,-6.352640218985584e-05,0.0002427857863558031,-1.687460486414363e-05,0.0063782355237346254,0.0001484829537224378,0.008094347490335958,0.0003627009550952829,0.01637024876641471
0.0,-1.0920427117181052e-05,0.001276615155111769,7.0208191678670716e-06,-0.0010170273102683206,-5.045293436691665e-06,0.002531986265513613,5.213856438565755e-06,-0.0001988497966517027,-1.2479699272912863e-05,-0.0001874959524435703,-9.30753743386379e-06,0.0010201098495278313,3.441493980228966e-05,0.0002575936843998387,-2.288149115916863e-05,-0.004796817497017358,-7.191123330029518e-05,0.0011463538291514978,8.187703356350571e-07,0.004702765383081741,0.0001675250937875896,0.010264251862133998,0.00034892771411718706,0.007419992191296127
