‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,2e-07
fs,50000.0
simu_time,0.0375
qty_x,20
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000.00000006, 8200.000000000002]"
jig_position,"[16, 17]"
animation_speed,2
sampling_length,1875
vec_length,42







2666.6666666666665,-6.070061055131711e-16,5.527584990712069e-13,6.159131849240343e-17,3.482703621588804e-13,1.2400011640140136e-16,4.842551797840443e-13,-7.916495586342023e-16,2.319783231196644e-13,-7.1010287368895755e-15,-3.724832254085474e-12,-3.8981068829031935e-14,-2.781109749826927e-11,-1.8127898524462328e-13,-1.4491594173889628e-10,-7.729335257431552e-13,-6.570967845990446e-10,-3.1291232963463325e-12,-2.762286251629939e-09,-1.2084709732403997e-11,-1.1028954890775081e-08,-4.5045528312501926e-11,-4.218588463885333e-08,-1.628113872515948e-10,-1.5598965422902622e-07,-5.703542865927454e-10,-5.590304173073037e-07,-1.9304455551809257e-09,-1.9400675747146914e-06,-6.266826665013582e-09,-6.49264259244975e-06,-1.922781018216913e-08,-2.0763674829390276e-05,-5.4044610430453654e-08,-6.230003684655048e-05,-1.283132717706942e-07,-0.0001683443520971983,-1.752412826436136e-07,-0.0003620811358425313,9.773435689246699e-07,-0.00012107312104384874,3.769561937510055e-05,0.014750342091312303
0.0,-7.623315140975348e-06,0.0027672298600462273,1.4047215811368665e-07,-0.0021562476903262346,2.8079510332690284e-06,0.0016106495157837413,-3.893491159138094e-06,-0.00025409614494060947,2.9353282451603623e-06,-0.0005422865543105636,-2.0985787767003563e-06,0.00010491014125719165,2.942968743388198e-06,0.0005834735071533412,-5.1398754444226245e-06,-0.0009389748619997587,5.442978374025032e-06,-0.00034285730528730944,-2.085798085506521e-06,-0.0004890832608603517,-2.7711849894089864e-06,0.0013975202391503926,9.285008839888724e-06,-0.0016893564815203866,-1.4297688723127903e-05,-0.0017012218254784171,5.355123801743243e-06,0.003941559492825261,2.0978067750264744e-05,0.00035434063972779886,-7.934994315731266e-06,-0.002763818059106497,-4.668307885581901e-05,-0.0019704238860232155,-3.190065519922756e-05,0.0031312217092540305,3.365621118947332e-05,0.0066896972298569855,0.0001333822270800772,0.009593272997862654,0.00024089050214491154,0.010990125973735882
0.0,-1.88577845285368e-05,0.003736507677294327,1.3500136161700331e-05,-0.0005083268027434324,-1.4071392761511107e-05,-0.0002999774020421218,7.202866377718531e-06,0.0015850007123170019,3.7387686080293676e-06,-0.0014730140968814917,-9.818460927221324e-06,-0.00010259906180106924,1.2289707615114344e-06,0.0014083875853104833,1.2855775341690065e-05,-6.509278378615782e-05,-7.474184108692531e-06,-0.0013048941665071228,-2.53578803925113e-05,0.0001885753703775231,5.433581795360113e-07,0.0008009199770092729,2.9055013733759564e-05,0.001893452313865966,2.4028690171248373e-05,-0.0022112115821656246,-1.2711724101346355e-05,-0.003039616083455966,-5.434239382047697e-05,-0.0027344305048342173,-6.598580575264158e-05,0.001875084909871195,-3.8652271312801905e-05,0.002917551703732099,3.540289511313489e-05,0.006379108839110096,0.00012214452119205195,0.00917520048508101,0.00022889808395584236,0.007262845593791104,0.0003414832543149529,0.010680416766988035
0.0,2.0087730017690913e-05,-0.001373428236763635,-1.1846099399717154e-05,-0.003051877051976903,-6.249754435388844e-06,0.00241875645737834,9.275670843086324e-06,0.0004200707630375031,8.010165049118391e-06,-0.0019905734742835567,-3.7281752884095994e-07,8.993635133791849e-05,-1.1348006965558881e-05,-0.001421464737859764,-8.41282133624168e-06,0.0024408743070087943,2.4222242958734904e-05,0.004173280689065875,5.0672548428203836e-05,-0.0007525336996359214,3.5310215144981135e-05,-0.0021651467221282974,8.982009934279705e-06,-0.003999000081695667,-5.2352422286630004e-05,-0.0018148842855615695,-6.977367369085489e-05,-0.002378277545820556,-7.975215486277644e-05,0.0007065355899405934,-4.9545618977703824e-05,0.003817351208843664,1.1390816362078379e-05,0.006193453051228424,9.836875858368911e-05,0.007027306400806862,0.00019923833918178543,0.008277468298984025,0.0003016307430373157,0.008677747234865028,0.0004134614025715015,0.008911896768388656
0.0,-2.7854507995458163e-05,0.003992338017161599,5.3380202044870266e-06,0.002153184719830365,2.1233840019724642e-05,-0.0026934000553237364,-4.628871899598119e-06,-0.0015456446469282875,-2.731717812879285e-05,-0.0010936031170256006,-6.7553479362131175e-06,0.0028532134470226293,1.361674298712967e-05,0.0014383828755616776,5.563066515142402e-06,-0.001770581987432026,-8.407986963218698e-06,-0.0007723278781789214,-2.8556369100922458e-06,0.00042279394563202947,-1.4683782489117577e-05,-0.0015632451439033094,-5.1581635631301e-05,-0.0032688282850155113,-7.952630167379686e-05,-0.0017225878129392789,-8.760741828330409e-05,-0.0007668193749652299,-8.219010844184461e-05,0.0028255445042826553,-1.3317271006857251e-05,0.008968746531499547,6.876267006618448e-05,0.004437148230753305,0.00016040430783864596,0.008244693043948337,0.0002604237758743979,0.009164658645153631,0.000359803183161819,0.008366423501963408,0.0004866236038992818,0.010537758617251914
0.0,2.0479122797853966e-05,0.0011495857955458922,1.7551646549125012e-06,-0.004377124962513081,-2.1852080907108043e-05,-0.00024471042382319484,-1.275631775172223e-05,0.0010688024932144781,2.6166423480587324e-06,0.001392292333557304,1.8384517512739854e-05,0.00045848788221261735,-1.3662812250500437e-06,-0.001946278756096151,-1.7660440881622622e-05,-0.0002907952241644452,-3.236788055450013e-05,-0.001310962544054293,-6.853268055822692e-05,-0.004944845197850133,-0.000101395027171897,-0.0027199572468256396,-0.00014250926539931006,-0.0003296518117477036,-0.00010842193357443927,0.00516077404132723,-5.783822833637629e-05,0.0016358339983015735,-2.1201456321404006e-05,0.003177245139706533,1.9925425060335294e-05,0.005217315685958713,0.00010518246830757074,0.007028452763874908,0.0002052206746377406,0.010828734762747951,0.00032175631641298053,0.007628352990131251,0.0004259221991887189,0.007562829045205412,0.0005252282925242358,0.00866391410643002
0.0,-2.26359333237116e-06,-0.0007388550789906734,-7.860171363063334e-06,0.0011193548797410252,1.2386719570207603e-05,-0.0006630392507660913,-2.8437509089176723e-07,-0.00020811557676798166,-7.965975999250448e-06,-0.0012165373660165675,-3.2315181995641315e-06,0.001694459350233425,2.09996926019425e-05,0.0019674476190906028,2.6300303776522965e-05,-0.0007437734611001938,1.1091169287696865e-05,-0.0028674638774009486,-6.309994435664108e-05,-0.006786479959416176,-0.00012963833997505994,-0.003620655995301855,-0.00014802359682838443,-0.0008710259682628887,-0.00013904667892867935,0.0031298642172859488,-9.094616120096334e-05,0.00651731298675693,4.209822983457829e-06,0.006460136861819476,9.555265999206014e-05,0.008649094047420479,0.0001838737017552285,0.005374574878604009,0.00026648579433985985,0.005958865644252455,0.0003365770997190795,0.007717732178272888,0.00045881399707062395,0.012481759502257729,0.0006264917269418204,0.013302132243757486
0.0,-9.924480336409057e-06,0.00030482562197845,-4.662054188685481e-06,-0.0003499448701906559,-1.4367045869077081e-05,0.0009253811516689227,7.76739185874655e-06,0.003421646747735707,4.5541425685879006e-05,-0.0008307627218605085,2.7757459957121834e-05,-0.0004690914205190411,1.568740205769053e-05,-9.600795400532667e-05,1.4958500810155126e-05,-0.002123671390356302,-1.6935905136989258e-05,-0.0015686479322640306,-4.208698346015586e-05,-0.0025221376719816568,-7.302653075572724e-05,-0.0031269410268450902,-0.00010539928664343887,-0.0019792082781687577,-0.00012153209629788564,0.0005211403851095792,-8.733151863838492e-05,0.005196938378236381,6.064301346562432e-06,0.008667649147046336,9.423463234553029e-05,0.007266805887527122,0.00021526813215724116,0.010019634944047104,0.0003358386926501526,0.008939651064652622,0.0004486927530618701,0.008666114059166756,0.0005141902966274583,0.00369832907853735,0.0005687002487279115,0.004505643564289565
0.0,-5.123364701661621e-05,0.0029437711102262205,-1.4731924678394684e-05,0.002828366343342809,2.328293407672314e-05,0.002707797108494244,3.7808814766446004e-05,0.00025393813680172787,3.2396055203150786e-05,-0.0005007892857847062,3.624122400315136e-05,0.0012553836136168235,4.09636844052498e-05,-0.0010555777874890894,2.347353690259307e-05,-0.0013161833300425522,-2.2846993585540365e-07,-0.0031208382300735044,-3.0309187151073255e-05,-0.00039510581932997445,-3.293966905920739e-05,-0.0004982181378225362,-3.655917481997355e-05,-0.0011486065054524687,-5.586198052593192e-05,-0.0008260526243531203,-4.875465373843615e-05,0.003250711696425774,2.105657663481969e-05,0.0063390218343925085,0.00011121490738120875,0.00825354854437396,0.0002358969646418654,0.011868900061583403,0.0003753179995384767,0.009836089245049553,0.000478922175762868,0.008345576131284357,0.0005776747247762434,0.0035888671752473643,0.0006246542126995329,0.005318786531029642
0.0,-3.141522405544935e-05,0.0019982431699399677,-2.210397321668627e-05,-7.530924849333983e-05,2.095481240087173e-05,0.004780450795940531,4.876881209698403e-05,0.0012148509117113366,6.10172021238295e-05,-1.048088747403186e-05,4.554946199040777e-05,-0.0017948080257368059,3.2111122409485344e-05,0.00035077990103719555,1.8730926847076476e-05,-0.0032783810686613773,9.793675402511223e-06,0.0003519264412234266,1.599357471264057e-05,0.0008612726870007593,-3.678776790795661e-06,-0.002004480681654217,-1.8475732128851246e-05,0.0004474734890706478,7.305923944430229e-06,0.0011275861345673313,4.1087947863092663e-05,0.004544273302204182,9.46378439764052e-05,0.005738850339776072,0.00017515929095612257,0.005871166212417362,0.0002475228318628102,0.006544596927829122,0.0003424689954080552,0.008246191377783416,0.0004577153401531596,0.010790710055364671,0.000622233221191787,0.014227718743186814,0.0008176059598335099,0.016779234492477913
