‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,2e-07
fs,50000.0
simu_time,0.075
qty_x,20
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000.00000006, 0.0]"
jig_position,"[20, 21]"
animation_speed,2
sampling_length,3750
vec_length,42







0.0,-9.237660718444934e-05,0.006542696350651801,-1.7783896995448136e-05,0.005113074987866507,5.0118768549936044e-05,0.0050161663129412734,6.176198278306742e-05,-0.0024641500468050147,4.493297139219329e-05,0.00032837079211943377,4.4131907085402174e-05,-0.0012844287871075662,2.6621270144333137e-05,-0.0007600390769560584,1.4187919645259257e-05,-0.0022923637042536102,-2.1691548642266187e-05,-0.0020820973270820123,-2.3465244186866667e-05,0.001293736749408236,-1.6325997948359397e-05,-0.00030551998848199816,-4.481551617607996e-06,0.0032529233254876785,6.002213705438088e-05,0.007219673674125707,0.00015833349623921338,0.006650297991216904,0.00023376914071526164,0.00621659677517766,0.0003250424585891094,0.007921160759045627,0.0004219458799581854,0.006560387418178788,0.00047154508607376885,0.003501471349742087,0.0005119969261446685,0.004210785066231895,0.0005728412042569645,0.002573156709516467,0.0006361241858946956,0.00763190445704954
0.0,2.9359248083173007e-05,-0.002805320471761432,2.8104970905989165e-06,-0.0007763060666347612,1.5031508375860501e-05,0.001535074918493572,2.0370690500569042e-05,0.0010307629733977996,2.7268868073662588e-05,-0.0001476220341565947,4.0629156840201864e-05,0.0008716146412179298,2.3280050653318044e-05,-0.002778073231874626,-6.419261705434042e-06,-0.002087561124619462,-1.4530862647586917e-05,0.000692476559830328,6.910806830835792e-06,0.003077236541919579,1.1280672281291338e-05,-0.001515675058868715,2.0946374681918354e-05,0.0021943197721898005,7.539806470836029e-05,0.00677159886079,0.00017272722595952872,0.008733575868781353,0.00029542976409660906,0.010758021384377188,0.00041537256881129023,0.006459123581978499,0.0004709297808156161,0.005430015401235982,0.0005409628254766307,0.002911287318762423,0.0005611925889891913,0.0021748627059651094,0.0005867836530070514,0.001897948479410988,0.0006014253500223631,0.0005614520956279557
0.0,7.900353166427179e-05,-0.0032724894461688874,4.334391683435376e-05,-0.002956322632086589,1.1434117336942408e-05,-0.0006480957760722826,-6.365933589075129e-06,-0.0017814576706483287,-1.4110717827278289e-05,-0.00010799200327558491,-1.5150455221526678e-05,0.00040582758756645826,5.618743716448238e-06,0.0025094892189484897,3.0445277087227302e-05,-0.001037834144785672,-4.9809541608424945e-06,-0.0018531742909567556,-1.4149246668471533e-05,0.0005924541589323711,1.1787301728564957e-05,0.0037315242817971047,8.542076930623984e-05,0.006850035784081496,0.00016350035010815174,0.006331350979368348,0.00024400175129075157,0.006046427426208429,0.0003319092697566014,0.007148164711488336,0.00040617969770291226,0.007472076716465179,0.0005109773971185166,0.007150958249862373,0.0005886200056851007,0.004309936015241936,0.0006262852895529351,0.0020862008177800952,0.000620301497313419,-0.0018176289833489374,0.0005915529082107031,-0.002785390493416793
0.0,0.00013083974027445038,-0.0061309119268896616,5.507139708056049e-05,-0.005287497391329509,1.2945189235133752e-05,-0.0028637053617117706,-6.958955257956936e-06,0.000559160331692011,-2.0550157257115893e-05,-0.0019528950589814368,-4.80680000228881e-05,-0.002635193918108136,-4.849358010378031e-05,0.0018172380508001003,-2.6370242996620106e-05,0.0011509470892336418,-1.7080072521561807e-05,0.0008237774092446347,-1.8535811721828636e-05,9.086143889673219e-05,2.1023472835483903e-05,0.0051837066783377295,0.00010042438138706684,0.007633977853369702,0.00018620946383162535,0.006601324334035788,0.0002872664722749797,0.009960637590103842,0.0004048819660171799,0.0060465473185450525,0.00047077543067837094,0.006008226852197515,0.000531901756185934,0.0042877166737005645,0.0005757719696046375,0.0026312739421598423,0.0006038066086449975,0.00289753337342333,0.0006720865866610006,0.00579709233896506,0.0007371948501118163,0.005322254000482885
0.0,9.892422001292719e-05,-0.0001672365918258976,7.813524018471879e-05,-0.003322816262264312,4.193627859498359e-05,-0.004031217893788862,-2.1232314248003046e-06,-0.00196578981299673,-4.263094337827073e-05,-0.0036675884652479945,-7.284093315641343e-05,-0.001120636733529704,-8.275415863526134e-05,-0.0013196555804946735,-0.00010150264538861541,-0.0010451996010868527,-0.00010155802767416886,0.0007202507710827234,-6.631536413765364e-05,0.004107866450923387,-1.8452782395274083e-06,0.00738593317623153,8.345100674557931e-05,0.007497859873391287,0.00020317849400427045,0.00977813780115219,0.00032249575632202845,0.008970830768213487,0.00044558602248818984,0.00897732423566949,0.0004911081329067394,0.0014286484606271911,0.0005212370785570273,0.0032667190332173208,0.0005856461442440049,0.0056633166522455656,0.0006474143253189693,0.004780191837527707,0.0007244436170348261,0.007939910438541151,0.0008144665410682831,0.006384776530458333
0.0,0.00012441596665927653,-0.004817530315209513,8.20776840668196e-05,-0.0012568518775395183,5.301848473721914e-05,-0.004161435510662871,2.6170520109511664e-06,-0.0034880295569872845,-4.955786276534858e-05,-0.004017298935077434,-9.164173780467178e-05,-0.003956125295655686,-0.00014889685653003706,-0.004399171269177523,-0.00017905044279753065,-0.0009816165305965663,-0.00017268517492195176,0.003892767991750017,-9.429563690643176e-05,0.007619312990154384,2.4257435155868616e-05,0.009545824738151899,0.00012852695964233433,0.008507315644040976,0.00022721603970754137,0.007845891317545931,0.00032062509071888434,0.005860485831869021,0.0003853660740103159,0.00438403509064568,0.00045768462032624234,0.008634866102338752,0.0005725952946675559,0.007904315316959185,0.000644564548348073,0.004770499102273384,0.0007139560816969815,0.0061192698228404695,0.0007711469636452968,0.003312517152873927,0.0008394134206089954,0.006971192479189928
0.0,0.00015795287988713797,-0.005520315455511359,9.074281828506576e-05,-0.004597656655032264,5.555407628723806e-05,-0.0025931942105259717,-2.362794171778252e-06,-0.005483060606513197,-7.904062672042161e-05,-0.007371640843796196,-0.00016307879801393292,-0.004675532620994518,-0.0002025581187907795,-0.0027279986361180863,-0.0002156007690151277,0.001288858871699227,-0.0001686961847242728,0.005761400463109828,-8.98270249969936e-05,0.007156679617702405,-1.2621583714462104e-05,0.005177392125871435,7.366580006953174e-05,0.007858388132405756,0.00019598397363023408,0.011649132850997246,0.0003022118110018771,0.006118210758696927,0.0003800197226497041,0.0064186058128164,0.0004823216378453269,0.008769094562610935,0.0005822770442158744,0.008082911351697796,0.0006873166950987805,0.00797952274232461,0.0007629198642031554,0.0038052605618521195,0.0008174077686938185,0.007146512925912833,0.0009012960527150076,0.005618876584441157
0.0,0.00022090972152569798,-0.00792727270676205,0.00012485277659847973,-0.008112573492587054,2.1705692651419083e-05,-0.005865159036030666,-5.805414935754709e-05,-0.009176852153532767,-0.00015826077855714708,-0.005380262238838088,-0.00019651064437792228,-0.0013397135104298969,-0.00020435178485176368,0.0005352394360409514,-0.00019485190490675715,0.0010048630223567828,-0.00015725591423466253,0.004179016543434404,-9.699603676112404e-05,0.006440689457244295,-5.2251897436064605e-06,0.006438835688993038,5.6176843741827726e-05,0.005406131126551259,0.00014276321137931142,0.007836957869214586,0.0002617885651337684,0.010650055184114094,0.0003902076755572314,0.010436304382602807,0.0005186216657527032,0.009505588083595985,0.0006170345211471938,0.005971902453326866,0.0006927683544313906,0.005817480216199703,0.000774704494293499,0.008789132697531185,0.0008832380462590947,0.008984838789417922,0.001010969355656181,0.010642430247424743
0.0,0.0003007493651268225,-0.012638050054294513,0.00013063593144880766,-0.014703569595536344,-2.8563685060141834e-05,-0.010328271239383133,-0.0001303726057259262,-0.0058446849966471625,-0.00018592168435998375,-0.004084247101009614,-0.00022099794385247167,-0.0001477940182437992,-0.00019989451110441478,0.0023142263331934494,-0.00016950150214415605,0.0033011973086206894,-0.00012778554252547273,0.0031455113694662663,-6.096335927638527e-05,0.006413156803859561,1.2021679436549268e-05,0.006446322114941882,9.59616834639031e-05,0.005600437125056521,0.00015541599446988912,0.006305569788395906,0.0002704240025688547,0.010445698705389268,0.00037355253317203027,0.006950675315382777,0.00047836700270711876,0.008160223369921638,0.0005942683936752353,0.01079994805160044,0.000728547138802105,0.012313084487910205,0.0008646263872249168,0.008375392456001097,0.0009574933496928356,0.005192575149198093,0.0010214018605580722,0.0057982837666735966
0.0,0.0002453177870680881,-0.010495085660145087,0.000108920178982256,-0.011427260186065255,-3.096544666139772e-05,-0.01019057359759971,-0.00012969583830680197,-0.007019105905894861,-0.0002140578874142042,-0.005453191997738281,-0.00024656164946448654,0.000964699148710663,-0.00020330929256666224,0.005328219613394418,-0.0001500853385886285,0.0032045996815828624,-0.00010034727333228124,0.0032300068733470103,-5.909255953405389e-05,0.00366146817048423,2.774090180262946e-06,0.008654737636793076,0.0001125307766975281,0.006518128756916563,0.0001807417101994691,0.004886303956186295,0.00026017150771825005,0.00773532597562921,0.0003552246339172631,0.00905169848865757,0.0004755042833031239,0.00839399394440038,0.0006020095607060571,0.012659605868539753,0.0007553557386841404,0.010568076009585925,0.0008770210437071835,0.010134562079731823,0.0010048371506207743,0.011084907984837508,0.0011791163470548833,0.015495138302863587
