‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,12
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,26







0.0,1.2026593421598002e-05,-0.001252005704295497,-1.1452900558091374e-05,-0.0002272294764604987,1.8822938750963835e-05,0.0013268527225630817,-2.3664990852125445e-05,-0.0026872881960537678,-9.049308658809148e-06,0.0006109817976259148,2.701975591452393e-05,0.0016321632683041626,3.050315821371757e-05,-0.0037339570865755492,-2.5478444556162667e-05,-0.004450991673370354,-8.036672499181506e-05,0.00024382971839836503,-5.2987839337126283e-05,0.0019980279847451416,7.376443112707173e-05,0.007014803855595301,0.00023034083756993116,0.006821486093874375,0.00041511765490786346,0.007195745266175152
0.0,5.778460336924314e-06,-0.0015601113473119716,-5.977966451542468e-07,0.0019162395635448325,4.610845572033977e-06,-0.0027445526283949822,-1.3835207940416968e-05,0.0006078533378939397,-3.738350399265277e-07,0.00045034706136889383,4.4481730235467326e-05,0.000347967530159459,2.897840482272088e-05,-0.0023043871494084632,-5.168119251120347e-05,-0.004302669637125925,-7.703392578358493e-05,0.001157414853161884,-4.4669195602357915e-05,0.005928416392419294,8.179850530150397e-05,0.006960725656452843,0.0002554078836599861,0.007921698378335245,0.0004479227772693047,0.015158293935764004
0.0,-4.294706144138658e-05,0.006383450717902693,2.1249468127358417e-05,-0.0015715433508213393,-1.4771604447917743e-05,-0.0013527290463722355,-3.3780192333354702e-06,0.0015634086740711807,2.2949674089749707e-05,9.071148882807935e-05,4.32234479498218e-05,0.0022282244577178255,2.214486592929973e-05,-0.0056225223486293776,-5.9495725095587535e-05,-0.00035553142138285506,-9.40604257235487e-05,0.0014726376418900404,-2.776235730114902e-05,0.004029021351263213,9.551905548457445e-05,0.006348559662902697,0.000269859112433139,0.008968121093117553,0.0004267456979930286,0.0034133773217812197
0.0,-3.004931491478061e-05,0.00383217439683974,2.261435738780977e-05,0.0001863594527299901,-2.6395948740059334e-05,-0.0019215084970646188,1.2137678172438441e-05,0.0015967083990915097,2.5087247591373004e-05,0.0004024136590421852,5.342653532722438e-05,-0.0018560521531532344,6.847489910703918e-06,-0.0009730236633195476,-7.663712198454534e-05,-0.0038494741528352773,-9.153396354297732e-05,0.0012377423767385408,-1.6614914753199732e-05,0.004415131727096915,0.0001108759032147015,0.007870637986663905,0.0002831557519211785,0.008585527080170867,0.00046326149775005674,0.009445093135803705
0.0,5.7981175191398555e-06,-1.92581631538314e-05,-3.5939008170211537e-06,-0.0006968210947242582,-3.1986667790627667e-06,-0.0004190664991177309,3.2445458854618383e-06,0.0019109126489445293,4.251138693309518e-05,-0.0002439624860974674,3.836581053588294e-05,0.002499411602907574,-1.3816937344549021e-05,-0.0036504647983738566,-7.897344276124656e-05,-0.004342384264074595,-9.27057774243774e-05,0.0012713904923176808,-9.220310171546816e-06,0.004701266130585945,0.0001302446002334448,0.00778668753864903,0.0002938859912805951,0.008539458783024237,0.0004901130500056941,0.012113727620384002
0.0,4.463912881383505e-05,-0.004854555294318056,-2.4475227599587863e-05,0.0003446925532173781,5.656258520063293e-06,0.0010351385788756667,1.2135673676108332e-05,-0.001371395087845584,2.460689279361262e-05,0.00027406098725946734,2.6635366882357344e-05,-0.0010131340671159826,-2.093176901556791e-05,-0.0018211431390553808,-9.332904701494805e-05,-0.000893434887936864,-8.813115281158703e-05,-0.0009142157645870362,-2.2156879897615484e-06,0.006673785985742071,0.00014559485588880563,0.006204341577488159,0.00030653308451750053,0.008730837508054767,0.0004851572704727464,0.005438573679743737
0.0,3.651129431675489e-05,-0.0023135753335501567,-2.8231299920659862e-05,-0.0020471313279735418,4.790709192873475e-06,0.0019219249575141678,3.194587575201996e-05,-0.0012612363299984433,-5.8870018802114895e-06,-0.00017548917990439824,1.251921346469029e-05,0.00021620623863402222,-4.548463486066031e-05,-0.0019843515872850393,-8.62505246078566e-05,-0.00043828531358318693,-9.071648225806455e-05,0.0035572314221371903,6.404924768870876e-06,0.004593719657010085,0.00016146342242516723,0.009193609039941628,0.0003215178404360026,0.00930114323753459,0.0005134299646962603,0.01124774316616336
0.0,1.935467556322036e-05,-0.0007378383343168008,-1.7164769829944868e-05,-0.0019585674409848407,-1.579446188047193e-06,0.0025558080143774863,3.493759352198084e-05,-0.0023349312991735073,-8.332858547768487e-06,-0.00020659870870472078,-2.6397577390958882e-05,-4.88562588129798e-05,-5.219123571728876e-05,-0.0024006720282418177,-9.754226250651104e-05,-0.0009071593859249826,-7.692934679412886e-05,0.0027298294565179532,1.4494543278694271e-05,0.006543071454263252,0.0001625829119814556,0.0064768949503712925,0.0003471011143698981,0.006571368285487407,0.0005174501246676637,0.009433565372311315
0.0,1.023690203387348e-05,-0.0013049031078505432,-8.42445197693759e-06,0.0007517226660431944,2.289214952511165e-06,-0.00036988879069783324,1.9164875540750718e-05,-0.0008226488984498525,5.926815784427746e-07,-0.00014718370975182145,-5.9528722773109094e-05,-0.002494438316447866,-6.577742704467685e-05,-0.001611263580863526,-0.00010064804161877677,-0.000998947599698505,-6.780533630627424e-05,0.003456219408067432,2.0969213440537497e-05,0.0055359378718926305,0.00017708710393736873,0.006110370464893055,0.00036392629621501214,0.008971191457181343,0.0005163770940306952,0.007311751279689939
0.0,-2.6748759580483264e-05,0.0035570585702586815,3.1130660577661522e-06,-0.00040850065842822113,1.3465160604709657e-05,-0.001756232730436777,-6.8383366744563814e-06,0.0005566054492633442,-4.844389283272933e-07,-0.00010327300746049996,-6.433453119245398e-05,-0.004614760946679695,-0.00010080813207751165,0.00019739356837932584,-8.868546989453243e-05,0.0007587328218892832,-7.047524794211334e-05,0.004218296922702411,3.877930581004346e-05,0.0041775940456070205,0.00018978593974660653,0.010555347532703882,0.0003693525448208727,0.007801996096898126,0.0005482238852828501,0.010800845893831713
0.0,-4.374835673421905e-05,0.0035500989580831382,2.1099802940262692e-05,0.0021343755459523914,7.757846654141307e-06,-0.002074829102843322,-2.074420584498656e-05,-0.0015114623405937722,-1.2573186502107128e-05,0.00012361021354934462,-5.972394811931342e-05,-0.004816246086649198,-0.00013285202151840854,0.001079277267736817,-9.39865937337005e-05,0.001968959169211241,-4.9578157559735575e-05,0.001749232760686977,4.230496158333977e-05,0.008963658639991995,0.00020264663194702293,0.007062411444424295,0.0003789209976196637,0.008953362031962512,0.0005446414885587767,0.004453801440364104
0.0,-5.4382871920470864e-05,0.004266028662845307,2.745784329455689e-05,0.002331080272740079,9.662268883832983e-06,-0.002453780773370144,-2.894281014060329e-05,-0.0006775459198681402,-1.8801610817237107e-05,-0.00036018520270758575,-7.21304409036683e-05,-0.0008564257368528294,-0.00014953392777093438,-0.003563971780846072,-0.00010147184505048154,0.00412018671985365,-3.692956847945939e-05,0.0016441045431774546,5.518693424831247e-05,0.0074793644511070186,0.00021833374943731876,0.009657803246929943,0.0003834112492922715,0.009230853127497243,0.0005822803092042175,0.010299701571136851
0.0,-5.14188765501652e-05,0.004776910161329646,2.1671487613065363e-05,0.0013233135893422753,1.3191902831457006e-05,-0.0025416843857538115,-2.6578484736266526e-05,-0.0004693085762498627,-3.3798892410346484e-05,0.00016578942862039087,-8.04111184777515e-05,-0.00637313260929405,-0.00014216834403985807,8.45270572588842e-05,-0.00013167184465354105,0.0018481806269630588,-1.6198650736033536e-05,0.003659344468097994,6.994217168498168e-05,0.004888682366632922,0.00022621289252589143,0.010406937731781623,0.00039374045873230963,0.008549820742760634,0.0005940130587962836,0.008810208526147837
0.0,-2.7490826313328352e-05,0.002316411892510666,9.686013859808924e-06,0.001091489481262932,1.5330907792923176e-05,-0.0009750324334003005,-2.3517532637474273e-05,-0.001443610050769602,-2.346620523468048e-05,-0.00021260066069681208,-9.92957543535242e-05,-0.0029784832153750516,-0.00014398523310841016,-0.0035054724791258934,-0.0001322282414386076,0.002880034765225369,-2.28161535946253e-05,0.007858370958542027,0.00010064445061084242,0.0046019111427745936,0.00022105988063269872,0.008482435677504056,0.00041624929385084057,0.010307958316263069,0.0005849136439557697,0.005076521103204204
0.0,4.790841297440233e-06,-0.001674521191550201,-1.7913651535026391e-06,0.0016156851882685099,6.947070188707043e-06,-0.000998203327637934,-2.5781436566341637e-06,-0.0014205651610666751,-2.9641095518024198e-05,-0.00013789917000704742,-9.306266382638616e-05,-0.0047543628453089746,-0.00015002008857427143,-0.0019216554172982801,-0.0001356335427065602,0.002811188382535533,-2.5028806110854996e-05,0.008176581661563645,0.00012730972933597,0.00875402150900893,0.00022147495921435718,0.006537046629237623,0.00043092909670336865,0.009367324805541907,0.0006145464045218731,0.010308492943374782
0.0,2.1734476621269937e-06,0.001748420714877806,-9.278024922759516e-06,-0.0026132669196565223,4.241429804094658e-06,0.0017553065559807735,7.235063935256019e-06,-0.0010993307044761904,-2.044415608677066e-05,-4.6634551736606544e-05,-8.416602240513452e-05,-0.0061209376570179755,-0.0001584346860919781,-0.002400596701658898,-0.00013206200636097114,0.0022473999588675606,-2.4753410399411732e-05,0.009491593466957758,0.00012603160121620158,0.0060020006694933535,0.0002648312146460748,0.0060884603249979335,0.00041580200716789735,0.009716205928657358,0.0006415956933561015,0.009235599420738422
0.0,3.6448888621800574e-05,-0.003925191213439598,-1.4449767908109801e-05,1.943243737132381e-06,-6.22908850860691e-06,0.0005200127874456622,1.626403110127716e-05,-2.2740191893421037e-05,-4.770933400812301e-08,-7.990111538569998e-05,-8.062548579657535e-05,-0.006307085486988127,-0.00015330739332764366,-0.0037711576175016004,-0.00013839759946948657,0.0051808123666692366,-2.087178592960535e-05,0.0047149655648202615,0.00013255817224541,0.008556785532737973,0.00029141260511207233,0.007113675251444985,0.0004169645813334489,0.008249428334153213,0.0006781894111361513,0.015422868436992228
0.0,3.4578833983257596e-05,-0.002847235406603129,-1.3262776480641064e-05,-0.0011818740997628912,-1.0537472011571677e-05,0.000984416330833679,1.4057705221349578e-05,0.0012045083467116784,1.598158799228317e-05,-0.0004976061303789877,-6.082430132807699e-05,-0.004176305134856438,-0.00016214817544445056,-0.0019038016937471505,-0.00013336357735077307,0.002177955415280306,-1.569914571072877e-05,0.006479245969637922,0.00013441788080852468,0.010403939571425528,0.0003042952804068695,0.005625490982332189,0.0004431531837986033,0.0095913989552089,0.0006464360939222157,0.009078440861811433
0.0,2.0989099477631473e-05,-0.0004197891948014155,-5.555406309474313e-06,-0.0022539683882602476,-1.7593723209045404e-05,0.0019171357219584426,8.872907948293844e-06,-8.305403217944029e-05,1.9847564424989055e-05,-0.00011324547749902666,-4.4741833449996976e-05,-0.005536451358228135,-0.00015220214690106113,-0.0008946838341928863,-0.00012867087592689056,0.0032029363070067867,-2.8012509924773317e-05,0.0070783013077769475,0.0001566297627039041,0.007411498441746272,0.00030101055069451434,0.010493888052483925,0.00047750443465378856,0.0064551484595310295,0.0006216974704795645,0.005667510495324066
0.0,3.0374537690268138e-05,-0.0027040226900807316,-4.872414695017665e-06,-1.618793019139708e-05,-1.9367477442398106e-05,-0.0014353981843739099,6.9787433359544934e-06,0.0020314608344734588,1.065238776480823e-05,-0.00021119140688165253,-3.9907141566774595e-05,-0.004503027681955205,-0.00012638711035712304,-0.002215835532267485,-0.00013809986331615853,0.0030362045956979556,-1.600707686216634e-05,0.007285300831862997,0.00014866052994143888,0.0067529451460040454,0.0003198811548601896,0.009426196954851843,0.0005075725711803998,0.009615289414524325,0.0005857483878610508,0.0008426861574448163
0.0,9.162012766894897e-06,0.001267440323286766,-1.2883036516578473e-06,-0.002303890679741995,-1.1877093583814212e-05,0.00037481059057770116,-1.1113691402427258e-05,0.0002402771635139087,5.169067365301063e-06,-0.00017635749419706343,-3.910704409610958e-05,-0.0012243535938097705,-0.00010249049215256859,-0.0048984262438864865,-0.00013786089497858756,0.002662475233247434,-7.6146942840669894e-06,0.006554749067647423,0.0001403470051552345,0.008032339243238502,0.0003410249936615523,0.009148362032452999,0.0005186693212736241,0.004307470026595408,0.0006156185682304416,0.0057515407639836666
0.0,1.8716477624269662e-05,-0.0015337435480342746,6.900640673026863e-07,0.0004057898615992429,-1.3114566453325752e-05,-0.001330539107682755,-1.4768313498709082e-05,-0.001436875495407294,-2.2125471055158603e-05,0.0003085998454716932,-2.0059603074756717e-05,-0.0024832540865858954,-9.214098377772569e-05,-0.002598531407805785,-0.00011546502070501394,0.0015763018906279117,-1.8281217449971627e-05,0.008051688724697557,0.00013995777506301514,0.008823764525847202,0.0003680263030399773,0.009037240922953042,0.0005196448737343711,0.004266579251285751,0.0006412795173097245,0.008513697740699735
