‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,12
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,100
sampling_length,6000
vec_length,26







0.0,1.7258187095684102e-05,-0.0009069171006765629,-1.1563296181907158e-05,-0.0010370618047409316,9.068760341280651e-06,0.0004092455163609948,7.907923603358623e-06,0.0016380522538027528,3.211639589368914e-05,6.976753693120883e-05,5.6866940375262415e-05,0.002255795372422848,0.00010529414753226753,0.0018541160266665056,0.00017705495010851045,0.0052330824407883884,0.000278367728319945,0.00479951146938278,0.00040069287628145844,0.0071793358362792475,0.0005492571837131343,0.0053985020401489826,0.0006613654730116703,0.006520121917132035,0.0007628425724685082,0.0035192264998714904
0.0,2.738015744961761e-05,-0.002810106947745855,-1.2991532939848971e-05,-0.0003134093677602019,4.506983896693944e-06,0.001455000241540641,1.635507164872708e-05,-0.000353424875810839,2.1312557037596668e-05,0.00031087770810346745,6.577673762804187e-05,0.0023673904908792544,0.00013185040100909638,0.0030498722966457764,0.0001624703195969797,0.0015755808556456672,0.0002600470564985571,0.007587865249051463,0.00041168353581893554,0.005473040610974395,0.000537711423249454,0.00794803428366885,0.0006813431250318995,0.005281023425802153,0.0008149807365578882,0.007345572256647045
0.0,1.9131999665810167e-05,-0.002092349355464888,-6.539122796609889e-06,-0.00014534192720786252,-4.280318076858612e-06,0.0013861595468248242,2.898074987544816e-05,-0.00020639738055145502,2.411158736763483e-06,-5.4238772343512236e-05,7.32060997565314e-05,0.005868394946236043,0.00014709156934958234,0.0014766478294809813,0.00015600856971765306,0.0001309726443477774,0.00024783728697237636,0.00810201728111479,0.00040909740682399856,0.007024124963623775,0.0005357949170453945,0.006008758040594139,0.0007008426415522908,0.008580730349920098,0.0008438856016339313,0.00590216928181784
0.0,-2.8673133411199293e-06,0.0016199987116095112,-2.8665820430931783e-06,-0.001996178567185417,2.0642602243108175e-06,0.0020313533893356215,1.7826785842679648e-05,-0.00040496834699391257,1.316670930675428e-06,1.0539926424544997e-05,7.397235053168731e-05,0.006428720936731394,0.00015833939559919787,-0.0001157211273995893,0.00015539230219134608,0.0024956586091865064,0.00023639810508387449,0.00514495980842421,0.00040013399143928917,0.008500758789074388,0.0005437662184704094,0.0067075272092405125,0.000708603547599853,0.009030512761710057,0.0009007343851363442,0.009165828685725385
0.0,1.083157388272985e-05,-0.002369823379464408,-3.248850181364443e-06,0.001802638021990806,8.339363897950351e-06,-0.0009118655663465992,2.0120668473266077e-06,-0.00017289395716445813,3.947685917734251e-06,0.0004764212177306046,8.416094961269407e-05,0.003247809592797377,0.00014804818773977093,0.0030092442789414653,0.00016701718873710628,0.0001802284936882533,0.00023349003921515422,0.00613888756306277,0.0003749971322104415,0.007522235529260459,0.0005615194922151245,0.008381521987593519,0.0007142194344592472,0.009179590212047084,0.0009573817824786383,0.012581019984926634
0.0,-1.552154860767072e-05,0.0014350625306926413,4.485337898409242e-06,0.000395687885946514,1.5168249143021742e-05,-0.0004580956133706528,-1.83340570672245e-05,0.00010186342445282285,2.3812440311234645e-05,0.0003258681001898305,7.337115423257483e-05,0.0045519662416197695,0.00013587668381008427,0.0015555009853677978,0.00018534160565755804,0.001886696559721723,0.00022557175017025584,0.003726305564897651,0.0003638327540372989,0.009203796216315632,0.0005544587964215169,0.008733012191043674,0.0007437664452303412,0.009512276838785022,0.0009831322881050017,0.012801380349380739
0.0,-3.186920975384938e-05,0.002610315954066581,1.871273954509236e-05,0.0015747892792702322,-6.231277605837145e-07,-0.002350836341783957,-4.135069575438709e-06,0.0013838111813859893,1.1823196948572634e-05,0.0003345778566887599,6.59414591299158e-05,0.0021534956073057726,0.00012871753254646098,0.0039228506309705756,0.00018928953677376057,0.0023641427675122565,0.0002308691243705321,0.0019077838239377374,0.0003496506281109468,0.00967902356621234,0.0005436951192308677,0.009241642789015932,0.0007809313834846293,0.01168647322273891,0.000984197521738516,0.008832900195544205
0.0,-4.624156392325883e-05,0.005112119829333968,2.370227679055077e-05,-3.104696254785106e-05,-6.703648498957882e-06,-0.0008142583052502545,4.625001400053757e-06,0.0007923809812434899,6.286923380379145e-06,3.998879465626936e-05,4.5146158360479445e-05,0.0035694721599618165,0.00012169619487835333,0.003295917972237739,0.00019478887315814542,0.0023908299617422827,0.00023606239351854925,0.004405675722290546,0.0003334994523905714,0.004459287095448693,0.0005438082742011142,0.01418975678087992,0.0008023308544908788,0.011183417420818709,0.0010159522925959187,0.00954030549402942
0.0,-1.7648819969925513e-05,0.0015569484582324366,6.411568071097698e-06,0.000320730650078478,4.806175493969168e-06,3.0179516755707042e-05,3.68951539379397e-06,-0.0002676961852353206,8.90930402461184e-07,3.228965726098545e-05,2.4021168492893522e-05,0.002788454257655176,0.00012339478603842993,0.00491187057133983,0.00017954147379247622,0.0028938941120608764,0.00025605276221562264,0.0016423130109100843,0.00032055331568175635,0.0074135864454275375,0.0005365739784000125,0.013349019470429034,0.0008247899356107916,0.011608978664338954,0.0010525252216552513,0.01118579164314519
0.0,2.1888195224988263e-05,-0.0035450793048631673,-1.61651167743212e-05,0.0012959764799190844,1.968042602982753e-05,0.00021293765258142532,2.1732835604704646e-06,-0.000686789304288658,-8.66681068040757e-06,-0.00020458770565854253,1.767261811267217e-05,0.004522140188337484,9.967593980724786e-05,0.003563307472197454,0.00019310038449416595,0.0036055668745761296,0.00024788763036326774,0.002566953259082151,0.00032227404948059437,0.0063880963960008435,0.0005391769442283133,0.012831574013187914,0.0008314304537075854,0.014706325447204044,0.0010928353821336872,0.01109563929134398
0.0,1.879284718859211e-05,-0.0022098656469588572,-1.763558341453631e-05,-0.00046921752652296554,1.729068629795244e-05,0.00255022484296727,6.217058972260382e-06,-0.003252765186615139,-1.9741652056254487e-05,0.0003791649125313865,1.8457862308787915e-05,0.0006891642325141736,8.345512561681566e-05,0.00582193800352575,0.00019446265931664846,0.004296646725599784,0.0002364477388261878,0.0016792795338865163,0.00033959330874758784,0.0065180960787901325,0.0005362970543871168,0.013669962935709226,0.0008302384955242683,0.014256859958576467,0.0011654743850904082,0.01710077702101004
0.0,6.196023376455694e-06,-0.0005798287695018444,-8.991562184284467e-06,-0.00044540446170851375,6.610143242326976e-06,0.0008769237076407951,1.400710754825406e-05,-0.00012852410254216191,-1.0735265399972801e-05,-0.00029388558388857087,2.4331296569636872e-06,0.002610499368064988,7.6891419504547e-05,0.0050850857573127095,0.00018026084226833972,0.003231372127872922,0.00024289359902447298,0.0033253152391398517,0.00034206746715206534,0.008031835142054316,0.0005436452227109776,0.00984289176548329,0.0008308942532273073,0.01830995490564534,0.0012081371859144706,0.017403650538345253
0.0,-7.55906768843771e-06,0.00013850589118390752,5.966851512553917e-06,0.000737502269574844,-7.266729828584678e-06,-0.0002251190038853461,1.190967634948329e-05,0.0005851685653614773,9.290679848691006e-06,-0.0003239503896217445,-1.3266827329765363e-05,0.0022975564275247284,7.957878699487197e-05,0.003732517003106578,0.0001570931322069694,0.004562783705773702,0.00024301662727848963,0.003837212409577086,0.00036102623447566005,0.007294909158491812,0.0005391734540256502,0.01148317894851888,0.0008359949009940543,0.016287704029190202,0.0012701568546845984,0.023657089124884765
0.0,-2.6055513469128768e-05,0.003301514878886353,1.1598799013596785e-05,-0.0006321613050339068,-7.2265122850799385e-06,-0.0003949060008462004,1.4087315093778015e-06,0.000792099101847215,7.599643804230736e-06,0.00011163801032725174,7.101781373623053e-06,-0.0008684039396047752,6.0196418051411804e-05,0.005634285033714339,0.0001398754647153112,0.002371196995192477,0.0002468071104280917,0.007578880566491117,0.00036876852489704337,0.0052238356332536635,0.0005439349813074707,0.01081836138221094,0.0008513208034086735,0.019693069977024667,0.0012745100186717434,0.01991999057525269
0.0,-1.2030747480848446e-05,0.001127172017084926,4.658959661757601e-06,0.0004097007817340198,1.1375593261426208e-06,-0.0013432815355384643,-1.2380798710575377e-05,0.0010263584921355222,5.1539691765145125e-06,8.013800081077313e-05,2.427677088159561e-05,0.0013221232531757967,3.974864441719601e-05,0.0009390731464682377,0.00012783426803241596,0.006586648070346637,0.00024000234512119948,0.005529639031452252,0.00038780618500700037,0.006489569149288209,0.0005391433315380281,0.011542008193518066,0.0008756601106561116,0.018611041503495362,0.0012850700523779307,0.020250760227550152
0.0,4.310691918168194e-06,-0.0016189987680774243,9.348550333225208e-08,0.0014824557357972152,2.2801883351986304e-06,-0.0007617374106895836,-1.8082459906479345e-05,-0.000933140844459959,-2.3050374410194798e-06,0.00039648440808070275,3.62619488771026e-05,0.0011434545678315373,2.9684364229172477e-05,0.0003814203820528398,0.00010148422694947106,0.006216742830493956,0.0002543195939146449,0.006312434028179287,0.00037560650473094444,0.007542464065025812,0.0005642111479716776,0.010979626631061142,0.0008897979836505702,0.019101474805339084,0.0012870662822351939,0.018838490485691466
0.0,-5.735316499694958e-06,0.0013076216814030001,-1.160319281413971e-06,-0.0010368934475012798,1.1424319963211243e-06,0.00026651966597586446,-1.4452270872970385e-05,-0.00025798524656443555,-4.206957986489977e-06,0.00019694695875905688,2.7444853115902564e-05,0.0013322087417943565,2.9183800298591786e-05,0.00014326275695128503,8.475364789882409e-05,0.005808830340357047,0.00024900955139399135,0.007981291301977991,0.00037275110324439166,0.005747157187786028,0.0005942562626053446,0.014458709476872897,0.0008986926037550012,0.01627250522746638,0.0013024680909274882,0.020816966723614647
0.0,5.840250620797028e-06,-0.0008114715981224779,-2.793457282875252e-07,0.0003535554069316961,-1.1169882793315636e-05,-0.0009774911203948849,1.5483649191729273e-06,0.0011086246023858724,-2.775335228176426e-06,-7.228072610908156e-05,6.3394554046139935e-06,0.0008399463676426301,3.161470373182844e-05,0.0007476875334538841,7.993215260215153e-05,0.006042823376693526,0.00022380541848119435,0.0064817842193104986,0.00038760352891211623,0.008897052669405714,0.0006092172683226025,0.01342972737364771,0.0009261621133292423,0.016434582572911496,0.0012758293349565217,0.016822417492444054
0.0,3.6587496288305216e-06,0.00020464113634654084,-5.526227083746103e-07,-0.00114468920141441,-1.4827726073716447e-05,0.001058720340177083,4.2592277406373085e-06,2.554896905862758e-05,6.24626840530326e-06,-0.00013367481248499293,-9.8522930899435e-06,0.00046276225934962584,1.9984866514553985e-05,0.0028260105361961733,9.11811354523574e-05,0.002530605735867068,0.000192189097649298,0.008362143278613334,0.0003973983238338211,0.011213141384061135,0.0006333497415724319,0.01161843377036776,0.0009501989436895424,0.017201053413492415,0.0012457766049171078,0.012310883293698283
0.0,1.830844700533755e-05,-0.0013557302698262686,-1.0196848124188345e-05,-0.0010191166455891538,-9.845437646103525e-06,0.0005476994335658605,4.86992993165756e-06,0.0006466838306095965,4.723685949317667e-06,-7.933756539214333e-05,-1.9965442138286093e-05,-0.0016266594736821466,1.5433576460593703e-05,0.00471059065135944,9.039009941544066e-05,0.002104318255802764,0.00016909540393321692,0.007527194589073734,0.0004029095134140702,0.012340864945220185,0.0006667250839995741,0.0148983189142843,0.0009576297196138973,0.01174384506998052,0.0012672631664853834,0.017322191864047005
0.0,3.045200575342088e-05,-0.0031521987134546484,-1.6540973078718904e-05,-0.00034411253423646663,-5.472918727885035e-06,0.00017511600733569464,2.9125262629573258e-06,0.0006753905585701051,-7.327204090740258e-07,-0.0002262159407431498,-2.6317833137953882e-05,-0.00022802372122021484,1.3233070741852404e-05,0.0026770084923374068,7.529131109051661e-05,0.003491269890111274,0.0001717482887779018,0.00693512026694296,0.0003832848771995116,0.014448362222046702,0.0007155576558978454,0.012772453876498294,0.0009667978214087243,0.01462800600083018,0.0012366594938784431,0.011126954546271762
0.0,1.6933653749539975e-05,-0.0013019026863958182,-1.0711737732685457e-05,-0.0012637949346581872,-7.518460148805235e-06,0.0017662997207532063,-6.238787622557796e-07,-0.0014663923721545138,-1.3412406546276898e-05,-1.6811062297589686e-05,-1.7039649921887098e-05,0.0005621496050173606,4.466231343334574e-06,0.0008683144349869138,5.940683954847728e-05,0.0052425283577850895,0.00016787205862717523,0.005376592331181917,0.0003940836774129304,0.015897704683742166,0.0007268965330302538,0.015603712936740254,0.0009907302628914373,0.009437225433064175,0.0012388290720745483,0.01399233880169279
0.0,9.052238653411995e-06,-0.0009058789340695985,-5.7918205782342165e-06,-0.0003072414312067589,-7.831910228762716e-06,-5.234297525130068e-05,-4.391221216739998e-06,-0.00017051668675408915,-2.4033823363251506e-05,-8.254788119798602e-05,2.816298876079281e-07,0.0007348641615714784,-1.2865386032053594e-05,0.0015038850918684251,4.6748971642432454e-05,0.001968226772238819,0.00016802598085149178,0.010335408176580657,0.00040369219632119404,0.01343222289069083,0.0007361798308056834,0.015955407160953818,0.0010203546171969591,0.01115125679436447,0.0011963828495679069,0.00705314851222149
0.0,-4.647548339450914e-06,0.00034361546439670666,8.478773718058639e-07,-3.3927354711121304e-06,-3.989763721036772e-06,-0.0003693112764895536,-2.3194590240863816e-05,-0.000519497620120332,-8.113904064865252e-07,0.00022050293331508285,-1.246243036799225e-05,-0.0005777812812795594,-1.2010668689705574e-06,-0.0004491012489920257,1.7885653822254993e-05,0.0053659842920509015,0.00016743782912081,0.008825271991215923,0.00043067555808762824,0.013947156639160487,0.0007329195906806261,0.016512284172673558,0.0010430246957630301,0.010920917331304344,0.0011850164441342748,0.004830988676743619
0.0,-1.3984288498903537e-05,0.000950262485850422,6.912219198507625e-06,0.0009844843785839518,-6.727568433288056e-06,-0.0026795592718548444,-2.323135245433698e-05,0.0021277762732087127,4.263194515825344e-06,-8.339622615470632e-05,-7.20218928936065e-06,-0.00022638685294319933,-1.4363607623115207e-05,-0.00014446362043134942,3.796530343671279e-06,0.0030769981194002597,0.00017587214939783152,0.0122501764552973,0.0004381088639626501,0.01349211556215466,0.0007538899384965202,0.015376534444171105,0.0010374170389652044,0.011379554458237497,0.0012159073305512678,0.007074056827120878
0.0,-3.040208388159469e-05,0.003174092708944651,1.5811872992030636e-05,-4.766960383666683e-05,-1.6071500206385273e-05,-0.000940684364168685,-1.5466318664955786e-05,0.00033489357665925665,1.4263536586194748e-07,0.00017978454127457431,2.506949083688901e-06,-0.001093569637731558,-3.3856072370679e-05,-0.0005770673690395501,1.6657508882212013e-06,0.004004834835309427,0.00017420941756365334,0.011975374354824812,0.00045651721370064294,0.015054902989542804,0.0007702091550630631,0.014354341696688418,0.0010216854615514288,0.010056211334512262,0.0012794039483301008,0.014152166216046681
0.0,-1.849345414030055e-05,0.001993054019435627,6.717577096074238e-06,-0.0003380350949664158,-1.2126761557897472e-05,-0.00037088458110683044,-8.451450110350922e-06,0.00020206406460709206,-1.754248167029794e-07,0.00013641159874498054,-2.5928240140427507e-06,-0.001224474539253386,-4.540217192500914e-05,-0.0022437190445892185,1.5758940059633983e-06,0.007161767076061188,0.00017169342648964845,0.010205049243247484,0.0004776070760904883,0.01715040202364562,0.0007789390574429418,0.010961194291311071,0.0010156621118368194,0.013522530578334725,0.0013050556901221414,0.01367715844494438
0.0,1.3608802227924906e-05,-0.0019669432273438123,-1.3510071706700315e-05,0.0003639985850350665,7.269095429482926e-08,-0.000886107739207163,-2.1207057066144284e-06,0.0013400194148745878,8.386257176143435e-07,-8.624685032956722e-05,-1.5019859076526306e-05,-0.0022330557687565986,-5.29876912916064e-05,8.866485301745809e-05,-2.3083272286531912e-06,0.004837663785387778,0.00018165146431025118,0.013138078010603045,0.0004928409867283603,0.015388233474684796,0.0007778362238207167,0.01123826104374616,0.0010195380973621298,0.013728796712779257,0.0013334904227877739,0.015480775101461633
0.0,2.006047319823004e-05,-0.002413821883993703,-1.9155428696428774e-05,-0.0008692703127273151,1.7618434776221352e-06,0.0025379802790616614,3.014685562219213e-06,-0.0016969667289648007,8.61415248373334e-06,1.6256609661104066e-05,-3.948358561710177e-05,-0.0025441974025104262,-5.13103083140838e-05,0.0008861252828695237,-8.966710886476254e-06,0.004490095127334146,0.0001983670313582202,0.014541446700724934,0.000506136541289178,0.013349302163750089,0.0007647864585589578,0.013303294554103059,0.0010373337292860646,0.012176164291558864,0.0013507414493765027,0.017125638223435807
0.0,2.193557385285837e-05,-0.0029898290213848946,-1.8650395953380875e-05,-7.654925703283835e-05,-5.970514986665818e-06,0.0009717280057318761,2.5640927717802978e-05,0.0005562290471192067,-8.009464272878035e-06,-0.0005568609383492587,-4.896444822345641e-05,-0.0011329283470222949,-6.210422307372545e-05,0.00012899297539595202,-5.261515844218543e-06,0.006331684991781688,0.00022113025052572995,0.01393234006603277,0.0005017899843438755,0.012984967861717222,0.0007622741247134589,0.011799928749402824,0.0010598603075981494,0.016443359571484087,0.0013246418709766605,0.010076102230727213
0.0,-1.7534564549360176e-06,0.000635879280955074,-1.1543141390974605e-05,-0.0017881796731489563,-6.366013052867229e-06,0.002347299749360871,2.438453273723125e-05,-0.0006859424609502825,-1.4025964907169026e-05,-0.0003157328995246069,-4.952006762457067e-05,-0.0025791169451992585,-7.869106178432692e-05,0.0002127135942735362,1.0749801035629065e-05,0.00966604035324609,0.00023508257357178643,0.011058479377824858,0.0005002042172604621,0.012148537010690129,0.0007620468049488895,0.015441854274760865,0.001069248479471817,0.01288255312299061,0.0013589547980687297,0.014802805522036092
0.0,-5.815530154292348e-07,-0.0010075885146090939,-1.0287657606711291e-05,0.0002377159124094401,3.5469014877250567e-06,0.0013334387074383726,3.304727439861074e-06,-0.001375529154691766,-3.410601005480294e-06,-6.834738699043261e-05,-5.000547472658849e-05,-0.0037308604299488473,-9.812861374947861e-05,0.0021841044566075787,3.299821680498145e-05,0.008031558619222381,0.00025698991257698165,0.012275602005901621,0.0004761350162066472,0.011798278915170303,0.0007819947401306804,0.014282172119902282,0.0010724320502406386,0.015030598143538916,0.0013691467445155917,0.013437015935445292
0.0,-5.585406552352163e-06,-0.001561361805095075,-7.566242879199986e-06,0.002315569083945252,1.2571950921278223e-05,-0.0018732052568572514,-1.4457659562878925e-05,0.0008726577714061343,7.052231631351145e-06,-0.00016565378043870046,-6.480998988041713e-05,-0.00434520715918331,-9.37380161866315e-05,0.0020989352666884336,5.103691798070005e-05,0.01132658850707747,0.0002578425019993595,0.007793532707959877,0.00048465760098026294,0.013990147788118613,0.0007758529520281298,0.01501217661268542,0.0010842013805731267,0.013146641513715375,0.0013952640214897304,0.016536481090014647
0.0,-5.0348333224080775e-05,0.004803689109233967,1.1577175408858065e-05,0.00015984311556400832,4.1110398851733206e-06,-0.0010164646642366498,-1.509063169537701e-05,0.00031848088859298457,-5.245615103847281e-06,-0.0001262813689386424,-6.82961240317172e-05,-0.004513964823150673,-8.726035506475165e-05,0.004060030584848799,7.018432927057686e-05,0.008823759624458968,0.0002575217845872127,0.01043930021403592,0.000486400195442434,0.011872518772442288,0.000780770580666562,0.014433638328052929,0.0010930146311610186,0.016482683197749107,0.0013915857020352195,0.012591371459230047
0.0,-5.801539088537558e-05,0.004521678822793616,2.2893229688955012e-05,0.0015489612362570362,-8.726633731556328e-06,-0.001235099543942123,-5.255708397430428e-06,-0.0008707384175007279,-2.598146154860643e-05,-0.00015950803130495076,-7.386370256607145e-05,-0.0031413586460090053,-6.10643953699437e-05,0.004768024930594696,7.260858112356166e-05,0.007562535104484706,0.0002595964500365289,0.010447161631941346,0.0004991114717167599,0.012005707129680798,0.000773656226596159,0.015478757158879577,0.0011015664170522315,0.014551023718701418,0.0014224267570560384,0.016296836312366832
0.0,-4.1831568481885426e-05,0.003173550350745803,7.660208591899368e-06,0.0010125299911789992,7.739272985986967e-06,-0.0011921147054276885,-1.549294464893859e-05,-0.00013830897131662508,-3.004008395814815e-05,-0.0006530110964382101,-7.916021300517737e-05,0.0013929212495378013,-2.991460045041254e-05,0.00235988760096675,7.176765381412938e-05,0.007388377621793071,0.00026623661036737154,0.010523590427537055,0.0005020037371553323,0.012757297127824155,0.0007786401763892305,0.013949596263456838,0.0011048688977120284,0.016365019929595243,0.0014370978764070993,0.01578801290379872
0.0,-9.985844841223408e-06,-0.0008384995307684944,-9.886555016751032e-06,0.0015533597997117923,1.9911327302265422e-05,-0.00015652480717140538,-2.459217768954165e-05,-0.0027690638276710927,-3.9654617730551895e-05,0.00013719059870662424,-5.2575095915730305e-05,-0.0013204017446804695,-9.498892714944681e-06,0.004555221911120518,7.622002591511669e-05,0.005912687972908333,0.00026801287551495744,0.01090904042850884,0.0005062095027866462,0.012131094440687731,0.0007879589297583229,0.01428029755720944,0.0011023353048079442,0.017032299538078225,0.0014614985250853048,0.01687744051969222
0.0,8.780246591890473e-08,-0.0015520135281272842,-1.4748828761947693e-05,0.0009899731682593079,1.748207736996542e-05,0.00034293424846390004,-2.1542196843620053e-05,-0.00242043638676437,-3.46842763398416e-05,4.897297545916511e-05,-2.2295756123718002e-05,0.0012081581057004492,-3.7110645340362494e-06,0.0019025746093530324,9.989640996816008e-05,0.006579488614841676,0.0002565543542776736,0.010581638711317233,0.0005187986529163897,0.011966362690774338,0.0007890947651251573,0.015179392320948766,0.0011060127341103914,0.015813778041190045,0.0014873094212585704,0.019623579505380392
0.0,-1.1051825796773471e-05,0.00039346790127632917,-4.112840351033474e-06,0.00019769644220720355,-3.0608366340147647e-06,-6.427867402753903e-05,-5.774729470431467e-06,-0.0002778120366167076,-1.5133694425980976e-05,-6.297354897440799e-05,-7.371039220382695e-07,0.001193013719796342,1.8251149285433592e-05,0.002161664557539321,0.00010174575549215665,0.005717023981517216,0.0002711244846073159,0.009090589418373386,0.0005113146793334722,0.01538971010861783,0.0007951684922452576,0.011561122749408216,0.0011189529968371962,0.018553524752416797,0.0014766624979680196,0.016229061491449155
0.0,-2.0763537098970684e-05,0.002129511714426436,5.964942879549508e-06,-0.0006052833796293601,-2.2132767015363513e-05,-7.645717323834857e-05,4.676949939294977e-06,0.0012850110968626698,1.9127310823287015e-05,2.648271853824771e-05,1.1451585564724763e-05,0.00016979343032647737,4.5053691823131555e-05,0.001606923437101668,0.00011100385639792902,0.006044365097428898,0.00027285061148722744,0.00997564524445536,0.0005124936462098105,0.01166944308511981,0.0008021438491735415,0.01640452786101833,0.0011236674593206983,0.01513423780704091,0.0015001012085308315,0.01980471877527859
0.0,-5.833827076215818e-06,0.0008444163705365055,-1.1188296980681435e-06,-0.0007234360263870432,-2.4870710207814166e-05,-0.0010413186900100485,1.0006680729358874e-05,0.0036089733316041423,3.681360229812747e-05,-9.457202836185617e-06,3.687740796454669e-05,-0.0004496367662610717,5.9616956970337846e-05,0.0027945279504617312,0.00012442659450367883,0.003839426206936631,0.0002821289242694308,0.011097691166178024,0.0005054878344395299,0.011270308035284407,0.0008078609298734315,0.015781296749072297,0.001140565845260786,0.017021791842737225,0.0014781969240367605,0.015396313059347855
0.0,1.8344657391575413e-05,-0.0017193655225410753,-1.4522484856961005e-05,-0.0012715339568241627,-1.9281368576663372e-05,0.0010683393657555402,7.834552777755915e-06,0.001507547549485011,3.9705881203325865e-05,0.00025996560103260245,6.034376147912557e-05,0.0008122179150201152,7.434789929643673e-05,0.001011586111034386,0.00014228630899336067,0.0059997420116139795,0.0002824808205251636,0.006994934841906914,0.00051388629623259,0.01468864708766102,0.0007995328518517048,0.014964525393985509,0.0011615799780137456,0.016131544913609366,0.0014704890421210024,0.01476790899154111
0.0,4.256892129557648e-05,-0.004635088635100306,-2.770545172635966e-05,-0.0010258338906037746,-1.4484572044150202e-05,0.00171098515220764,1.4189857912391089e-05,0.0005125878944055942,1.8446179332957324e-05,0.00024693592555274175,8.114186576646908e-05,0.002914784424052841,8.668453748889532e-05,0.0005170814269239889,0.00016453917906984536,0.004553864930287654,0.00028672679510722513,0.009160739549194795,0.0005052656934751279,0.011684725469952055,0.0008197825806324072,0.016804879715319968,0.0011582081309212846,0.016401898269341256,0.0014799659809561117,0.014621346822257988
0.0,3.948301942072421e-05,-0.003595652375496628,-3.0469768787626102e-05,-0.002066551409264812,-1.1228913686762453e-05,0.0024476381279946798,1.554777169222613e-05,-0.0001982497001275414,4.931396993139947e-06,0.00034358401442274845,7.195541459981573e-05,0.0024492182268032064,0.0001282551396214919,0.00245837313324342,0.00016287859065312773,0.004295653296751818,0.00030236356689553745,0.006899257073515414,0.0005029876627337328,0.013169699141856131,0.000829472278846692,0.017129711192103724,0.0011569672938520424,0.015059852712752403,0.0015017726252706035,0.017384450990814346
0.0,2.70282943074017e-05,-0.0028302774561161422,-2.2485021162768792e-05,-0.001283525756869918,-1.1680589866058957e-05,0.00171324833350155,1.0115867434462974e-05,0.0005116929468118403,7.811906824560157e-06,-0.0002680691300984344,4.961631856923992e-05,0.007165469421011328,0.00015258269106687209,0.000938990452374365,0.00018827985063911767,0.0032416595992323387,0.0002987631908914547,0.007829692417925227,0.0005143871113868327,0.013281095799333733,0.000829569441096116,0.015591521267836706,0.0011636241207923339,0.01671385217500519,0.0014981874399890452,0.015520362396210338
0.0,6.10796016674519e-06,-0.0017237056826143308,-6.8569188496138325e-06,0.0005391162185395295,-1.7326355496778038e-05,-2.3169926762046846e-05,4.612412603707638e-06,-4.834292776328356e-05,-5.078336089352935e-06,0.0002520862273379719,5.3034447231683586e-05,0.003261149615629679,0.0001603343433981274,0.006505559387884578,0.0002170801850291319,-3.674335148937292e-05,0.000295346857208225,0.008322161300330248,0.000533894295991662,0.013405820713141949,0.0008216174993625082,0.01539048252650183,0.001170642089327228,0.01630508999548386,0.001506410435363704,0.01633376239432786
0.0,-3.454202275117118e-05,0.004379638273812629,2.914223100873957e-06,-0.001684794450350423,-4.9596449832060096e-06,2.5006410493435248e-05,-1.9906592793770223e-05,0.0005611100086426761,2.535409436853871e-06,0.0001600053500110458,4.662601721852851e-05,0.0044908355956916265,0.0001626375285082226,0.005236497748592892,0.0002463525171496324,0.0021030841759802246,0.00030214515015844934,0.00728278461507823,0.0005407256852685417,0.012584725511519582,0.0008279186158498469,0.01536827289016388,0.0011671923158035756,0.017195476839609033,0.0015166219431637826,0.01631220956431835
0.0,-2.223518751163325e-05,-0.0003019329632214005,7.4719912861611825e-06,0.003282060011387002,-4.9139769151554256e-06,-0.0036010976307873158,-2.515453094357651e-05,0.0011811056751816372,-4.556067316529804e-06,0.0002520388003468544,4.962653024256506e-05,0.004304101855549957,0.00016560901686630836,0.005350175870429251,0.00025111672978045055,0.00406027036988187,0.00034326043419063214,0.004766707078926141,0.0005276898419225242,0.01417272495310007,0.0008402444660155887,0.014061656897623107,0.0011617071303564662,0.017337910602064646,0.0015337803027125057,0.01798447592311575
0.0,-5.046808156004678e-05,0.004544443058070139,1.2849097914135332e-05,0.0002681684537740491,5.49570465575455e-08,-0.0007486810172194353,-3.1747191708814215e-05,-0.0008318118188879466,-8.347794905560466e-06,0.00033982611638366523,5.6897194421106446e-05,0.005528647178264149,0.00015571691935247007,0.0042898982029787895,0.0002650704056946457,0.005214776678019375,0.0003751820111049375,0.005723690842141171,0.000529939377697322,0.011013635044374132,0.0008398525509347651,0.016784615798789832,0.0011621138145240164,0.015050402247866204,0.001551957438155029,0.021018051662964818
