‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,1e-06
fs,100000.00000000001
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[8, 9]"
animation_speed,50
sampling_length,3000
vec_length,22







3333.3333333333335,-8.098300865631373e-10,3.7621546324069656e-07,1.483817571693364e-10,2.578199401202681e-07,4.552879134415359e-10,4.4398819138629737e-07,1.4062457779223386e-11,6.569556643641808e-07,-1.670209369794823e-08,-2.4143091143741808e-06,-6.517251012651023e-08,-2.631902814463444e-05,-2.056697682182547e-07,-0.00010143479046916107,-6.153191040848382e-07,-0.00033253316023344986,-1.5165668033577871e-06,-0.0009519272205781082,-1.0431318410961797e-06,-0.001917776390024934,7.699039446492936e-05,0.011926861281723425
0.0,4.981147757647311e-07,-0.00017488375648893418,2.5729065390624387e-07,3.482288988544444e-06,3.9722965204798386e-07,0.0001996843420693707,2.274348699476739e-07,0.0004147402258571493,-2.122525274507149e-06,7.71560854669574e-05,-8.63286794389761e-07,-0.0012852619944665588,6.300617503171239e-06,0.00037793199943525,-5.094860434717383e-06,0.002151523245082251,-4.770253337237605e-06,-0.004562270062926208,-1.0988386614835707e-05,0.0034657936429332006,0.00017126833345712018,0.0037302506568808605
0.0,-4.439902351514502e-06,0.0012321777942128254,-2.4760123094486896e-06,-0.0005849752815690916,1.0177768920392173e-06,-0.0011804570512588103,3.5760514990949133e-06,0.0004992017469571325,-7.849013194884832e-06,0.00020918238331147333,6.649826280725287e-06,-0.0020651412086693213,-6.339084565286771e-06,0.0012017594141988399,1.8617427888443452e-05,-0.0012404418295578225,-4.8737028150069736e-05,0.0004592766774197492,3.681884280439095e-05,0.006177008163913853,0.00024331052851118143,0.0056242932973790145
0.0,-9.749278100133374e-06,0.002182721427339768,-3.302319137800316e-06,-0.0016253462606094925,6.923088201548545e-06,-0.00022343676389561984,-4.483519006451911e-06,0.001323590473912761,1.1479665944657374e-05,-0.00017515707634797273,-2.0712002797600582e-05,0.000948873087648254,2.3061451021644977e-05,-0.0013840684551083343,-1.6569013398277493e-05,-0.003508952753614495,-5.4599801097921794e-05,0.0022266721625232256,9.355271900328538e-05,0.008180831093190668,0.0003025786722915344,0.010571300207263937
0.0,-7.353136547456153e-07,-0.0003311357541047864,3.4809004463081863e-06,0.0001319430525848923,-4.132403742297621e-06,0.0006967091060935907,6.531665441286857e-06,0.0003554756298770574,-1.826794310461859e-05,-0.00037754714868579425,1.203318203972683e-05,0.0024574906212492605,2.048202272466461e-05,0.0011147320861315635,-6.55062398602394e-05,-0.0029407025460053368,-2.7533893280193896e-05,0.004776315140086159,0.00012838590620072848,0.008383855720672255,0.0003492899328441629,0.010088553521829555
0.0,8.45064292316547e-06,-0.0010986847490082616,-3.983264281228626e-06,0.0005481344057886185,5.0878998282433964e-06,0.00016144199467715077,-8.267681157813385e-06,-0.001318953772288457,-5.471121061950063e-06,0.00024870004511557423,4.241188982188594e-05,0.0014165481857223885,-1.594371464852705e-05,-0.004012605673753332,-7.791949954257968e-05,-0.0003231407398606931,-7.46205125203502e-06,0.0034196052236665523,0.0001715365672408988,0.009597904651791401,0.00037058922328815923,0.006981804464710237
0.0,3.132391178818918e-06,-0.0007711615805663615,5.195805300547776e-07,0.000741093331955947,2.813537985599017e-06,-0.0004883991688327978,-1.3299097122008797e-05,5.2840383879245085e-05,3.485518481748869e-05,0.0004238180838546476,3.333320352692859e-05,-0.0014324599005801132,-4.771136097422065e-05,-0.005631165574196593,-7.499178985477566e-05,0.0006002514691830001,1.6825476865998856e-05,0.008469464543643468,0.00019787016780658788,0.006887583258876604,0.000425801186631936,0.00930935673917896
0.0,-1.3036761190981976e-05,0.0004488351676186288,1.8158340224255505e-05,0.0009374587199598756,-2.6491865889228087e-05,-0.00038202500768331105,2.313466411459586e-05,0.0006858322389778081,2.218681937505631e-05,-4.219114520610532e-05,-3.397911494386704e-07,-0.0016215844567596888,-6.64229208693551e-05,-0.002964721245277664,-7.650984179949709e-05,0.0029979417407143888,4.3574211129757774e-05,0.007843212763180552,0.00023337338223535076,0.009530131459228245,0.0004355307549649823,0.005569713648797883
0.0,1.2890306395704534e-05,-0.0015961590835220356,-3.1225766057346373e-06,-1.7211059369035074e-05,-7.04911809990648e-06,0.002088482472973441,1.7550921944637325e-05,-0.0021807659327381605,-1.3882196533478463e-06,-3.556599320858336e-05,-4.5046683234536786e-05,-0.0021652131772049803,-8.802900273412099e-05,0.00035517817092991307,-6.690491975194013e-05,0.0008215159049605267,6.975031871728661e-05,0.005771998600873844,0.00026868313042731844,0.009813319824786193,0.00047032033962925645,0.00782543116083516
0.0,5.662269232048275e-05,-0.0068040362712400125,-3.139240663847987e-05,0.0014869402856538933,2.7967667378058197e-05,0.0015282895202505037,-7.486033344959923e-06,-0.001281961158893657,-1.5065396943635453e-05,-0.0006000694578651251,-8.855517998165457e-05,0.00011867611340870491,-0.000112416040604656,0.0009870482484773111,-3.855134917920342e-05,0.0030489394614746303,8.95038341877017e-05,0.007766396480950083,0.0002906797985260476,0.00799375140611325,0.0005158187055450656,0.009702436340868014
0.0,-1.7835024298804625e-05,0.002447142745933959,2.191009803848871e-06,-0.0012889792894649197,5.73735398959508e-06,0.001386821687374383,-1.8157864658435686e-06,-0.0021527725478225727,-2.9634482277126693e-05,-0.00030009330677194284,-0.00010655086078257566,-0.0023850697361902317,-0.000131129384266577,0.001370364040332994,-2.2139354197237928e-05,0.004818149220700213,0.00012577406391433812,0.007495031163303072,0.00030759534545433216,0.010122436215032676,0.0005352239709434361,0.006951753306712561
0.0,-4.4229996218669894e-05,0.003581583228384217,2.6790758942191366e-05,0.001387613895333349,-1.1048831903626552e-05,-0.003293327762988783,-5.315918213823914e-06,0.00151765138868601,-1.0689179312821832e-05,-0.0002142755150513949,-0.00010694084603399718,-0.005347786389013168,-0.00013912816264762448,0.002176829380454684,-1.8360195654838163e-05,0.004864448041673123,0.00016324641905921374,0.007123302177183245,0.00033195428282895045,0.010562140194551175,0.0005559616821698454,0.006660456086507271
0.0,-3.421035959885651e-05,0.002417883367949571,1.9329880069318894e-05,0.0008292938027957102,7.374129840415361e-06,-0.001073722342846752,-3.693336789033354e-05,0.0006484576226514994,1.0397954592098804e-05,-0.00023569515524418379,-8.106793600665356e-05,-0.0037641506806362288,-0.00014270074401447443,0.0020516321046206995,-1.0355269717563977e-05,0.007205022411126911,0.00017674410088303936,0.008491394747440732,0.0003744624573055928,0.007431740504694449,0.0005721410412310829,0.007970696380734976
0.0,-2.368754168204095e-06,-0.00035570082381951984,4.234725733383099e-06,0.0007411349144863882,3.4172233379236047e-06,-4.3774566560047823e-05,-1.6529117236787248e-05,-0.0014760266217616952,-2.179137123330127e-05,-0.00012218715866147876,-5.0084673222184214e-05,-0.0009661903883149059,-0.00011924886812180939,-0.0009159603905579576,-1.8640579620335843e-05,0.007509740351445133,0.00019671990772449085,0.008272010491231451,0.0004166845418192471,0.006387421254617041,0.0005791309744091322,0.007959846171930017
