‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.15
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,6000
vec_length,22







666.6666666666666,5.7282861149208233e-11,-3.748352122959637e-08,-6.520852480053669e-11,-4.583284188261581e-08,-1.8854518871685242e-10,-1.1870951638047033e-07,-4.0763538621988127e-10,-2.941762892965977e-07,-4.427944908024767e-10,-5.72696131949203e-07,2.1982518742981006e-09,-2.6242268481981093e-07,2.1908838799336687e-08,5.703697171431985e-06,1.305524303118264e-07,4.5076760723017064e-05,6.691620089647995e-07,0.0002542998327353257,3.7564306271846163e-06,0.00136615682801187,5.996890154092184e-05,0.014147262666772981
0.0,8.38637269730507e-06,-0.00019454126710590207,2.224716968193947e-07,0.0026140329239234704,-5.472278417743169e-06,0.00046283568426540875,4.9779807200442464e-06,-3.113431415291125e-05,-3.1701965207711894e-06,0.0020639732143204587,-3.1881173197826795e-06,-0.0025371978454923243,4.800214459644614e-06,0.002189993409067718,4.104075707079364e-06,-0.003906906824792427,-5.4859321807556505e-05,-0.0006211109868117857,5.8787619609862067e-05,0.004951864203709929,0.0002513674645415753,0.0015692294582058898
0.0,7.451754870613385e-06,-7.775370696234663e-06,-1.2778755358631375e-06,-0.000346388498562979,-2.9527102811275814e-06,0.0008043025601196182,1.0572783345123818e-05,-0.0016241178961981452,-2.1951004696099297e-05,0.0023458597568749955,3.086119611899951e-05,-0.00021437854360991206,-6.143108821240356e-06,-0.004618718952142406,-7.574228092819663e-05,-0.0004735090281122447,-1.179805121585006e-05,0.004483896553193902,0.00016820433771974302,0.008337012807958524,0.00038972597424397797,0.013100791023225611
0.0,6.4729577829719306e-06,-4.75074386902328e-05,1.367284129236584e-05,0.0012311424867111633,-1.0620390683021434e-05,-0.0014269644042037466,-1.5364755710084653e-05,0.0038394182543459183,4.832707561434525e-05,0.0009935154015019464,-6.95245775220058e-06,-0.002031680434702753,-8.079174430627798e-05,-0.004319766464459081,-6.476276182870016e-05,0.003993996048095129,4.807247874366601e-05,0.007939620368008549,0.00024808771428093905,0.008007877948288486,0.0004751556105266826,0.013406928461663718
0.0,-2.4389021508633643e-05,-0.00015274883219561268,-3.6089453234327015e-05,0.0008925149642929743,-5.397602217951623e-07,0.0014919710199147167,4.0600239145617416e-05,0.0016119480404116475,2.6730274048095977e-05,-0.0024387990956378307,-8.113076123896297e-05,-0.003948041815373754,-9.560302063797555e-05,-0.002646268652588603,-4.300834002638641e-05,0.004787234756759293,0.00011556472146382211,0.0046510238917876635,0.00031369716970772,0.007112100261016391,0.000506256117947144,0.0015473514566819893
0.0,9.069566608865093e-06,-6.511667509420438e-05,-3.94594781669285e-06,0.0007243443282993953,2.8846032621229077e-05,0.0009892038884641418,6.20186708690121e-05,0.001637052866705266,-5.4069059225973654e-05,-0.0037064385079750477,-0.00010746967825574426,-0.0007729556891526765,-9.969201910965977e-05,0.001800524963767504,6.911019856469546e-07,0.005719390882599457,0.00017819979446768538,0.0092558486032908,0.000374381849016489,0.010703143577841134,0.0006103459473858527,0.0157043971733836
0.0,-1.3945157030434863e-06,0.0002713354333543898,8.98307587005756e-05,0.0023747037816940495,7.020367289014453e-05,-0.0017066094902112782,-2.404458831331057e-05,-0.004782817937266439,-9.080211634565638e-05,0.0004488295081330657,-0.00011686601229251134,-0.0034425929860493706,-9.970039596079234e-05,0.0025421549320531864,6.106462393447566e-05,0.005048839527463637,0.0002179493658159693,0.007214331265982571,0.00043281023776822335,0.008625395013178154,0.0006206582620893525,0.002776573366783863
0.0,-6.503512392747278e-06,0.00022396628428321785,5.15827883179006e-05,0.0004964513826364944,6.075880106570048e-05,-0.0006724368382528738,-3.387748939649719e-05,-0.0034332033000067414,-0.00015860496335601555,-0.0019160683919502736,-0.00012893635278940648,0.0041365798002731685,-4.718615479365838e-05,0.0033176157111045566,8.7434912056101e-05,0.00435578237451665,0.0002630195146909536,0.009913562331970091,0.0004947682232482472,0.006764576052445076,0.0006797771881402294,0.007580751894029945
0.0,-8.730546849636779e-06,-5.286773887895129e-05,-8.567071152483154e-06,-5.807268645675401e-06,-3.508910094000029e-05,-0.0005597183051968747,-6.376098097573753e-05,-0.0008356823678715027,-0.0001350792622220859,-0.00403754029855122,-0.0001491405685820196,0.002244174419072544,-3.212670510132582e-05,0.004447079972049291,0.00014449609677095635,0.0077125690637320716,0.0003359037181867989,0.006792060694310885,0.0005021081473393995,0.013358416367623709,0.000774576004215798,0.01292963260702838
0.0,-2.2022082493150383e-05,-9.399171802888498e-05,-5.682749313582713e-05,-0.0026891098393126505,-0.00011114768700716876,-0.0033967404924790928,-0.0001437105590646659,0.004550542820465285,-0.00010846215634753014,-0.0002272051377163174,-0.00010824626934476824,0.0017845805364494324,-1.725607112865735e-05,0.0059695098686069785,0.00015970925848358053,0.006905951130904871,0.000373412039630647,0.0055058730613339385,0.000583696721060555,0.007289623336165354,0.0007332585627499257,-0.0004453443327125223
