‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.15
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[0, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,6000
vec_length,22







666.6666666666666,6.046075487424504e-11,-3.8356826392365985e-08,-6.490144092853264e-11,-4.597323217693623e-08,-1.8846708437450938e-10,-1.1874759781747742e-07,-4.076134658097285e-10,-2.941870091921855e-07,-4.427883103629768e-10,-5.726991530731788e-07,2.1982536158586164e-09,-2.624235356065846e-07,2.1908839289639832e-08,5.7036969320305165e-06,1.3055243044963745e-07,4.507676065565974e-05,6.691620090031206e-07,0.0002542998327162091,3.756430627193812e-06,0.0013661568280057697,5.996890154091156e-05,0.014147262666767304
0.0,7.385440540986478e-06,-0.00020852486791445515,4.692802829498343e-07,0.0025474993672736585,-5.391870572809892e-06,0.0005007721292995433,4.934369794068557e-06,1.1677753445284384e-05,-3.2138586765016395e-06,0.002077688270357629,-3.2010615022965035e-06,-0.0025402336537358383,4.802985794970794e-06,0.0021846412147346517,4.108668092352711e-06,-0.003909730520755791,-5.485694485769317e-05,-0.0006218245716769579,5.878851444692567e-05,0.004952071122606785,0.00025136981040730055,0.0015701524526501329
0.0,-1.490342900804349e-06,2.160448765580908e-05,2.5051333669466216e-06,-0.0003564512764422371,-5.3030449326184186e-06,0.0012312242137548462,1.090495869212195e-05,-0.0021202483497379924,-2.086574374220121e-05,0.002600542834419209,2.9707851854394524e-05,-9.20781431554854e-05,-6.131492492230126e-06,-0.0049243169101836175,-7.498907755166673e-05,-0.0004591754020650518,-1.1836315227532872e-05,0.004727597369416735,0.00016777003942147108,0.008406579436251211,0.00038899583873327765,0.012876944277952124
0.0,-2.3795128457956876e-05,7.987978705937376e-05,2.5738627227170914e-05,0.002059123946672336,-1.872955004121021e-05,-0.0025983248701884018,-8.552962756215008e-06,0.004859071451936685,4.249783469908418e-05,0.0006648271391726117,-2.7358616554245607e-06,-0.0020187096367599664,-8.380597808526877e-05,-0.004196150459226403,-6.2642563631618e-05,0.0037308112218207715,4.6860170091140305e-05,0.008315224712668056,0.000248027147055911,0.00749313458425388,0.0004789128605186652,0.014102060190171066
0.0,4.4533275988930354e-05,-0.00022805651343309202,-2.9425403577951884e-05,-0.0023395565187500984,-2.033445316895994e-05,0.0032576012478863913,6.290712845291275e-05,0.0006867355733805587,9.887857884552732e-06,-0.0021223125517949165,-7.045633618460285e-05,-0.0036971681008570534,-0.00010262698338640475,-0.003394167718769503,-3.7890624852717126e-05,0.005422713512446697,0.00011242367710957268,0.0041742048120453675,0.00031640555484865624,0.008111345002544101,0.0004955776226010522,-0.0002121094031800612
0.0,-5.4800143122126134e-05,2.6974761894683448e-05,-6.3631495391276e-06,0.004705218024374973,6.911009849917589e-05,-0.0015660509341847537,2.138212219029346e-05,0.000826795472347193,-3.501410360653798e-05,-0.000754044155457043,-0.00010755590614663526,-0.0031822214097397424,-0.00011074742654145582,0.002623402441326073,1.6707680120387493e-05,0.006206238238458044,0.00016112641983024155,0.0083289456463931,0.00038787259379061324,0.01113527909666039,0.0005933697634621684,0.014074613670580336
0.0,-4.7241381490134015e-05,9.232720125468811e-05,9.844032878661591e-06,0.0035055081187202993,7.162364323117964e-05,0.0019287675018198624,1.4784120932007522e-05,-0.005537528302713294,-0.0001074408603467557,-0.0031017431392345992,-0.0001387034801790907,0.00125051110609458,-6.366656085585256e-05,-0.00032911765296300737,3.3813636938689904e-05,0.005000517355430591,0.000232435851835323,0.009359902866258025,0.0004244666692677672,0.006375448622159501,0.0006409627389221331,0.0059146552708663445
0.0,4.2293040822776105e-05,0.00010197483532787959,3.709034439929163e-05,-0.0028550581008844394,1.1173194734523254e-06,-0.0004625343755027387,-3.4885606106441426e-05,-0.0004597705969706366,-0.00010232517236507033,-0.0012724342204349785,-0.00015862183100388402,-1.1815726730147802e-05,-5.505518315116518e-05,0.005913420670137502,9.352941753617257e-05,0.0057518854913855815,0.0002820984408085228,0.00719824301145667,0.0004627736626004634,0.006912240672457287,0.0007336996793547194,0.012977176796487692
0.0,0.0001402511091067142,-0.00032737077045200114,5.585762654968585e-05,-0.002364085829148754,-4.801195615081849e-05,-0.004389702552673189,-0.0001312467764596491,-0.0009635578373141656,-0.0001174065641040988,0.0014675392750690096,-0.00010427689676897286,-0.0018423974788221661,-4.728973222378898e-05,0.005653657904483743,0.00012551593394958128,0.00532708631815456,0.0003326715752765151,0.01098650079317787,0.0005329656211992705,0.010441223103363144,0.0007302370342693809,0.010513438970517121
0.0,0.00015826807633867232,-7.715414587742377e-05,6.756192072893206e-05,-0.007775526085318684,-5.987803325670383e-05,-0.0032114264947725717,-0.0001806997415694376,-0.0024094172883735113,-0.0001806202897264061,0.003984005394259236,-7.073490461168633e-05,0.005032879044277429,2.7869147516477935e-05,0.0029293088399164943,0.00012944025768890999,0.006344903546178039,0.00036258529251107354,0.006725720043743288,0.0005939705074681844,0.005923882884186876,0.0007383243940386792,0.0009098552426424792
