‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.075
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,3000
vec_length,24







0.0,8.178647725426643e-06,-0.00023619462238235188,-7.094573745431257e-05,-0.0040673582587401405,-0.00016157186584317502,-0.0034558363415303434,-0.0001930690046200763,0.0008609615435918978,-0.00018092414769404678,0.0002281732844582662,-8.753627424178299e-05,0.006364138191461607,8.266297996034624e-06,0.0022866189458434797,6.0799637924982605e-05,0.004833030832259845,0.0002256735996900079,0.007360122725150695,0.00046341073046754716,0.010393446965044182,0.0006554244516145792,0.008466800114884012,0.0007727188366158986,0.0044945638555267085
0.0,8.637954431115747e-06,-7.609671907963996e-05,-5.46773796025545e-05,-0.005559774887983319,-0.00018035394149175146,-0.004821518209802875,-0.00024069521660756261,-0.0002699268363557392,-0.00020052730991103232,0.004519212599222412,-9.351670873105311e-05,0.005482799697618999,1.4077013260957437e-05,0.0056673055233925984,0.00015230596125273636,0.005490840793022039,0.00030950624930341366,0.0052396184259753216,0.0004376350138951551,0.007088927336922394,0.0006611705862484233,0.012366866064163946,0.0009000189457744026,0.006999975158172894
0.0,-2.095573738981476e-05,-0.00018068733964384033,-8.08782547181864e-05,-0.0044186563616484395,-0.00015447528944916855,-0.002037429113693789,-0.00023256662765582312,-0.0025671865460543237,-0.0002241193470895132,0.0034172484123075066,-0.00014161067750668278,0.005263989765429065,5.1202615313502667e-05,0.007649045185776415,0.00023348216337778913,0.005645785527171394,0.0003481080755095421,0.005254455097855051,0.0004617296190737273,0.008372717751039562,0.0006922604522481687,0.009320723459885603,0.0009672343078414002,0.012333738163888195
0.0,1.1600374525348308e-05,-0.00012703121351187926,-4.281106532042079e-05,-0.0029694911854765606,-0.00013480057791870662,-0.006216577614102622,-0.0002219745994943984,-0.0015396875983769121,-0.00022286320298080093,0.0026016382198264733,-0.00013318818703762195,0.007317620980393678,6.973309453030958e-05,0.008171178413522296,0.0002243320836778762,0.006861700314984574,0.00037455481838814765,0.008409204008528381,0.0005786212652784573,0.005639010937267712,0.0007304190497908285,0.00751476386012641,0.0009304235021899966,0.011193993217997841
0.0,4.003173024056863e-08,-9.790175906836664e-05,-2.0332235954853693e-05,-0.0016445793291241537,-0.00011426474405815103,-0.0035298729498127704,-0.00020422706531059438,-0.002317337385912794,-0.0001810411487447931,0.002416333977204961,-7.945801057404263e-05,0.0032361007330972435,8.753954936667351e-06,0.0076534166130272,0.00021436910797139458,0.009656761655131785,0.00044916438716137273,0.010566924293811928,0.0006561114799551886,0.006634338626339556,0.0007807633933363577,0.005933840988516026,0.0008654241148819421,0.0037711780336135686
0.0,-8.93714529631935e-06,-0.000145048864840818,-6.549008437100725e-05,-0.004231010877870076,-0.00010431042113451602,0.0022392403476310272,-9.844329077745429e-05,-0.0015217493327819762,-0.00013294203377853207,-0.001845598243186304,-0.00010560639425737981,0.0040536713943514656,1.0657184605326427e-05,0.00783524392001921,0.00024163707598684703,0.01183444103747363,0.00048311572788176224,0.00750549182700466,0.0006965845276184628,0.010659065728395358,0.0008226665675797649,0.002380771110147612,0.0008858952954016675,0.0028435748860847192
0.0,1.1232947150127197e-05,7.916896830882751e-05,-9.7534133124733e-06,-0.002997720031323415,-6.0358437460956125e-05,-0.002135232734337907,-5.713228546060785e-05,-0.0009471185004463006,-0.0001027359365079066,0.0014106212190006934,-7.140046272434493e-05,0.0022522442745604642,3.7861591088486664e-05,0.006979498039715279,0.0002674216143804733,0.011025762301135016,0.0005041033682810866,0.010299837249324938,0.0007018724309807563,0.0049674836993461955,0.000834059295386473,0.0074060992807624395,0.0010080643323750525,0.006516446112732269
0.0,6.125500093905043e-06,5.7019449973511676e-05,2.601483784666524e-05,0.0013909186624174777,2.907351571898026e-05,-0.0026360318971580888,-7.186569344440241e-05,-0.0026777552526386105,-7.58793150959267e-05,0.00236546702347396,-3.8447327786448215e-06,0.0038788147171664347,0.00011012096986811549,0.005074900182992771,0.00030319718076866767,0.00755486602270759,0.00045985712337895374,0.010510436135994904,0.0006865195697638416,0.009953297481114913,0.0008925449035239074,0.007686979991497459,0.0010985648599825702,0.009525971754853299
0.0,2.5251218643243123e-06,3.216771997306134e-05,6.115983782660394e-06,-0.0001272079519881983,1.6666539525303895e-05,0.0012384967305790954,-1.185576097691206e-05,-0.0034992787388421188,-1.2790611277237534e-05,0.0016899240684038078,4.7728377213792646e-05,0.005167016575976148,0.00019274760811986127,0.007733473079468212,0.00030606897273355543,0.003930615798584548,0.00043721278972913997,0.007441329937548637,0.0006781314028943941,0.011336329242064545,0.0009226053913221507,0.011393428659844426,0.0012269643459138218,0.015586995233688367
0.0,2.0465943315651535e-05,-8.924962010069083e-05,-1.5653534032535476e-05,-0.0017019561759156257,-3.0500614780490743e-05,0.0024445642968761983,2.6811866915009093e-05,0.0019752114608337762,9.81381863029696e-05,0.0027179075496485804,0.0001449154249667353,6.256197199507453e-05,0.00019008865677472622,0.005411078971828433,0.00031049129774573023,0.00687608235718654,0.0004700706962818358,0.006416792977723209,0.0006643059193977315,0.009009792738771368,0.0009394856266792112,0.017728654044310815,0.0013199405995854233,0.015632186675783147
