‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,40000.0
simu_time,0.075
qty_x,11
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.01
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,2
sampling_length,3000
vec_length,24







0.0,-5.0532460527914895e-06,-4.7555610570573106e-05,-1.497717377718111e-05,-0.0002940527902764831,-3.7147451816161357e-06,0.0013922254017076658,5.6400840446524775e-05,0.0035004974772234482,0.00013684266685602076,0.004630278795702665,0.0002428242209548831,0.0033328766635820862,0.0003428047921227712,0.005465244146141218,0.00047125390011771515,0.006973532578176558,0.000653484083436203,0.009598101151073849,0.0009400921933512896,0.014316936329472337,0.00125579961914315,0.012959775648275482,0.0015288383367446242,0.011609952814181554
0.0,-5.18070108936595e-06,-7.190399377163546e-05,-1.8152970639764312e-05,6.465319318445885e-05,9.749043088023032e-06,0.0016992270340613032,7.411503602393842e-05,0.004364861442442435,0.0001691866340816685,0.003551176393832566,0.00023810764857150487,0.002339484513268743,0.00030350365068440333,0.004999158008146795,0.0004666435896911106,0.007921154941881779,0.0006903789820138551,0.012190465582421038,0.0009508188599387509,0.01124612816506304,0.00124789684438112,0.014429889985321784,0.001617585992403806,0.017440875545254666
0.0,1.1146445230584666e-05,-1.72156915228981e-05,1.1038887084486203e-05,0.0011122780320594508,4.82986923964171e-05,0.0019469343946691203,0.00010409701211743247,0.0021178482892319416,0.00015545453363753842,0.0022538901275142675,0.00020166727283214196,0.0035242824978893306,0.0003228759072813944,0.006343996748700933,0.0004786197014019111,0.007325641318262483,0.00068712365277033,0.010951664950882027,0.000974581806569315,0.014141228627096573,0.001275160036708731,0.012897784165202524,0.0016079242314501966,0.015619229769293455
0.0,6.5101725263472424e-06,8.67282387782656e-05,4.3443592483668054e-05,0.0029309159668471723,0.0001037146871848771,0.0018121758471078518,0.00010759693487899677,-0.0014673119372522663,0.00011647505869637614,0.0036309150400468766,0.0002109340266552099,0.0034383237446052382,0.0003229764844887325,0.006973697584815627,0.0004890714389702733,0.008089134833272114,0.0007140442413170981,0.010860034887865355,0.000988518294855293,0.013368627723292453,0.0012943277495431117,0.013591397880928691,0.0015834044443828025,0.01201583580447698
0.0,2.6498331520706066e-05,0.0001694792184881985,4.945851380179347e-05,0.0008853626444795255,9.15475635720428e-05,0.0014412510009293162,0.00011143123733915211,0.0019742746079008397,0.00013434339036813626,0.00021000131940563318,0.00019715155550947664,0.00408830413271795,0.00031123702405670207,0.007392722057834127,0.000518317591488653,0.010070851962995175,0.0007510237786106439,0.010452031478227725,0.0010042599597176322,0.011936900226732019,0.0012874177359450479,0.012643529578320286,0.0015995196805749514,0.014518076946696462
0.0,-6.334164151496606e-06,-5.173102731718372e-05,-4.055110435113461e-06,0.0012989871669428679,5.2692563209013874e-05,0.0034359843307185988,0.00012411124020857196,0.0015550940822084186,0.0001394319411346126,0.0017143804932980022,0.0002002325600254081,0.0030989105962689755,0.0003316445253219096,0.008200818832790708,0.0005307950622533873,0.009548202906088018,0.0007686505754679136,0.011532571001146224,0.00103559801734611,0.011338719735977335,0.0012904704840502794,0.011251088684137982,0.001568852335639568,0.012950271197876435
0.0,-2.2672460427822155e-06,-3.55109852418061e-05,6.938480246648616e-06,0.001519263585077723,1.9316012841808518e-05,0.0002627868778712309,6.135837310239721e-05,0.002681868757066974,0.0001575834138041809,0.005344031148317527,0.00024490655196947986,0.0030716224767155845,0.0003502209187987188,0.006857989711700301,0.0005467755133016712,0.009515049770415692,0.0007821239223873472,0.011173583136121483,0.0010552807603194912,0.012593719023961336,0.0012976637415044981,0.009173590729703158,0.001533395424723267,0.01119560505962607
0.0,5.759007857048518e-06,-2.7991629798409262e-05,-6.338274305362137e-06,-0.00034232233774565435,-1.9138519797976543e-06,0.00035034571362232015,3.701416135893598e-05,0.003452971893240159,0.00012790453028186491,0.004525359985180572,0.00027355483769177615,0.007387502418071697,0.0004114163996626795,0.006248246455823294,0.0005736904833654055,0.0072905898292110645,0.0007952206625825322,0.011816121862753782,0.0010560987191118839,0.011051136377260332,0.0012853772269998695,0.009902983059102031,0.0015419745340157626,0.012039300971899106
0.0,1.9407370012879842e-07,-4.7239904148596676e-05,-2.2183166013303542e-05,-0.0013769607697819474,-2.2832945226645162e-05,0.0012713761083414505,3.5975801311211084e-05,0.0033244158306662322,0.00011426309737506676,0.005462029450234397,0.00026695738307743865,0.006348730098557107,0.00045475955329352856,0.00980958648539965,0.000647900905781977,0.007734034798224501,0.000816001548228266,0.007273341470198067,0.0010190024446687501,0.010650068888295543,0.0012849743025895556,0.012200807841781328,0.0015392093500556302,0.010508782772319907
0.0,3.825379431453269e-06,-4.354327106203091e-05,-1.57683441108914e-05,-0.000947625373919267,-1.4505138333521693e-05,0.0004748030097782223,9.800649378665779e-06,0.0027389125491090066,0.00011708874841879424,0.006606062617373117,0.00028889790244204723,0.007657710021078357,0.00047708325294438435,0.00859900865888823,0.0006747770099251817,0.009640937377223125,0.0008638461998333212,0.006093984268189023,0.0010200165334886924,0.009015771315414367,0.0012550988140250558,0.011167801215191038,0.0015600247197199112,0.014855672304539831
0.0,6.617304866302454e-06,-4.873949461499619e-05,-5.633346618228911e-06,-0.0002299136068074523,-1.8242451724737917e-05,-0.00011719338309997194,2.2535510288366833e-05,0.0033525655453861187,0.00012849678090001192,0.005714129700081032,0.00029766512916045345,0.009006981798516311,0.0005079964825715026,0.009667630007183962,0.0006845590382469996,0.005474986495786135,0.000862662605571792,0.010350116951922438,0.0010735135787989232,0.008618110412972377,0.0012704340474540385,0.0077901825558724805,0.0014415948379933134,0.0076561600206547864
0.0,-7.676980555307636e-06,-0.00015500418897168157,-2.1560623159920326e-05,0.0013915643538181055,8.961382513597159e-07,-5.333617033176862e-05,4.2533745331296275e-05,0.003660022928970009,0.0001624288108407941,0.006852186087943857,0.0003178069753384053,0.0070094929487247055,0.0004915791830399156,0.008015512492239262,0.000687455129901992,0.009418266235686907,0.0009097300683690229,0.0093603930874081,0.0011086155109153865,0.008080210480191242,0.0012567175323301527,0.0056314900042070265,0.001383909261818639,0.005514807570614924
0.0,-4.9862814917553195e-06,4.512240817406502e-05,-1.4362924568446573e-06,-0.0006301561083713741,8.202071175216315e-06,0.0018202504924404337,9.11939241964083e-05,0.005285897511561306,0.00019960583818341877,0.004689961852098128,0.00031345721521215306,0.005250485107581711,0.00048343418285721134,0.009632044119226907,0.0007148861805423525,0.010895592929307694,0.00094973622742211,0.008167523647927737,0.0011084480342187148,0.007089666700331409,0.0012444269766419785,0.004706951291375905,0.0013684706711007846,0.006082341332289566
0.0,-3.950717289362556e-06,3.513849826352113e-05,1.1227752460116401e-05,0.0011249338837219134,6.095695961419106e-05,0.0028503961800929365,0.0001373730922196716,0.0035987168686658264,0.00018673589505339993,0.0028052270738747978,0.0003330555429983743,0.008123678165975725,0.0005273469026708323,0.009294726228171468,0.0007297193160662585,0.008818164329347185,0.0009420713866349411,0.008960151857265734,0.0011082965108332097,0.006344926359301807,0.0012465252331244493,0.005208866896177622,0.0013482194540659824,0.004234385550814269
0.0,1.1636853213322251e-05,5.998843435473506e-05,5.632077053492986e-05,0.004386856611464298,0.00010264797788031406,-0.0004412027173080177,0.00013016781740800588,0.002979648020213108,0.00022518118704293713,0.00540063505128875,0.0003747834019770512,0.007476272955992077,0.0005508160145048475,0.008047424812796782,0.0007484707828096007,0.009339127429555692,0.0009308504583941066,0.0063508484677689825,0.0010867634951568599,0.007663399268717808,0.0012463798824711963,0.005949598932076862,0.0013683506352556484,0.0051670230897442136
0.0,-9.846416671994066e-06,4.467682470134654e-05,3.112556478431172e-05,0.0031808141452649916,9.211526464949795e-05,0.003165509481129898,0.00017675322200066252,0.003315153178621075,0.0002734756937979874,0.005301330643899008,0.00040703372777099126,0.006930212788438472,0.0005885215284904104,0.008478610820010774,0.0007448314351194683,0.005851838819094786,0.0009208656886514009,0.008188387059280393,0.0010684125250472719,0.006588303381075722,0.0012314091564331754,0.007059683469089665,0.0014278190568117056,0.009786942087970587
0.0,-3.1701667137966637e-06,-3.869477853765289e-05,-1.0966359458933397e-06,0.001524865237839258,7.465101923974778e-05,0.003791159927697053,0.00020277560609281952,0.007893633237599259,0.0003458096770168375,0.004537515698247984,0.0004545429126190046,0.005524085313822925,0.000604137916147374,0.006850527085362771,0.0007466887411853572,0.006121043625007439,0.0008943118210895549,0.006587942512643561,0.0010541922171176672,0.008156828840542618,0.0012426568795193232,0.007866679846851087,0.0014278706021135547,0.008422652028830352
0.0,-6.920586978306298e-07,1.2048921911951365e-05,1.4796117127805581e-05,0.0020674232271482213,8.832136634822046e-05,0.0031995501176874837,0.00020679815489781705,0.007600230108533929,0.0003777751829536922,0.008111366987241835,0.0005384050454593162,0.004297109570316782,0.0006208539933666602,0.0037455288491494948,0.000719647610111802,0.006213137380640706,0.000887891507201851,0.0071727264369058664,0.001048271077212048,0.007532047991853081,0.0012454619590641478,0.00934361966357083,0.001424052545009077,0.006853181775414229
0.0,6.279197611556291e-06,9.407129814994657e-05,3.63840229775479e-05,0.0019111574816867403,0.00010589832347922775,0.005276956406270582,0.0002523563735735658,0.00659185602289701,0.0003968710000599435,0.00602888189460025,0.0005422462368143464,0.006456346553832373,0.0006671467223435348,0.004543899127157661,0.0007365311742657863,0.002944980649561881,0.0008630166696791765,0.006789776976859604,0.0010391637641610505,0.009941730782208858,0.0012506125018114313,0.007412522922815295,0.0014249410173073972,0.008173219649977831
0.0,-2.0759155859673692e-06,-1.737716780422499e-05,3.8853070206131384e-05,0.005270666493160329,0.00015691951259718155,0.004662879766965268,0.00028505294350405174,0.005926458353360982,0.0004156227556984406,0.005511030009926891,0.0005431523566197563,0.005757688591995132,0.000660667459241066,0.004871220379811703,0.0007766202000498001,0.005226761464268522,0.0008925976895772874,0.004820504804040398,0.001018808236798069,0.007272230016522666,0.0012159067524930888,0.009598492341793805,0.0014717325606490113,0.012275860540865654
0.0,-8.516910531520869e-07,0.00012945256835585007,6.910070766107744e-05,0.005637462044689615,0.00018382288325959216,0.004034319806518064,0.00031235832659072874,0.006581261531097816,0.0004329501394845384,0.0051085124788557285,0.0005401984795342964,0.003780223454892437,0.0006599340129148309,0.006958114409411553,0.000800681215382368,0.004842569189382496,0.0009077080514933731,0.0054094786106497934,0.0010343158442524124,0.005887002495575481,0.001209663783218002,0.008998730676086598,0.0014180362293906067,0.009265459914365117
0.0,1.3785657335619025e-06,0.00019424637438202278,6.569209352407017e-05,0.004133486980543527,0.00020139945075059115,0.0064926300675219725,0.00033079688065524806,0.0056642378551204344,0.0004317880892041081,0.0039730373292057135,0.0005552656089544522,0.006047468457927518,0.0006829232639089382,0.004820035916020277,0.0007768118990394238,0.004821715491610356,0.0009231360408485169,0.006813730475441891,0.0010866744147840113,0.007778503195495431,0.0012075221307204839,0.0033949568640397054,0.0013304061012111598,0.0067876089866376
0.0,1.1531804798560851e-05,0.00013968413210239535,6.686859978461592e-05,0.004400616445601765,0.00017855597922657835,0.005306681452068598,0.0003218819065032256,0.006443928117534986,0.0004621262668689622,0.006497018244450762,0.0005770545120121436,0.0027591431294652765,0.0006542235804824705,0.005518733176863893,0.0007988410371398901,0.0069734954532969925,0.0009637109841984843,0.006213561605294503,0.0010942875969231357,0.00581277197970113,0.0012040071561040565,0.003765826873399444,0.001254662584365014,0.0012827394078042925
0.0,9.060342293047359e-06,-5.768721733319295e-05,2.390466423323199e-05,0.004024967167117146,0.0001596893055742445,0.0068791436135918,0.0003277557433084949,0.0067045645994572925,0.0004530982589477749,0.004856425030737661,0.000568528230482892,0.00519805264001841,0.000685614508678888,0.0058959276748159215,0.000832879671760417,0.006440644238719131,0.0009822128925231707,0.006261471971434025,0.0010919149444150653,0.003877662779762503,0.0011769320756100893,0.0035337773924758995,0.0012632589070325651,0.0040361809178338795
0.0,8.494308307631041e-06,0.00010345179533685398,4.667279266171054e-05,0.0030744903007055655,0.00014845540718012818,0.005570095570228701,0.0002820689240998672,0.006317762831339078,0.00043125758736381806,0.006424575587892423,0.0005732477911162204,0.006406859924386576,0.0007397813415805924,0.007592339659759621,0.0008735421550524423,0.004280476238413525,0.0009747081861047895,0.0048700899886455875,0.0010778583781603866,0.004835134723517893,0.0011669751294111934,0.002228402085986642,0.0012686923749063131,0.006330335681484967
0.0,2.589407798744069e-07,0.00011579106930512281,5.213411647587352e-05,0.003966361552246536,0.00014212898889196313,0.0030190507889784305,0.0002274774347348169,0.005271746089597388,0.00039575499710268466,0.010383789749699095,0.0006126932077553896,0.006767644954344184,0.0007709375335295561,0.007296950953398905,0.0008947896261858203,0.00433101352319229,0.000984880041376191,0.003511988049278785,0.0010660914940423631,0.003427766189908642,0.0011506295612548857,0.004573967977092564,0.0012688835499614988,0.005435499167366025
0.0,1.2115836886911138e-05,-5.56326480373521e-06,1.0853461054984182e-05,0.0011784048357815816,8.618035687247034e-05,0.0045314255387963005,0.00023115465407372055,0.008184893272839206,0.00039657746408696965,0.006887335875358263,0.0005981113240009874,0.00967636002224085,0.0007901290230871207,0.007743712513532578,0.0009233847465738084,0.0034800758702194304,0.0009843993739037781,0.002340452861432991,0.0010678265917183401,0.00467627087448843,0.0011492826238547122,0.0035639174199521193,0.0012429576624210354,0.004181449403316937
0.0,-4.179806448256996e-06,-3.7817567457918315e-05,-5.768175391725716e-06,0.0005631922301692708,5.244900439546941e-05,0.005638998677631091,0.0002186357684039851,0.0073139766078669155,0.0004039637162928426,0.009610067598191566,0.0006146459842032067,0.007649655560830442,0.0007636002379326614,0.0070935989982696375,0.0009142826817133748,0.005172097276903437,0.0010256445603987932,0.0037823426167114737,0.001077879786898902,0.0024915590292246513,0.0011379638855618507,0.0025932546332148973,0.0012282073749387077,0.004847079992180621
0.0,5.733435035190785e-06,-3.6919501625361796e-05,1.0695848728153047e-05,0.0018594858190700615,6.731316560022571e-05,0.0032556629337385876,0.00020094243572461897,0.00762143808549472,0.0004015133921259628,0.010286502111547413,0.0006027043511505446,0.006976167438857149,0.0007598268561287778,0.006589805278387737,0.0009080656039867522,0.006526159870297023,0.0010188377067718644,0.0038498466045516844,0.0011124213315577283,0.0038822878738811258,0.0011548138958513009,-0.0004347361742358592,0.0011610153807777549,0.0011364019855955442
0.0,2.716985964667026e-06,1.9644622993645238e-05,2.0632487564222257e-05,0.0023400961931470234,0.00010830113223563822,0.004220426609701109,0.00022256998980909102,0.006517422755365764,0.00036966151982949707,0.006994499905983213,0.0005685432261875623,0.009022814743556196,0.0007632120897303722,0.008183995777776532,0.0009039809528871576,0.004450863975108477,0.0010235114298126763,0.006436949722586561,0.0011299509771645622,0.00216428087408449,0.0011479578404620004,-9.555314112308972e-05,0.0011643258040131882,0.0014055873301225417
0.0,5.626274884144657e-06,0.00013331505996092835,5.0309426923125835e-05,0.0029883111206284803,0.00013488223790994523,0.004027267886847926,0.0002341878166551733,0.0054373004044169886,0.00037831415043211694,0.006843985208554833,0.0005324449736968961,0.006342758756429266,0.0007175137673538283,0.010666745609529887,0.0009242650788543609,0.00685972027630643,0.0010508272852303802,0.0032059988594365695,0.0010992402977547959,0.002242279170453046,0.001145189702451401,0.002325722193663383,0.0012089869217574091,0.0029065731402756908
0.0,7.867655554571847e-06,1.6707539349357396e-05,3.5688447563320675e-05,0.0038371756734361844,0.00015237205533671092,0.005248940498517783,0.00026386955493961885,0.003952142450168228,0.0003631465870684306,0.005920993947086238,0.0005192840820115857,0.007823533179229873,0.0007153233775567002,0.008497685610169989,0.0008926424633317361,0.007645515802018892,0.0010316640884665586,0.003359982346004726,0.0011045875505485531,0.0038221673697124295,0.0011632291970322217,0.002153349831731751,0.0012236412025651063,0.002773730158065698
0.0,1.5958557211672567e-05,0.00014033582866461333,5.680508291664375e-05,0.002830204686661951,0.0001327197661206257,0.0040449151011121235,0.0002563884979659204,0.005984365868216757,0.00038153404578257494,0.006024630574498941,0.0005414713566719159,0.007186572776857281,0.0006963817828481917,0.007020318197975323,0.0008456584292592157,0.005257665357176576,0.0009901115656452437,0.007745542616401376,0.0011147214205371092,0.003993258418522306,0.0011997931633103667,0.0018715925308030233,0.0012244898439969106,0.0011592835123878736
0.0,-5.934576225887121e-06,1.3687421039881917e-05,2.6181803484278103e-05,0.003550642976926481,0.00012226774991920788,0.004023555039760315,0.00024187942536076448,0.007076993020448114,0.00041045925808635096,0.00736470100756646,0.0005610545937005137,0.005273948499655856,0.0006681454298895732,0.004743222936623001,0.0008047383264807931,0.007529437795221134,0.0009674035722206824,0.0063384551755455406,0.001099993683459416,0.005571509505910878,0.0012064589302428065,0.003444699045913022,0.001314195883591335,0.0058697392885976645
0.0,-1.3721464759339806e-05,-1.5797727776991983e-05,1.065670370478386e-05,0.002618267117177257,9.491575601353996e-05,0.00557298880842885,0.0002659738580593334,0.007961670145423877,0.0004156747200975995,0.005666056759704246,0.0005324589786687112,0.004630218620403612,0.0006759451174737209,0.007319985256714023,0.0007959051289220096,0.0046434690159554304,0.0009165041367270074,0.005232925221524919,0.001068295655809737,0.007678982371634502,0.0012268364898808664,0.00712480471524693,0.0013922670277192518,0.007141760141787158
0.0,-6.2797154240562974e-09,8.22327684458261e-05,3.896337564423302e-05,0.0030970535694320213,0.00012275338749792234,0.003924613828386829,0.00024017938696325244,0.006779570047006195,0.0003875021299903031,0.0059298779380678995,0.0005470891080453476,0.007028486947721789,0.0006656160214469017,0.004857291363088957,0.0007681849385040513,0.00403570614799225,0.0008965282492534911,0.006252795269099803,0.0010358465680332816,0.007237693672083639,0.001235045547836813,0.010310145207354682,0.0014876802265786251,0.0113500571471151
0.0,1.0459908739268638e-05,0.00010550007281698534,5.560843201136756e-05,0.0038931309733433914,0.00014062119557268314,0.0028168425281583282,0.00023327582307925627,0.0053700685327806265,0.00036764465287064424,0.006917185052726991,0.000524333417278383,0.006572216405115638,0.0006522336104770992,0.004248355400803682,0.00075295184085127,0.004810117286258106,0.000863041949372513,0.005246576272891456,0.0010237709834798733,0.009981055181315764,0.0012744926366435694,0.010128215115395599,0.0014917017072694162,0.00954378309701034
0.0,-2.6917259878592306e-06,4.7308252323918665e-05,3.119824496402961e-05,0.0030809788490991337,0.0001257316979603692,0.00545806323419191,0.0002619727208992631,0.004867577721748429,0.000360584287050118,0.005350952300857382,0.0004788915116619723,0.005086226704908757,0.0006175220121881846,0.005470405707153662,0.0007171693163993911,0.005114500689682917,0.0008729732705666298,0.007757630687246097,0.0010443733867765883,0.008421865965166697,0.0012725385521212076,0.010370116881889529,0.0015172140361651705,0.011221353369589107
0.0,2.3190270069685323e-06,5.00695943917087e-05,3.279868529149031e-05,0.0029890272954157474,0.00012090616130386761,0.003940283751865839,0.00023588350398660567,0.007426652625419765,0.0003795597553805807,0.0031879446518651893,0.00044761856863364657,0.0034824752640890983,0.0005413017969372595,0.005919946644223964,0.0006989861842672984,0.007740532865625079,0.0008917280729356523,0.008066370161169895,0.0010725602716345525,0.008720516665799087,0.0012780270666490803,0.009116036428785326,0.0015000541401163378,0.01019664103685326
0.0,-1.2558735500221258e-05,7.376029791375684e-06,2.9791041922249475e-05,0.0043913105962105365,0.00013193759517285235,0.003989990191958959,0.00022853519142181832,0.00441252098228043,0.000320378467324421,0.004098613925631836,0.0004202081457670084,0.003974907363438173,0.0005300710587744586,0.006214840339583309,0.0006694060746289465,0.007082638559273053,0.0008821172321348921,0.010285034481115203,0.0011101530550941044,0.009267956491498572,0.0012996325049681,0.007896913886877339,0.0014381970076261018,0.0048566390464706115
0.0,1.0138039082711156e-05,0.00017286831982652799,6.0677344281729484e-05,0.00280129751297363,0.00011643372155978211,0.0026091421723647857,0.00020110876035463884,0.0038688861919263726,0.00027619784104089047,0.0036782655616583453,0.00037297635762086273,0.005334331231409802,0.000520037773836278,0.006425172955739298,0.0006788636501990765,0.00848689556695969,0.0008901707795620862,0.009240930552952843,0.001101652852089568,0.009831512198186954,0.0012970218710609534,0.006953308266501513,0.0014691560550540745,0.008216069542292299
0.0,-1.6588435189331715e-06,6.689620082764652e-05,3.2281061310245554e-05,0.0027595346151956133,0.00010150593345118119,0.002592098951799233,0.00016361494100498465,0.002953890678607334,0.00022775635347958487,0.003579079318752047,0.000347549879472464,0.006485282670407206,0.0004956136476521169,0.007255833202093076,0.0007062838943703535,0.00975835474574735,0.0009087639168553915,0.008060043756906306,0.001066764066182466,0.007873710244562342,0.0012846398103420129,0.009640270918926455,0.0015267485598368605,0.011585398861419365
0.0,-1.8381301541308403e-06,-2.8170851581517206e-05,9.43398211293531e-06,0.0018398953986236732,4.8209613180344884e-05,0.0018332725104573825,0.00012107393260690914,0.0035579641625804173,0.00019376175534829536,0.003967843009327529,0.0003215354482167901,0.006821499214234817,0.0005121342363648853,0.00964430827219275,0.0007066966003011901,0.00745003540462257,0.0008764981689165172,0.007833846482470203,0.0010745958741002707,0.009294483943923475,0.0012984702329342057,0.010278788364731199,0.0015017618631114524,0.008014785388359718
0.0,4.875119273546919e-07,4.0736891916826416e-06,1.193958703084789e-06,-2.5546861633023735e-05,3.42989296571945e-06,0.0005186653397389781,4.118981510603799e-05,0.00390952497922116,0.00017625905552853122,0.006658005526043472,0.0003405540749274754,0.007515597003106078,0.0005080973827825728,0.007152948695931067,0.000660444011228855,0.008102182821956991,0.0008784625523447526,0.009213559410065499,0.0010970139182071865,0.00973547210031336,0.0012854007954934711,0.008425144702927817,0.0015215306274782847,0.011346902123299646
0.0,-8.79318826511484e-06,-8.047085243899067e-05,-3.378367343674806e-05,-0.001547093476083197,-4.260580033753814e-05,0.0009189264135646898,1.5917007460546707e-05,0.004787573441152166,0.00016070785952724303,0.007416077760514738,0.0003214464077771869,0.0061499066572346045,0.0004822013663603972,0.008693729954891094,0.0006719693488727174,0.0074630691632016485,0.0008660591611504338,0.009857364484715678,0.00108476888079805,0.009783299531243133,0.0013087928199106735,0.008664023031500762,0.0014837725761633355,0.007441827129867257
0.0,4.425727885684547e-06,-0.00020249458653319997,-5.455183947108796e-05,-0.0018861829397179293,-5.119940242370468e-05,0.0012492494059737939,2.184972450148235e-05,0.004269553560835773,0.0001219094006992109,0.0058195171535636225,0.0002805965602743405,0.008101411866930659,0.0004727226165482674,0.00785003591928217,0.0006717593033369172,0.00951449811011162,0.0008756544726354696,0.009030814631022635,0.001075636979560794,0.008584393583754183,0.001288504122732654,0.009957252444946673,0.0015244945980892016,0.010661131485571122
0.0,1.158630655604797e-05,5.7563382393770075e-05,7.357611303016082e-06,-0.0013409034021778692,-2.4368122327283256e-05,-0.00023370132165614178,-2.151054539359209e-06,0.0019149196560382243,9.325283553565471e-05,0.006374413675723651,0.0002543594327528258,0.0077023535073835765,0.0004482046605013601,0.009607700456905418,0.0006693245150134817,0.009294142565751397,0.0008771159060707621,0.008440522173538446,0.0010688832237386397,0.009566819796890247,0.0012877659379872002,0.009429395898649317,0.0015255913833744164,0.011129710644964616
0.0,-8.453425433904448e-06,-5.440091441463439e-06,3.015205455360163e-06,0.0010075337750399258,2.1802254633646104e-05,0.0003690350717864511,1.1341767633898717e-05,-0.0001925465159184128,5.988471610081215e-05,0.004792248751787439,0.0002282133582866137,0.008464045377718487,0.0004321503481840712,0.010328797071457809,0.0006491075875425561,0.008568005797307035,0.0008560177940182121,0.009499148506401519,0.001088271604482376,0.010340515435612728,0.0012954140501530728,0.008627487378893767,0.0014892017707407237,0.008348187425868972
0.0,1.0239615030651514e-05,-4.268445232606856e-06,5.718655416758618e-06,0.00020386220762908528,8.054786384734258e-06,-0.0003911918670757715,3.6923582960192304e-05,0.00309780755505442,9.583624807236335e-05,0.0025820345971240177,0.0001951694515444452,0.0059968669871730135,0.00038183240259702687,0.010123841202590009,0.0006263027527353997,0.011097446068411749,0.0008574811656382996,0.010115119954702182,0.0010966395291539142,0.009070052029906208,0.001281945207940201,0.008858088036389928,0.0015032445399198117,0.010053740527267218
0.0,-9.119611928494538e-06,-8.017314782318773e-06,-1.014405772008061e-05,-0.00034135881927057276,6.989472364549697e-06,0.0023035655192795747,5.688482878388143e-05,0.0015006000888001625,0.00011283889945116034,0.004132211294097572,0.000206835984929549,0.003967800451936962,0.0003423141874258048,0.008649901835206749,0.0005837234612288847,0.011405539939190404,0.0008529863609175548,0.012080008272395406,0.0010846707741554863,0.009115608633569998,0.0012887695274279853,0.00824814933778427,0.0015058922328091897,0.01066334834618649
0.0,1.0443207242815694e-05,-3.257512940616915e-05,-2.505661960978484e-06,-6.058046995966425e-05,1.930925395874197e-05,0.001640842900743237,5.980708847300071e-05,0.001595383873399852,0.00011717534379110465,0.0036126878840625778,0.00021550854411462095,0.005565325202259255,0.0003563199462942718,0.0069043100542893355,0.0005550748682184256,0.009916143887044138,0.0007909262066436638,0.01100974032027635,0.0010694012607731917,0.013160466609854347,0.0013144129345775126,0.00808460763930893,0.0014875041181328327,0.007611261653741103
0.0,1.6550234341289113e-05,3.506090188487539e-05,1.911386979373257e-05,0.0004948133671875575,3.151973703203722e-05,0.00042738519605550686,5.620165028068117e-05,0.0016943577591885968,0.00011718132729809348,0.004247432305137176,0.00023785543576320328,0.0053709786425301465,0.0003653742874456405,0.006680839338419401,0.0005334951939629154,0.008387683197286763,0.000766771749603604,0.011471915135307566,0.0010235534308370778,0.010444046129257535,0.001283900253674758,0.013779383022036434,0.0015867824787561245,0.012511361690797654
0.0,-6.375906960718752e-06,3.0098551512282e-05,1.5304288081495912e-06,0.00019800650613888444,3.513704538278357e-05,0.0022460717955864753,6.914684811243517e-05,0.002206156876502069,0.0001405644153556498,0.003221852510400533,0.00022581074650113958,0.004356470817530552,0.0003723365986600051,0.008569843167183596,0.0005529650773790265,0.007130546939025524,0.0007219949547378652,0.008278657745881947,0.0009620661915118505,0.013070317145994223,0.0012841504139633195,0.01471294759005392,0.0016431565261616485,0.016489788700973614
0.0,-5.274891723102232e-06,-3.869762196443567e-05,-4.803900267982557e-06,0.0008300034245949404,3.238889601898582e-05,0.0019809075996586037,8.053839002981638e-05,0.0023282667340219043,0.00014992148106638672,0.004044247470501588,0.0002491510273649398,0.004867177941726736,0.00038017336496046325,0.0056768141678458185,0.0005169421012014913,0.00714452528217821,0.000697173978550788,0.009380101090718133,0.0009531002503126823,0.012631207435031856,0.0012679699739740068,0.015032919115234373,0.001652759127366769,0.018084212653714654
0.0,1.3466405817906048e-05,4.79350790613353e-05,2.3991311370419324e-05,0.0006761593668525474,2.0220686854950425e-05,0.0002047709510405935,8.043843465693046e-05,0.0037360181547254094,0.00017431946318743048,0.004888104141374763,0.0002785638163862491,0.004005838349985869,0.00035784252252753457,0.003914616221675796,0.00048536408091286203,0.006660362201895555,0.0006853888507266157,0.011547841966325273,0.0009613311639721716,0.012299218968611643,0.0012684718787421602,0.01430518615257591,0.0015726104616904377,0.012760445139053405
0.0,-1.1361701060204626e-05,-5.144339320540946e-05,-1.2343065358205388e-05,0.0007130157982041516,4.224590844304739e-05,0.0036089415265428116,0.00011154489283607126,0.002740452350796568,0.00017897629876720327,0.002813579237158677,0.00026503332798593244,0.00465900640567898,0.0003452444687429941,0.003603105328186266,0.0004814974719532008,0.00799209622602685,0.000693398783795477,0.009963244563402248,0.0009604157030633728,0.013959504846404394,0.0012517347481921252,0.01138092083301039,0.0015129228288027798,0.011637257086891187
