‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[14, 15]"
animation_speed,100
sampling_length,6000
vec_length,22







3333.3333333333335,1.7142208680196093e-10,-8.792169511399461e-08,-1.0428773898455675e-10,-8.272267724724405e-08,-4.0690962359111587e-10,-2.253229343838946e-07,-1.2648427363240521e-09,-6.926107039196268e-07,-3.7168733871824684e-09,-2.092898594382015e-06,-1.019990105881773e-08,-6.043771092663844e-06,-2.255518494573798e-08,-1.5783778279416765e-05,1.2909335768192727e-07,-6.057432469032319e-06,7.14233427522302e-07,0.00023263649082295323,3.7701845626079994e-06,0.0013606467712874149,5.999339000646837e-05,0.014150279633555512
0.0,-2.777477729493406e-08,1.3334470407045593e-05,7.2046522775206446e-09,9.966287210657913e-06,1.78334853547181e-08,1.775191376075444e-05,5.514069243554515e-09,2.6516174548476403e-05,-1.1858856352269394e-07,1.0099734195719208e-07,-6.013514961835725e-07,-0.00019495393693108292,-1.7051243480886257e-06,-0.0008674727194501272,3.20240027460719e-06,-0.001285280444117775,1.0548873890079964e-05,0.003650351163582484,-2.048746395621605e-05,0.0035716035805476347,0.0001430264363155307,0.015286396294707232
0.0,-1.3993664835433798e-07,8.37446103312996e-05,1.0165161368853792e-07,9.007073828649106e-05,7.806913913509463e-08,0.0001528812611942206,-3.0489137571378353e-07,0.00010368963256829458,-1.0618275380142133e-06,-0.0003021889547081182,-6.622696383809245e-07,-0.0009246163435004995,3.397596401237895e-06,-0.000233897637070495,-7.312287774727818e-06,0.0006771548901981705,4.339673697114407e-06,-0.004993006097329575,-6.742479572627644e-06,0.00620179209179633,0.00019351358237942965,0.015600467296488054
0.0,-1.39549637502201e-06,0.0005561485053877528,-5.089541290328519e-07,0.00013843170394242508,-1.0467780180379763e-06,-0.00032321706937312665,-4.803731149390395e-07,-0.0008759875802041493,2.6479635909037598e-06,-0.0002913564452833415,1.2676343638412953e-06,0.0013356743914044642,-7.427947940052552e-06,-0.0007514735447443417,1.6769856345392856e-05,-0.0005960301791548985,-2.198011601466383e-05,-0.0005307462651281649,3.5676935143828684e-06,0.007031811434197335,0.00020913374385541812,0.006995791598812976
0.0,-2.5962981018369666e-06,0.0006644544863121504,-1.1263105311936418e-06,-0.0003593673914423304,1.8184720636864205e-06,-0.0002076093111497888,1.4620603105442214e-06,0.0011006803875860578,-5.080022285795666e-06,6.79959139963807e-07,3.402670187980185e-06,-0.0014589628482615396,1.5974799140410956e-06,0.002038123421975685,1.4010509125654489e-05,0.000439717217202969,-5.739641769964449e-05,-0.0011787056038710124,3.775778191370812e-05,0.0029742003361862314,0.00025115314523193444,0.008325690539794369
0.0,7.386371178344976e-06,-0.001882967529619548,3.163376958151261e-06,0.0010213724808075106,-3.832921808877634e-06,0.0008500665737007102,-4.625424603409321e-07,-0.0011814721801048137,4.499049519400185e-06,0.0009232682593013498,-7.068956102288333e-06,-0.000384456049419456,1.180158295432449e-05,0.0013881618324890137,-1.0036597896292341e-05,-0.0003193298641448189,-5.820992532238509e-05,-0.0010395702624851864,5.976615385406763e-05,0.0070337051336288115,0.00022980229675583373,-0.0031361313041539116
0.0,-1.0674313006400524e-05,0.0023452483660883544,-3.4582233413500783e-06,-0.0017943143155236814,6.108713383771318e-06,-0.0005540821933030565,-3.1579895381105107e-06,0.0008283848778582654,5.731760899835384e-06,0.00027385703816631203,-9.06187862615707e-06,0.0019068537767617114,1.1256176014344467e-05,-0.001515009083145328,-2.800001353731626e-05,0.0006932608535966863,-5.5961578731536796e-05,-3.417986623651401e-06,8.214863374933918e-05,0.006097603548612379,0.0002648003762142303,-0.001394037904660374
0.0,1.3283275881016972e-05,-0.003108177668258933,1.9385179663392226e-06,0.0013412578267490117,-1.6679576824290169e-06,0.00027214313196928286,-4.6281556002399046e-07,0.0008937138634822706,-4.132628214575095e-06,-0.0025815849929007205,8.921952671986008e-06,0.002123505711923339,-1.984873967996884e-06,-0.0004281412150576069,-3.824311949534372e-05,-0.00024336513693526692,-4.20880799449447e-05,0.002528657313551813,9.847484262534337e-05,0.0034005962053312837,0.0003242499257972834,0.005715318137190493
0.0,2.389024888169896e-07,-5.057537959036345e-05,1.9129752399218315e-08,0.00015478574028817338,-5.4911897435111325e-06,-0.0017714538967104464,1.3956727918213515e-05,0.0004125141852222893,-1.3921563930188287e-05,0.0020917223833231296,9.627342706457723e-06,-0.0007010884183907268,-1.0189729647305727e-05,-0.0028567546222995578,-3.616340363137505e-05,0.00037591485794326773,-1.1595366099268576e-05,0.00396137121152053,0.0001131381252145173,0.0077806681311859876,0.00033888799616691817,0.005812170287156694
0.0,-1.2798018027482946e-05,0.0016687571050313056,5.1503628479644735e-06,-0.0016085996750530328,-7.060461658014388e-07,0.003002694163982097,-4.623367550495178e-06,-0.0024721867760557226,-2.826998784192697e-06,-0.0006619877670762809,1.9170344274380943e-05,5.5914067690936305e-05,-2.7158443924513048e-05,-0.0004338601242286251,-2.4910992268529228e-05,-6.500816391978451e-05,1.3220054843702114e-05,0.0003010125081685326,0.00014321568914979255,0.009073053103844507,0.00036990040122035305,0.012015192744850703
0.0,-3.613030656761022e-06,0.001564318045801346,-5.58008071697198e-06,-0.0008100340840590719,6.033179785534744e-06,-0.0005279445325010648,-3.5182555966515358e-06,-0.0009328369222414426,2.187209043365288e-06,0.002433700397526444,8.363413011762647e-06,-0.0016534712644176272,-3.227344641410228e-05,-0.0018050092791055145,9.714652128205242e-06,-6.69547582041659e-05,3.190431309249235e-05,0.005297822542189076,0.0001637064080563075,0.009126613531332036,0.00039591767123833284,0.015644586495027386
0.0,2.824748936518065e-05,-0.004518308545724184,-6.51564564498835e-06,0.003065667196355262,6.57641498074431e-06,-0.0010668155033937343,-1.0808211396526605e-05,0.0008506981755817362,8.957635746862529e-06,0.00021230572665142608,1.6542229678159678e-06,-0.0036017402965282173,-2.002089545264508e-05,0.0027857409985918022,1.0668262117120113e-05,-0.0006194230997717206,6.092334973724953e-05,0.003973177106619076,0.00019194066940069097,0.009556760999839816,0.0004048328304447922,0.016913342666710497
0.0,-1.9347107310360187e-06,0.0010015041854116275,-4.02149265988396e-06,-9.199688185983248e-06,8.650793509944998e-06,-0.0007895646281815926,-1.6844868363579376e-05,0.0008686507911290833,2.7954027153526617e-05,0.0002851561513545935,-2.3734479169164897e-05,-0.0007529367178667516,-5.721769022774779e-06,4.496795477891658e-05,1.5397395014968745e-05,-2.008843637242683e-05,8.715921749868905e-05,0.0038397950084732165,0.00021898582092590242,0.009453141742273349,0.00039834637250268413,0.014112945857596315
0.0,-2.076692078281728e-05,0.003014758443664169,8.45458252534718e-06,-0.0009330951000195617,-5.382409512516679e-06,0.0001909567540463238,-5.5145877769026375e-06,0.0009021060771311157,2.3369464778204773e-05,-0.0010132295869672257,-2.7320893491126886e-05,0.0004928806074363339,3.6919908946895363e-06,0.0007769507774674988,1.69747398105216e-05,-0.00025984023253204424,0.0001086969096426031,0.006945416328992396,0.00024115408795432773,0.007139204456666972,0.0003917719245165207,0.009472957265252234
0.0,-1.1514987024502547e-05,0.00020251212495370186,1.7101866143397484e-05,0.0010513954336781276,-2.440224528410647e-05,-0.0007947865815982444,2.1843662363218917e-05,0.002325788668313215,-5.013475210410756e-06,-0.00163956664920843,-1.48129060466279e-05,-0.00164586947265828,1.1240574224471984e-05,0.0027984123158127,1.034899499324055e-05,0.0002081139760678445,0.00012287155572865592,0.005840958351749375,0.00027217897861024957,0.0032995706802081554,0.0003901249287722681,0.006650936485178547
0.0,-2.0793565699049652e-05,0.0028421793755051277,1.163428466020805e-05,-0.0012304796220048758,-2.1596102563750398e-05,-0.0004552552498952989,2.6995631925825596e-05,0.0007357236769131574,-9.046623394679595e-06,-0.0015609641068468835,-1.1906653660375274e-05,0.002392170162343779,3.5293566699816776e-06,-0.0011046112609370221,2.027941070813903e-05,0.000587320803375318,0.00013803100051848767,0.008268134618393538,0.00029291598662663037,0.0042754093375420195,0.0003532525682986474,-0.004780970223982707
0.0,-4.320137184035866e-06,0.001160268351744198,-1.6296543756647087e-06,-0.002302825140120249,-2.870939924806367e-06,0.0024476057067184353,1.2811608226921524e-05,-0.0004961415787815046,-1.0420465143840157e-05,-0.0031915585146016444,-3.979381470268536e-06,0.0025585698508323426,6.36559437732207e-06,0.0003552683390376525,9.292061446098045e-06,0.0010218796642202268,0.00014675203473631172,0.004703628649750876,0.0003222862265617897,0.0016649018321635255,0.00036465340131695796,-0.004851247223911534
0.0,4.2437000031154875e-05,-0.005026026447093222,-2.230470555887514e-05,0.0008226655744703579,1.0221649081963185e-05,-1.4959196236611423e-06,1.4475039411050281e-05,-0.0013659206308707218,-1.5951902872044544e-05,0.0019125751645200438,-7.570709121420567e-06,-0.0009192518141139708,1.5247421499449132e-05,0.0008284104669251641,9.218570338893394e-06,0.000687677603623904,0.00015712241702117393,0.0101783849001112,0.00032882255488308077,0.0018660956635388518,0.0003789947377749348,-0.007164415286926737
0.0,5.2690583794232945e-05,-0.006164722138362189,-3.110624832857218e-05,0.0006749516450391507,2.795123219043615e-05,0.0017855773046116122,-5.268680390838523e-06,-0.0019479807113470728,-1.0125771786847817e-05,0.0004207059710018431,-4.0859143019074487e-07,2.1003908909727798e-05,1.0489525557880389e-05,0.001841906506472146,9.527985352363265e-06,0.00043709374870063003,0.00015992950601537677,0.008717696163738102,0.0003449669604018834,0.0016090375734664497,0.0004222080492543539,-0.0015638615749377432
0.0,2.434385371669942e-05,-0.0015131641032234268,-2.640532283544367e-05,-0.0011632158283063285,3.0682152847881055e-05,0.001576999214814675,-1.0590464729766079e-05,-0.0017237292821410694,-7.262806119831864e-06,0.0005615354499367636,1.6986705716282666e-06,0.0019762413295219346,1.821200748942139e-06,-0.0010397065935719334,1.743328995718236e-05,0.0008754639669365079,0.00016311575984854942,0.007008259764512601,0.0003553217925927255,0.0057678389991541144,0.0004527438972582452,0.0013397819221248747
0.0,1.0802580904400933e-05,-0.0021480271037235136,-2.757384277863605e-06,0.0017660961636534465,5.2470788288392885e-06,5.7573224829742496e-05,5.3671540783467225e-06,-0.0012467149268341633,-1.9561417089394572e-05,0.0012804209685305886,9.574198617973587e-06,-0.00012967097162600095,1.043546520266344e-06,8.728131214915679e-05,1.9843817546977138e-05,-3.357007299847642e-05,0.00016362504960741605,0.00904681453403195,0.00035395840497015553,0.009181641590512088,0.0005003631281389709,0.005619945837446539
0.0,-3.666886523118825e-05,0.0036832896575221988,1.9265869688471073e-05,0.00015181914975423956,-7.340018667817953e-06,-0.00026108645041208637,6.4202809020321785e-06,0.0005465213223180773,-2.0470375609160154e-05,-0.00026120088796588014,1.0412900960907614e-05,-0.0010644217487333905,6.697682204263701e-06,0.001111360881728073,1.681008934744664e-05,0.00014219687253409815,0.00014865413549000197,0.008268482644583899,0.00035965453108023827,0.007586581663413611,0.0005893737835816803,0.018625505366041455
