‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,5e-07
fs,200000.00000000003
simu_time,0.03
qty_x,10
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,100
sampling_length,6000
vec_length,22







0.0,7.449541080284364e-06,-7.85738289098539e-06,-1.2631589619500907e-06,-0.00034603940035001884,-2.98521922345294e-06,0.0008060977010442727,1.0633102132339208e-05,-0.0016279387815499608,-2.2047171574157873e-05,0.0023510981453319503,3.097615919652383e-05,-0.00020813621976074355,-6.127363867980864e-06,-0.004635199583469743,-7.605511504422944e-05,-0.0004759878419657418,-1.1942119191667073e-05,0.004507584065661081,0.00016891344452438413,0.0083918746447891,0.0003917280682473226,0.013190690168708006
0.0,2.4833506308480094e-05,-8.123648166540646e-05,-1.6788635462773625e-05,-0.0004439415239538508,1.7539176127969078e-05,0.0007201750563144338,-1.188743092425759e-05,-0.00040687958213365326,-1.1781748556340366e-05,0.00014914310891511208,4.3867274949707864e-05,-0.000588730902628924,-3.187722183803834e-05,-0.00436965352493841,-7.551215920670756e-05,-0.00028649216721049497,1.8430135555217648e-06,0.005997338683855078,0.0001793552812607653,0.00852263320216664,0.000373754223317451,0.002153784286426458
0.0,-8.642991461451662e-07,-6.787162334358395e-06,-8.29900959438282e-06,-6.0330748168680316e-05,1.5563888901577308e-05,0.0002241687521433198,-2.4384611387407212e-05,-0.0028874305132623583,1.3928834964554909e-05,0.002078287550503526,3.393791437214235e-05,-0.00037912212839512143,-4.502057035173103e-05,-0.0036258417773884235,-7.863134972015708e-05,0.002050565561103169,6.219691706089857e-06,0.004136794538784073,0.00020049511041590607,0.0043974716743666225,0.0004006442312189704,0.002699489834476235
0.0,-3.051969672164143e-05,7.967407177550693e-05,4.914004002340947e-06,0.0007101631021253661,6.0386056286650655e-06,-0.002582113001356156,-1.8709389688568015e-05,-0.0003774542374713702,2.3501989145902817e-05,0.004990084907186439,2.1720582833931984e-05,-0.003156057018672053,-5.572644210449536e-05,-0.0025896984690002714,-8.293095406920475e-05,0.0009198898083538317,2.9703348508606244e-05,0.005377614996660257,0.0002104245059677018,0.006585715184854124,0.00040689743226319716,0.0001175500744318637
0.0,-2.0197174649338608e-05,-0.00013060948559629233,1.3018854078091016e-05,0.003554451815672706,-2.463048815517587e-06,-0.0014131871734241901,-2.383934349821756e-05,0.003020824237073865,3.364620884496289e-05,0.00022857289170960532,1.861319933352891e-05,-0.0034632078188408166,-7.218173512712114e-05,-0.000761974566619524,-7.929950016018725e-05,0.001301456944225999,4.306779159957491e-05,0.0065733447368700815,0.00022786061588720794,0.007096489516384732,0.00044324620098950776,0.006309334188721132
0.0,6.445239318999365e-06,-4.7809687746650404e-05,1.3737155447234236e-05,0.0012399947174811265,-1.0656565949210083e-05,-0.0014404475925945707,-1.5462337834729716e-05,0.003856301404386215,4.8558021491732186e-05,0.0009993736956113548,-6.916950185176185e-06,-0.002040475901037765,-8.120279170546509e-05,-0.004344243212012654,-6.521292088530517e-05,0.004015504200207445,4.822236819801857e-05,0.007994284448710084,0.0002495505232621038,0.00807985466266363,0.00047836511652735696,0.013534193783345153
0.0,2.3540350004557446e-05,0.00019430753112805265,1.6417818641428584e-05,-0.0033542505337445477,-2.192448002877105e-05,-0.0002718835254350787,2.011722958129356e-06,0.002857870719295857,4.758737101783245e-05,0.0005422097857775014,-1.6622006054202168e-05,-0.0028517714980846255,-8.718331498878684e-05,-0.00036954359938130165,-7.245847863730702e-05,0.0035838535018648515,7.268425515279079e-05,0.006099592264643699,0.0002666897038289685,0.013194111628704935,0.00047795003180900773,0.013055891924891122
0.0,3.725558698082798e-05,7.275448945672723e-05,1.4643226852761936e-05,-0.002119793469401234,-3.995696165468593e-05,0.0004847695603778791,2.628709465130176e-05,0.0005340739908235086,3.858425134705202e-05,-0.0004751563298720955,-2.5814522794667753e-05,-0.0047498137577765285,-9.424068169606892e-05,0.0007909806413206069,-6.015517120732463e-05,0.005300447586921983,7.782726007051276e-05,0.00884579250295392,0.0002791971103071547,0.010355860058148406,0.000510240390235177,0.015803013434797685
0.0,1.444742690186886e-05,0.00017750468337057756,5.3621330135237265e-06,-0.003690570347155435,-3.293837618042057e-05,0.001069248211350014,3.623671758411986e-05,0.002392623978893054,3.0717698680635365e-05,-0.0031159041022615318,-3.596288655865866e-05,-0.003662000448866137,-0.0001078271438371149,-0.0009451145657859265,-4.3413902766028835e-05,0.003976028387156608,8.80765694576813e-05,0.011011210341814395,0.00028724157314231186,0.008244517243388368,0.000519977039596041,0.01222661089015101
0.0,-1.1540389002999153e-06,-5.5045443771502814e-05,-1.6378061968449108e-05,-0.0002356885827105757,-2.16382395656899e-05,0.0001459150734016251,4.204193885845593e-05,0.002121915752270474,2.9058104533876332e-05,-0.003872095540417567,-5.504319328140774e-05,-0.0027298643640059246,-0.00010347638461092133,5.557194455156411e-05,-5.2943542237290744e-05,0.0035232192666316505,0.00010601732765769259,0.00387646751530303,0.00030704899850142963,0.008503655851144824,0.0005085409509104591,0.0063763952747926235
0.0,-2.452716752267841e-05,-0.00015339754646810693,-3.6268297895531673e-05,0.0008975663108675746,-5.97760470179139e-07,0.0014960180655422747,4.084693552124309e-05,0.0016262013005356255,2.6963007528460764e-05,-0.0024534627156549958,-8.159774322362477e-05,-0.0039765209079985495,-9.630661364493979e-05,-0.002672898905504868,-4.348010125308656e-05,0.004809078001708003,0.00011620770687247529,0.004669225824688959,0.000315970243786919,0.007134284886512895,0.000510057914102339,0.0014590894213769592
0.0,-3.456067871579939e-05,-0.00021541804308648232,-5.082147550400764e-05,0.0010492625723928324,1.9914535167189714e-05,0.004297875519928837,3.55156968937002e-05,-3.409294924529914e-05,1.4910634766379936e-05,-0.005046277236341928,-7.937821836621783e-05,-0.0035467810995483125,-0.00010779103556244036,0.0010296575073973006,-3.099840857771845e-05,0.0028725986846710704,0.00012853750197412862,0.008126499198173001,0.00032233083234804505,0.004951145318273146,0.000538409808841299,0.0031585281362258287
0.0,-1.8842369613476917e-05,-0.0002709987759716633,-6.30198916405099e-05,0.0017841704913376649,2.5227542376939772e-05,0.0012642442785017922,5.668769452910283e-05,-0.0021451770656266936,-8.60883565833537e-06,-0.0013652118035499912,-8.403456982761912e-05,-0.004048395513803413,-0.00010883275126259802,0.0035810212157607766,-2.3728780325200656e-05,0.004012579542459,0.00013759239269472344,0.007725785292203982,0.0003406075671653352,0.005877022481323762,0.0005600157886769634,0.007248433240843603
0.0,-2.5981608822133964e-05,-1.1982035443471083e-05,-4.557603717563269e-05,-0.0019093280325933278,3.1429727590082564e-05,0.004486383831195145,5.7230057506090106e-05,-0.0026278238843681525,-2.2288915945726106e-05,-0.0021699668691266306,-9.139291423482537e-05,-0.001619851789303337,-0.00011040463797595041,0.0019508235125901565,-1.103849093216314e-05,0.006540117220438666,0.00014840629228114665,0.007539088657615378,0.0003588538260356929,0.011019541396173033,0.0005561841175797068,0.007271528170517145
0.0,-1.0197455302588553e-06,-0.00022926315725366227,-2.5055927442244984e-05,0.001541072919247917,2.571247150232854e-05,0.005456363538102866,5.7549061845120416e-05,-0.0022171392225520566,-3.612341389142746e-05,-0.0050698631061047725,-9.73040996505232e-05,0.0002719580545462376,-0.00010822218007520863,0.000897483067130906,-2.827370566317755e-07,0.008767246149921427,0.00015578241432884544,0.007679839566731684,0.00037531310497532385,0.011214357081535549,0.0005883441010836183,0.013581082066779836
0.0,9.121791025591606e-06,-6.573222470037724e-05,-4.064412568500192e-06,0.0007262193198272836,2.903003324909773e-05,0.0009981013132222235,6.255951708289969e-05,0.0016482782467590565,-5.4406849892477826e-05,-0.003736809324626773,-0.00010827609599794321,-0.000782558649164862,-0.00010062962126861015,0.001815681656757339,5.173405196256891e-07,0.005784509212544176,0.00017956847618830644,0.009369056413951844,0.0003777778394373911,0.010865358494626585,0.0006164624340936589,0.01600580221981851
0.0,-1.3729325669365207e-06,0.00013767405907962258,3.289244362025519e-05,-9.821059771495928e-05,2.9223009408504565e-05,0.0017970452705073684,4.009080810996857e-05,-0.001806589150433763,-4.29100229341997e-05,-0.0042890250817626974,-0.0001264801245099779,0.0004990276258748923,-9.011184896536034e-05,0.004075094093147069,-1.4108460280790741e-06,0.004029040873099528,0.00019689264086837153,0.008730584661904654,0.00038461883721455385,0.008689233630911498,0.0006332337675391638,0.015048879258065802
0.0,1.1228000758433147e-05,0.00014619420497790232,5.0391267207650245e-05,0.0011469837359141316,4.0990903323830544e-05,-0.0006148612953565231,1.745992115271608e-05,-0.002569121874367581,-4.103509048780576e-05,-0.0037440099812178222,-0.0001438129436316423,-0.002078643373520092,-7.612044956407223e-05,0.002928411216996809,1.1616112510377227e-05,0.007489219598630995,0.0001958337538124141,0.008664057633056409,0.0003983909874065184,0.0069002490916818555,0.0006199774997180396,0.007705603140558721
0.0,2.3698779171523565e-05,0.00019192478113875847,5.67335532219281e-05,0.0014144003335857644,6.284314952715114e-05,-0.004121677450697812,-5.13443807171782e-06,-0.000630465575607986,-5.404769010212827e-05,-0.0054179413810363005,-0.00013073049069828042,-0.0013282623999889115,-9.307181706085577e-05,0.004230384640600673,3.14234516282099e-05,0.004712742489184818,0.000202709574963794,0.007409307441096034,0.0004136810676249143,0.008561270634312435,0.0005901808002691527,-0.0014780262643549298
0.0,1.2689335963260878e-05,0.00021912923888049712,7.587933235349838e-05,0.002506678626692208,6.627613975615652e-05,-0.003892364322007526,-1.6611354232137493e-05,-0.003386392146051468,-6.840601667416016e-05,-0.0026548522585869644,-0.00012318654402992068,-0.0010750460759366767,-0.0001039887081925527,0.003527459467828064,5.379877087657926e-05,0.0052066044567953265,0.00019627538875542226,0.005049999891249947,0.0004370730506967378,0.004856561012718516,0.0006222976778790518,0.004024336718525332
0.0,-1.4227519139680756e-06,0.0002736670004025333,9.057019512352019e-05,0.0023940598550765083,7.080157803329418e-05,-0.0017178792618097248,-2.4133625675346583e-05,-0.004822672966839306,-9.152149779100864e-05,0.00044723020356269384,-0.00011801099559875999,-0.003478523932463136,-0.0001008489964380515,0.002562064278111599,6.141415580642334e-05,0.005092315792094206,0.00021988496010272104,0.007277691634662477,0.00043723976703828545,0.008689688803873764,0.0006271006186854488,0.002712725206930505
0.0,1.9081349925004695e-05,0.00011667738551103378,7.941973650700165e-05,0.0038820476078999288,8.342657540738688e-05,-0.0022549924753888146,-3.6345579523723665e-05,-0.004892816104138032,-0.000111085056054006,-0.001569291409345389,-0.00010824073571746729,-0.002180075525946183,-8.92167524236914e-05,0.004888664845990636,5.175013086909729e-05,0.007025891600625652,0.0002454002155777359,0.006708467140357536,0.00044052583037265593,0.009650220468764781,0.0006705573838011574,0.010463267819050177
0.0,2.4764935425477738e-05,0.0002071005912463185,6.523997609321402e-05,0.002195686078524303,9.281841299435499e-05,-0.004585739761424507,-4.221972517963792e-05,-0.005486919473355326,-0.00011691522218123726,-0.0008214451502106103,-0.00011935495938630291,0.003658098129880096,-7.68794423569468e-05,0.0011186517387366587,5.6636548959504e-05,0.009075915963363058,0.0002617411694623586,0.009413665436372166,0.000443205746027258,0.008703871649586959,0.0007173501016634542,0.018205918097033695
0.0,2.657595042353349e-06,0.0002731834155571717,6.877566369236424e-05,0.0013087619724728875,8.51631248217158e-05,-0.0022333855997298453,-4.212305743003282e-05,-0.005271791078840833,-0.00013644842529076626,-0.002465858429215385,-0.00011918286118622324,0.0035745171794661188,-5.658771612076272e-05,0.003505538157030793,4.770047849521858e-05,0.009353852019162785,0.00028182937148548315,0.00907639348202631,0.00045265793273255897,0.011190704610096015,0.0007120173332574619,0.01570832164768844
0.0,2.3476665402360958e-06,-2.46829718007174e-05,6.595137382901023e-05,0.005539585940505819,5.936921802401109e-05,-0.0018205857483398198,-2.684410594661912e-05,-0.0064476179239403904,-0.00015539566326439212,-0.0007357642878382364,-0.00012553132041854363,0.0019806572363375683,-4.300110756929393e-05,0.004072373694773527,5.9008540699906155e-05,0.008351535656650493,0.0002791310954988327,0.009400655060268038,0.0004741488556113467,0.009769957715292316,0.0007021676107123973,0.012220116274761359
