‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,2e-07
fs,100000.0
simu_time,0.02
qty_x,20
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.0
f_position,0
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[0, 0]"
jig_position,"[0, 1]"
animation_speed,5
sampling_length,2000
vec_length,42







5000.0,3.769561937510049e-05,-0.014750342091312249,9.773435689247148e-07,0.0001210731210438919,-1.75241282643462e-07,0.0003620811358426958,-1.283132717701955e-07,0.00016834435209770856,-5.4044610428725144e-08,6.23000368482941e-05,-1.9227810176347823e-08,2.076367483529659e-05,-6.266826645587791e-09,6.4926426123048195e-06,-1.9304454911767757e-09,1.940067640737819e-06,-5.70354078896312e-10,5.590306339892949e-07,-1.6281072619889966e-10,1.5599035389928148e-07,-4.504348077786035e-11,4.218809618962028e-08,-1.2078834356618512e-11,1.1035666803217367e-08,-3.1302792874634658e-12,2.775819282024208e-09,-7.785005825165298e-13,6.634068376806936e-10,-1.831987198872543e-13,1.4698337496315074e-10,-3.95984268196872e-14,2.8463184005842603e-11,-7.294440374449998e-15,3.926333821887477e-12,-8.510548849050229e-16,-1.7062481833258912e-13,1.0624324955953915e-16,-4.655930909177347e-13,5.717647210147274e-17,-3.418716997701379e-13,-6.009421636134003e-16,-5.463819716362386e-13
0.0,0.00017809826389573408,-0.013597760319666636,6.470723600529776e-05,-0.009416581907945837,-1.534340001612929e-05,-0.005415794856649785,-2.983918280680909e-05,0.002120413807146229,1.1915012863120566e-05,0.0017540941470307225,2.3200873071306564e-06,-0.002370081790148735,-5.504623359786921e-06,0.001417967080689154,5.093262973109882e-06,-0.0011129978909753778,-3.7997366098775714e-06,0.0011591161982080814,1.8538409108344474e-06,-0.0016151126610964715,4.394237072076204e-07,0.0014301178086406914,-2.5147821144406674e-06,-0.0010290973030360115,2.3050854532886593e-06,-0.0008739255029843287,-4.2577344598622326e-08,0.0009760908553704716,-1.909197205707982e-06,-0.0006624400182431676,6.656908207542305e-07,-0.0015270527400621304,1.7906537733939465e-06,0.0002210610240205972,3.57279877089281e-07,0.0015971677931132838,-8.489998283683505e-07,0.001204593626859286,-9.46524820206817e-07,7.054758274254057e-05,-1.8996981020155893e-06,-0.0012976551495313183
0.0,0.00024110194690192627,-0.011081745813948942,0.00013345255995394546,-0.009519504830709867,3.351666477087207e-05,-0.006670699400942919,-3.188726703728806e-05,-0.0032172236849249075,-4.663685659811054e-05,0.00196474958331046,-8.055806080994327e-06,0.002683483922654044,2.117870680550794e-05,-0.000401533793765441,5.399412629111744e-06,-0.0037831473026177747,-1.4298442319229042e-05,0.0018277536849891736,9.132854599286548e-06,0.001789872437956844,-2.809947754748712e-06,-0.0015169217160263672,-1.9959946484804084e-06,0.0005166226532603503,5.106951616290242e-06,0.00026538330366438195,-5.1965816658709364e-06,0.0010127509570990038,2.998567043523935e-06,-0.0007670968909794135,-1.999586500758409e-06,3.1236368704787916e-05,2.791181607774335e-06,0.0004811590771192717,-3.724723391209827e-06,0.0003114100962942149,2.6653719721375013e-06,-0.001579891387320418,1.7482014635751702e-07,0.0021220304464276895,-7.5770654863513995e-06,-0.002750601909477426
0.0,0.0002963349748338314,-0.010843145816206337,0.00018456482933199003,-0.007978598349498127,8.123083718841537e-05,-0.00788276221816533,-3.3516445633013504e-06,-0.0063094343305403,-5.0509557536910764e-05,-0.002510771577725606,-5.399504463023152e-05,0.0016362391265559997,-1.2964356369258146e-05,0.003217134854565777,2.1630395217346992e-05,0.002501486233347498,1.9634786493153938e-05,-0.0033898576437819804,-9.011184373402566e-06,-0.002304541204611439,-1.1793662169190347e-05,0.0029939899817581312,8.140940851473048e-06,0.0016542318724101987,5.678362646749582e-06,-0.0016920586971573268,-1.3783347488502746e-05,0.0006839558907046404,1.095943453456473e-05,-0.0008940851211892325,-4.212082647368863e-06,-0.00026178791954035324,-1.8443291605439186e-07,0.00012800830988644424,3.218214537118014e-06,0.0008018431602544885,-4.476414028380636e-06,-0.0005440712921834794,3.924400286063937e-06,0.0009080646047751424,-8.215025275086045e-06,-0.0022477184599582253
0.0,0.00034147938864189194,-0.01072377051492111,0.00022909273358451623,-0.007240099613835669,0.00012206453965540893,-0.008965535979810795,3.509975438505925e-05,-0.006539810208865973,-3.8630538681366875e-05,-0.003183989894457445,-6.561082550775923e-05,-0.0018850566090690788,-5.473753257359501e-05,0.0026259334283653493,-1.239747056209429e-05,0.0030447261722069403,2.4306366481933722e-05,0.0024932826398839708,2.8749509538223553e-05,-0.0020283881710449845,-2.4322228582771076e-07,-0.0006062445365085905,-2.3033593562282246e-05,-0.0002132587518847029,-2.60025535756674e-06,0.0013535135588385995,1.577530892249766e-05,-0.000716920479761347,-1.232114855419507e-06,-0.001209868185763018,-9.891613400105597e-06,0.0005093395682965087,5.125872232203802e-06,0.001363586524974074,6.144142720584826e-06,-0.0017235769198057096,-1.3783213750958258e-05,0.0005990346215896987,1.3698923701173852e-05,0.0005890935945588572,-2.016186671362134e-05,-0.004159458858216359
0.0,0.0003744275700227546,-0.007827269938058089,0.0002668405009894274,-0.009004304322304538,0.00016335248723414834,-0.009213618589542043,6.717697606976329e-05,-0.006325147882018882,-1.3302857849534429e-05,-0.004352371076300713,-6.239945264688368e-05,-0.0013315595040475083,-7.714304337601273e-05,-0.0006236357231287806,-4.749500544143453e-05,0.0023201152280014174,-7.3014489059083555e-06,0.004216566904963991,2.8988640373421497e-05,0.0014363169134540494,3.3891065307167766e-05,-0.0008191446299135811,5.961541023368529e-07,-0.0026217721128504747,-1.590028433347966e-05,-0.0006641574237413554,-2.0812189204738292e-05,0.0018290793659519614,1.78252652721231e-05,0.0010015872148807516,9.123043213310741e-06,-0.0024655754147413526,-8.508814080415054e-06,0.0013144419928394504,-5.762499439492399e-06,-0.00112330981599932,5.02367012836124e-06,0.0011012521549062892,4.258445494809329e-06,0.00026195907073955894,-1.3784105610898194e-05,-0.0028891738602286935
0.0,0.0004122051194722694,-0.008613487896730202,0.00030215458671928325,-0.008659834079107477,0.0001991615359742285,-0.008673127613337194,9.792219280098612e-05,-0.0066213116570548415,1.1498476295592612e-05,-0.006061661819731691,-4.8040003343964266e-05,-0.004164535796317048,-8.190624116512735e-05,-0.0011265672765317094,-7.086571976515677e-05,0.00303779160917532,-4.9171785239806155e-05,0.0019412496883628274,1.2211440627764006e-05,0.0040612846768289385,2.9819932552917375e-05,0.0010151188037948425,3.443818714060935e-05,6.276736947411252e-05,8.476672516644744e-06,-0.004534959088453337,-2.6556640767296917e-05,-0.0022048401049980567,-1.5567910044991555e-05,0.0026065102876904737,8.381597582335713e-06,0.0005969422297999633,1.1069443866738207e-05,0.0011218909065118425,3.7237370055371103e-06,-0.00044841631791235316,-7.124339464569795e-06,-0.0021227292598571695,-8.608198612360075e-06,0.0026219403740002246,1.729248733354649e-05,0.0012038609272573301
0.0,0.00045822776374722737,-0.012943923140040066,0.00033147990569951867,-0.006518800695723798,0.0002351747474161146,-0.008680128325321619,0.00012239626870430619,-0.00792360281636517,4.5455902580069465e-05,-0.005195109493019095,-3.758398513934591e-05,-0.005580798577469351,-7.575753092901187e-05,-0.002260205698861697,-8.351398334518028e-05,0.0007869713583612385,-7.765009744230066e-05,0.001542182533622611,-2.2571881004938867e-05,0.0038238483327176936,1.7546874429589522e-05,0.0028978791702509825,3.3619254275170246e-05,0.0014479496968100199,3.8147518378274244e-05,-0.0005979321692733209,8.664511490562264e-06,-0.004671838841521386,-3.0837120573463956e-05,-0.0010566063061903384,-2.0405978211879234e-05,0.003282714008447169,8.225184910055636e-06,0.001241251793596391,1.3420692511602682e-05,-0.0015530173082381115,2.5245991327619614e-07,0.0001971380477395472,-3.9042595982557e-06,-0.0001294175750652624,-8.611081670948736e-08,0.0002840315287780867
0.0,0.0004836279861781492,-0.010352576598428314,0.0003603273391067267,-0.007915191757311136,0.000265709378072655,-0.009347959809997535,0.00015550506044728532,-0.008869977667838447,6.341369965679447e-05,-0.0038942471423084385,-8.585561586256776e-06,-0.008254651502274278,-7.483963137582133e-05,-0.003129048097178173,-8.639689235386149e-05,-0.00012840832940658344,-8.736774747036312e-05,0.0012480255025947512,-6.472717849035858e-05,0.0031843799133350658,-9.036828700000817e-06,0.004621959841302645,3.329487515154084e-05,0.0015627526196049595,3.6603598949505303e-05,-0.0004206382497603803,3.0344238264305034e-05,-0.0003752745873915125,1.111174568713798e-05,-0.00283429454422448,-2.3361506193474217e-05,-0.0032174666107645435,-3.843640726745938e-05,0.0018998804990024514,-1.8892095553515565e-06,0.0028477743377024046,3.4469645359020216e-05,0.002463040729380314,9.980410979395797e-06,-0.0037667043173607046,-4.7658013672166064e-05,-0.0057993006052454495
0.0,0.0005120331429272352,-0.009348406063076723,0.0003863882140890279,-0.01051556045863426,0.0002954632684534463,-0.005582290236811173,0.00018859603223444758,-0.00954067392867729,7.738658348967461e-05,-0.006279639545584072,1.6858853660688074e-05,-0.006335752929277661,-5.375364714521737e-05,-0.005844044717640468,-9.695195300521393e-05,-0.00033367063430859257,-0.00010073100214668442,0.0008322679620272711,-7.265631971252908e-05,0.0024231694095334876,-4.3252349778497045e-05,0.002323786657348666,-7.740899062996838e-06,0.004858132626464261,4.892213100826099e-05,0.002108065415404362,5.388180000777951e-05,-0.00021409178301702662,1.974525574615521e-05,-0.004088806872018525,-1.3310582704009435e-05,-0.0020809277699802417,-1.9947472263864565e-05,0.0011766389037889207,-1.1348483869241194e-05,-1.8411295044986405e-05,-7.972739276907876e-07,0.0005721494971028527,3.052485453570804e-06,0.0014119086692456438,9.432947217642147e-06,-0.0004532011357788572
