‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,1e-07
fs,200000.0
simu_time,0.002
qty_x,28
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.008
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 0]"
jig_position,"[0, 1]"
animation_speed,10
sampling_length,400
vec_length,58







50000.0,-4.42550672335247e-20,6.234239178625097e-17,2.346266523951237e-20,5.588478073009398e-17,9.221333276256787e-20,1.4642542863646613e-16,2.843678993447731e-19,4.4135173738499596e-16,8.396022078903096e-19,1.3245367394646778e-15,2.3889619058026827e-18,3.873351158429753e-15,6.453452091297453e-18,1.090297257482487e-14,1.60161592835118e-17,2.897581751363006e-14,3.36017903962588e-17,6.985117994525249e-14,4.154075410917321e-17,1.3686588606374342e-13,-1.096821788919701e-16,1.154642509648753e-13,-1.2290405417165564e-15,-8.112108050951778e-13,-7.061337273729709e-15,-6.8508012059631125e-12,-3.3562205089474836e-14,-3.701513665535906e-11,-1.451612158357662e-13,-1.710970389074914e-10,-5.919392979960955e-13,-7.278154768119566e-10,-2.3137794013024665e-12,-2.933430783024828e-09,-8.743014399081344e-12,-1.1360697428925432e-08,-3.2069840346307775e-11,-4.258243547960037e-08,-1.1433731743632903e-10,-1.5498930541197478e-07,-3.9575331748961547e-10,-5.481337271867782e-07,-1.324546826144732e-09,-1.8799806481569354e-06,-4.2514833349935215e-09,-6.221631692645432e-06,-1.287807586280875e-08,-1.9667824852899254e-05,-3.557132457595279e-08,-5.8209597400660744e-05,-8.173020269818607e-08,-0.00015416891021941486,-9.610941442822404e-08,-0.0003170607143606583,7.638900456761435e-07,2.3654567970700542e-06,2.6782539679299468e-05,0.014879829487974753
0.0,-1.021235719617069e-08,9.63078423732589e-06,-5.744705764056324e-09,-1.0954446391786426e-06,-8.23639878984018e-09,-1.2898243287486434e-05,-5.565285360352048e-09,-2.5618553415872198e-05,1.4227095061171134e-08,-2.0873426353539084e-05,5.6152275532278916e-08,3.642093370898501e-05,8.68616081170567e-08,0.0001615838316376061,1.606759689227594e-08,0.00026494431884013727,-2.2096978362785166e-07,0.00010903066660242818,-4.4631716576033624e-07,-0.00047481626945691346,-1.8251461453096813e-07,-0.001082626277048966,6.964626812292766e-07,-0.0006867696856887425,1.052609114211085e-06,0.0009383041834878889,-3.2113572999748823e-07,0.0017258073928908334,-1.4083734853612786e-06,8.94466358423887e-06,6.045526152794714e-07,-0.0009547292624614406,1.1623548914335454e-06,0.001141489553478287,-2.071568258127933e-06,0.0003002454489027294,1.08352146683137e-06,-0.0014602530128800782,5.168794224689159e-07,0.0015761615316019133,-1.9946480695678222e-06,-0.0016228937125552338,2.9984922084886858e-06,0.001306632854332348,-3.1293123102699606e-06,-0.0017678890436993665,6.832189764342123e-07,0.0023185642848224837,9.007587145470815e-06,-0.0017150452248110876,-2.035570826061608e-05,-0.0023910885160457014,-1.1837422105683968e-05,0.004934852818973229,4.490834560822952e-05,0.008875072969521437,0.00012422714028215517,0.011968679419642183
0.0,1.960737252458746e-06,-0.0011774697136494646,6.853721986676233e-07,0.0009753656833982457,-1.172910625409779e-06,0.00042711709807306516,-2.947836581371265e-07,-0.0011311996781672201,4.6378380775458145e-07,-0.0006471314485032948,-7.103718403090236e-07,-0.0009302843336724655,1.120567216079979e-06,-0.0009635629978422672,1.0486086867502912e-06,0.0016156120901441352,-1.9662208053887287e-06,0.00044220595024911636,1.1888904729472866e-06,-0.0006492817848950603,-6.27323287097432e-07,0.0009234430049266655,-4.021645224443423e-07,-0.0014084579341697128,1.4741975484442076e-06,0.0010072927441020895,-1.9171899445754043e-06,-0.0006764191069627843,2.3031186078317324e-06,0.0007800525691046271,-2.4184370446772093e-06,-0.0005307260197611311,2.026834914692796e-06,0.000953250979434742,-6.890200738715061e-07,-0.0011144666986211277,-2.5227700346832436e-06,0.0013332318057644268,7.403264336640063e-06,-0.00046443342088438956,-9.856640482732758e-06,-0.0014460365908652594,1.155077307701119e-06,0.0030422850003799674,1.543571119981771e-05,-0.0005294838757500132,-3.7382143516477796e-06,-0.0033534502524059148,-3.187467270336678e-05,-0.001962687621072046,-2.374974824336206e-05,0.003281485773038962,2.200776593339674e-05,0.006230616225069652,9.238217860510043e-05,0.007772033182227405,0.00016578479476067032,0.006010761344732012
0.0,4.173702668092833e-06,-0.0019321623087305046,-4.688618444007705e-07,0.0015584146503622737,-9.686134947570837e-07,-0.0013431760669914616,1.5789189484400408e-06,0.0004578020360143804,-1.353827850998565e-06,-8.021618567850013e-05,7.259594633833093e-07,-0.0001825958785481817,-8.202491113524571e-07,-0.0007904573748065248,1.8207203994749506e-06,0.0007983093812014921,-2.825318575219566e-06,-0.0007543657404076443,2.6880260994107943e-06,-0.0003901878319884669,-1.1814677032393752e-06,0.00021737075697015142,-2.0416880996223036e-07,0.0007689067207856579,1.3419928085453668e-06,-0.0015261679571822394,-3.2104270588980187e-06,0.0009498600279120538,6.508336461758524e-06,0.0010635273605861108,-7.34047736730448e-06,-0.0015766761579813745,1.0270125101293639e-06,0.001750625441984974,8.491815401391726e-06,-0.0009505022799928216,-7.348674298762742e-06,-0.000870013826773058,-1.00816037853004e-05,0.0011507812064523964,1.312064218834053e-05,0.0014344686259346686,1.7242871161067646e-05,-0.0023951937971910175,-7.462476452500945e-06,-0.0030717002614004054,-3.673859532067931e-05,-0.0013711387952956998,-3.724928113885949e-05,0.002539672706032436,-4.138044500779185e-06,0.005032744255524081,5.6683098258109195e-05,0.007229237410207296,0.0001289880982435885,0.007838310454927543,0.00020612313738067333,0.008276786061171857
0.0,4.318477801620823e-06,-0.0016104273687955165,-1.7998348385493306e-06,0.0009249569236061829,1.5461079238865953e-06,-0.0009947896802117967,-1.0070083848797115e-06,0.0008349089013659564,2.5485080550777994e-07,-0.0005284248949421317,8.2288863674944e-07,4.583540558435813e-05,-2.221138322534288e-06,0.0005678775205305313,3.8582031901529095e-06,-0.0009875944524327506,-5.4760530494866876e-06,0.000860641210681624,5.8489204016357285e-06,-0.00033616667374023205,-3.644476775044472e-06,-0.0010571586720243883,-1.1637448427784572e-06,0.002131804642968901,6.606319285501201e-06,-0.001126755522035448,-5.608759033696827e-06,0.0003159892630421974,-4.808720286414559e-06,0.0009914374017118963,1.1558708142247562e-05,-0.0001568401933922462,-2.4414313373511745e-07,-0.0023470376598744235,-1.400199510879404e-05,-0.0006143723446612639,-2.3501529389787196e-06,0.0028055369901179173,1.843742383234081e-05,0.00335860889696008,1.7148495531293356e-05,-0.0022045549353230972,-6.1581398303706974e-06,-0.004638025049101728,-3.6492506490708094e-05,-0.0024405380263630115,-4.7435696003996545e-05,0.0010515651979335766,-2.74878236206582e-05,0.003160040668691514,2.142266697614748e-05,0.006100504593173631,8.639963705658358e-05,0.00813291827076674,0.00016063650184003518,0.00908695521267446,0.00023717502016759956,0.009116760909791815
0.0,7.115867691222479e-06,-0.003244710832745973,-2.466133840457699e-06,0.0009160413333286448,4.730175081502747e-06,0.000898367876167855,-5.8172415261457626e-06,0.0007950429006865944,4.316743770744173e-06,0.0009547889878358525,-2.6968509913497443e-06,-0.002565826326404943,-1.1790158416776198e-06,0.0015461208558230494,5.8195171560703706e-06,-0.0006517912035934479,-5.182903993124657e-06,0.00017606841380355895,-2.1589870684839905e-06,0.0001646335318436182,8.336878283088463e-06,0.0004000142685553601,-3.715761982602653e-06,-0.002254524051220094,-7.153206823959991e-06,0.0022182756672227944,4.931796676473236e-06,0.0007862981992652347,1.1802149200856197e-05,-0.0011783490977766249,-8.409530774119996e-06,-0.0013317994462121478,-1.520620932792356e-05,0.0005108694796343131,-3.6214493351721434e-07,0.0028839846687619838,2.1408446311425513e-05,0.0007753697783852188,2.297607681405588e-05,-0.0008038875923745711,-3.5082822513919395e-06,-0.003260057217227609,-3.3176347452677695e-05,-0.004578917365641415,-5.093650149593846e-05,9.721754651581473e-05,-4.663008138597213e-05,0.0023867797539675133,-1.024411024100597e-05,0.004126018625880622,4.517517794194777e-05,0.0077043771656532065,0.00011219286856978925,0.008362314101911546,0.00018839411748818594,0.007925348919087067,0.00026679039694416546,0.009992113946997222
0.0,4.280756629959552e-06,-0.0002616359952028249,-5.1735147480895545e-06,-0.0008544351846723837,5.4626307580618054e-06,0.0004608924155573755,-1.1185344565432766e-06,-0.0014721284711865239,-5.093961115590267e-06,0.002556236567758207,8.309906529164433e-06,-0.001750021303794128,-5.199568534471551e-06,-0.0015726825235421434,-2.2814483044958884e-06,0.0019288549499163839,5.364558813789862e-06,0.00121066120725069,2.851927137644272e-06,-0.0022757456326449182,-9.28247296006448e-06,-0.0005275343022714034,-2.633877195427868e-06,0.0022977653909354565,1.2196341838951795e-05,0.0006074951493480705,6.153317409140039e-06,-0.0014989818517839968,-1.1808689069751543e-05,-0.001993881796296082,-1.7324025183299292e-05,0.00013513960770924745,3.128124190997778e-06,0.0020758929299121297,2.2034121436778984e-05,0.0033960469818917157,2.5150468530731083e-05,-0.0016059403616702442,5.927120165941267e-06,-0.0025229593002677898,-2.786306216734928e-05,-0.003975627061389618,-5.1255152308562616e-05,-0.002464645085825486,-5.692282442807456e-05,0.0005820848488758344,-3.594378081665711e-05,0.0038869247850883823,6.097632031585321e-06,0.0059497426504947605,6.795962535540295e-05,0.00728125506618741,0.00013706743940648854,0.008886799282159264,0.0002127140780743192,0.007642379184008086,0.00029151220454268385,0.00937420585348037
0.0,1.589192895760019e-05,-0.0035707930679988284,-6.590648892994117e-06,-0.0005472692300183094,-8.914070941694418e-07,0.0018470820413843375,7.435508084432417e-06,-0.0014118449585979551,-3.535303097206407e-06,-0.0005549663119752586,-3.9014301537713565e-06,0.0009550916248075494,1.3842211199042713e-07,-0.0004650458391058608,1.0571159995858787e-05,0.0006339364962284713,-5.045212499930291e-06,-0.002090486332676571,-1.2643813401196684e-05,0.0008359462872997264,7.027612907173449e-06,0.0009448345382023283,1.12343088554485e-05,0.0016510937054994123,4.976231858383351e-06,-0.0027246527578344577,-1.533210510345077e-05,-0.0014395884753412407,-1.678444551528601e-05,0.0008441564312319132,1.1856885818927176e-07,0.0025855675146159497,2.2519884926140655e-05,0.002276552667518647,2.8585734290476772e-05,-0.0007899317903026857,1.4292534584965294e-05,-0.0029430265931679037,-1.7038884694250528e-05,-0.0023863832931319603,-4.849379733296738e-05,-0.0037034160720842567,-6.0539827537026105e-05,-0.0011170604217182638,-5.6238414481268324e-05,0.0015687908960516034,-2.215504163127717e-05,0.004830518070479445,2.3321332193798408e-05,0.008448877160218903,8.862894556147854e-05,0.006773272103693904,0.0001601630987235642,0.008924070208993808,0.0002354599902364287,0.007143626714739248,0.00031633862108967713,0.010452980895795017
0.0,-1.826577351365503e-05,0.0021302384745798997,7.84701804500978e-06,0.002673440717757114,5.030446751141516e-06,-0.0019567896047885613,-1.2250003594206804e-05,-0.00015148134784030384,-7.238909243377078e-08,0.002669311337141294,8.810021883124802e-06,-0.0014989423195737315,2.006094114811333e-06,-0.001872982626503949,-6.916656963269378e-06,0.000320274349825734,-8.74648596015064e-06,-7.904381917716091e-05,5.793887820950062e-06,0.0031473639540361906,1.7204620288182407e-05,4.113686904226707e-05,-1.4242668399762556e-06,-0.003989415161332045,-1.2294933326297391e-05,0.0001646995986755593,-2.0409881944710707e-05,0.00018186554408005523,-2.9352196716055055e-06,0.0034141705239665193,2.1958574915250635e-05,0.0010238858586677489,3.021922868946036e-05,0.0003089105366699175,2.3472235757376107e-05,-0.0018536242975960556,-7.986987954002085e-06,-0.003866218498847696,-3.543638377853741e-05,-0.0028946300514807086,-6.337479042440962e-05,-0.0017296383249474257,-6.424481266570597e-05,6.499170177390307e-05,-4.979125956771765e-05,0.003886659932471668,-1.090207801416154e-05,0.005036081655889467,4.222444097181419e-05,0.007227866612747548,0.00010903578457093575,0.006431446593246808,0.0001826395765950942,0.009636184733871933,0.0002557388151329983,0.008400057614112375,0.0003351391100542454,0.008870324533478616
0.0,2.6280937407167788e-05,-0.00460548182971087,-3.769808469804173e-06,-0.0020839001266669543,-1.1710068616436998e-05,0.0021240114237413505,8.301805404015576e-06,0.0018157701111910706,9.195102809528968e-06,-0.0018001594736549778,-3.7041824960442025e-06,-0.0014877917380152956,-8.920025575449501e-06,0.0010234580087237497,-4.37216850465562e-06,0.0009348717305540128,3.808318429290957e-06,0.001427552691816217,1.97627914474111e-05,-0.0012381811957509084,2.2468207078702968e-06,-0.002119648298013821,-1.989978832463812e-05,-0.0015473008635872416,-1.6428502897308943e-05,0.0015849271790620346,-8.09336867099994e-06,0.0019359144966927919,1.6391583345181123e-05,0.0028230996580038076,3.5569721944428756e-05,0.0007279929767599042,2.4448010147852858e-05,-0.0026574871536621655,9.735563445130966e-06,-0.002677627956990513,-2.6756017102663184e-05,-0.004070204213885971,-5.5411809278264053e-05,-0.0008386433880080506,-6.911498541553573e-05,-0.002680111469073338,-6.612590611702667e-05,0.002628023312966942,-3.954967328244411e-05,0.00393978301418217,6.505564538133099e-07,0.005138715544890293,6.30067617863864e-05,0.006775716758185699,0.00012695296929312314,0.008625648078104592,0.00020142818716958717,0.008445204982409513,0.00027681620490643756,0.007677112385884934,0.00035666503389015255,0.010087842561638988
